cb8e7c8a06e5faf02807ec81060ddd3bdb009d8bc6706af58167e72ccbaef91b,5653c104122f0b164e8952ac71e86e9e0a8d6f8204a4106281b28d0027a91ecd,ca912a79ee5fd75988f0f8b859fa4c577c9898a15eca491283af39fb832b937e,60f5851bf61c82b6eb2c7dbf58638ed3db5e5516a62f109526440e3d8b2c952a,25ea5b2bbffd5256f11399b400174831d5c86b1f99f62e01ce4a876c83eebfc5,7bbc4938272faba84fb27700f275f58eaf21c0029921997ae7f1b9775234164a,3e3f6016373ff5dd57682089f93b5c3d77192cc0a50c4746d4fd9d77a56705cf,309dff18699e62457145317ae15f69173670497bca6a07d9e14c9806efed94b0,e396447cd236c51b08367c53dfc03db7bc8b2fe1b6b360299a8a39e226fc9800,03bc8eb3ac28407685138e7952552567756109f489e5e3acce0061d1c420f2e8,22e1d78f1408d37ae606c7c7464d058fb83a9a149adcaf5d29a13e7b4d8c828b
"ttk_idle_def","-120","850","1","1","1010001","1","5","100","102611","1"
"","1","0","2","1","1010002","1","31","0","2",""
"","1","-80","1","1","1010003","1","31","-120","1",""
"","","","1","1","1010004","","93","","",""
"","","0","vo_minigame_1005","1","1010005","","21","0","vo_minigame_1005_top_000",""
"","1","0","102611","1","1010006","0.3","3","ttk_idle_doya","ttk_doya","0.3"
"","","8","102611","1","1010007","0","11","","任された仕事は\nきちんとやるよ","0"
"","","","0","1","1010008","","91","","",""
"ttk_idle_def","-120","850","1","2","1020001","1","5","100","102611","1"
"","1","0","2","2","1020002","1","31","0","2",""
"","1","-80","1","2","1020003","1","31","-120","1",""
"","","","1","2","1020004","","93","","",""
"","","0","vo_minigame_1005","2","1020005","","21","0","vo_minigame_1005_top_001",""
"","1","0","102611","2","1020006","0.3","3","ttk_idle_def","ttk_idle_smile","0.3"
"","","8","102611","2","1020007","0","11","","あたしの前に\n現れたこと\n後悔させてあげる","0"
"","","","0","2","1020008","","91","","",""
"ttk_idle_def","-120","850","1","3","1030001","1","5","100","102611","1"
"","1","0","2","3","1030002","1","31","0","2",""
"","1","-80","1","3","1030003","1","31","-120","1",""
"","","","1","3","1030004","","93","","",""
"","","0","vo_minigame_1005","3","1030005","","21","0","vo_minigame_1005_top_002",""
"","1","0","102611","3","1030006","0.1","3","ttk_idle_joy","ttk_joy","0.3"
"","","8","102611","3","1030007","0","11","","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","0"
"","","","2.2","3","1030008","","93","","",""
"","","1","102611","3","1030009","0.3","3","","ttk_talk_sad","0.3"
"","","","3","3","1030010","","93","","",""
"","","1","102611","3","1030011","0.3","3","","ttk_idle_def","0.3"
"","","","0","3","1030012","","91","","",""
"ttk_idle_def","-120","850","1","4","1040001","1","5","100","102611","1"
"","1","0","2","4","1040002","1","31","0","2",""
"","1","-80","1","4","1040003","1","31","-120","1",""
"","","","1","4","1040004","","93","","",""
"","","0","vo_minigame_1005","4","1040005","","21","0","vo_minigame_1005_top_003",""
"","1","0","102611","4","1040006","0.3","3","ttk_idle_shock","ttk_shock","0.3"
"","","8","102611","4","1040007","0","11","","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","0"
"","","","5","4","1040008","","93","","",""
"","","1","102611","4","1040009","0.3","3","","ttk_idle_def","0.3"
"","","","0.7","4","1040010","","93","","",""
"ttk_idle_def","-120","850","1","5","1050001","1","5","100","102611","1"
"","1","0","2","5","1050002","1","31","0","2",""
"","1","-80","1","5","1050003","1","31","-120","1",""
"","","","1","5","1050004","","93","","",""
"","","0","vo_minigame_1005","5","1050005","","21","0","vo_minigame_1005_top_004",""
"","","0","102611","5","1050006","0.3","3","","ttk_surprise","0.3"
"","","8","102611","5","1050007","0","11","","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","0"
"","","","0.9","5","1050008","","93","","",""
"","","1","102611","5","1050009","0.3","3","","ttk_talk_anger","0.3"
"","","","0.8","5","1050010","","93","","",""
"","1","0","102611","5","1050011","0.3","3","ttk_talk_sad","ttk_sad","0.3"
"","","","5","5","1050012","","93","","",""
"","","1","102611","5","1050013","0.3","3","","ttk_idle_def","0.3"
"","","","0","5","1050014","","91","","",""
"ttk_idle_def","-120","850","1","6","1060001","1","5","100","102611","1"
"","1","0","2","6","1060002","1","31","0","2",""
"","1","-80","1","6","1060003","1","31","-120","1",""
"","","","1","6","1060004","","93","","",""
"","","0","vo_minigame_1005","6","1060005","","21","0","vo_minigame_1005_top_005",""
"","","1","102611","6","1060006","0.3","3","","ttk_idle_worry","0.3"
"","","8","102611","6","1060007","0","11","","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","0"
"","","","7","6","1060008","","93","","",""
"","1","0","102611","6","1060009","0.3","3","ttk_idle_def","ttk_amz","0.3"
"","","","0","6","1060010","","91","","",""
