0828c3a6d60b24f22336bcaff44ee1e7028f47b737047e2cd57f4def4e51ed99,4005ca77c040606733f43de1214bad717dae4cb127c44465dcd188c409cb90ae,bb717c071c1b4c6cb3ffa89b58db82d8661dfca7606d732eeeebae8ce7440627,18525f658d37cbba455a5b3c6ffb33fefe522eed38bc53cc69a26759ff01a8c0,84c82582bad477b2984b20e8e0adb647df2e858c80d422cb98abf3378676c023,6e074fdfe49ab7e531a5495edbd206c1c8e6e43c47f37095826543e876509a77,744eb978c1b466f5aa782de4c92c1279cc97aa081182e968f383c4e8e0dd01c2,8e764655a1580273ef7ccae567aea7ca4f0f80ae7bb12acf11e27c178324267a,286317b5e71e1fdbf29820a2c96588ddcd85fb732f8b65038b4ba1f390c6c7e4,1d075905652884ad36eac8b4bef04a7decc9eb0c41bed5d1763d9f2c9fd22c92,c82c4fd27d23e43c9845fb48163687c706708a2996ea9da565671ed9452da12c
"0","110010001","1000001","<weapon>_idle","2","1.3","1","55","-100","1001","-250"
"","110010002","100","","100","1","31","0","0","1001","1"
"","110010003","101","","101","0","31","0","0","1001","1"
"","110010004","4","","4","1","31","0","0","1001","1"
"","110010005","5","","5","1","31","94.5","0","1001","1"
"","110010006","0","","0","","91","","","1001",""
"","110010007","0","","0.4","","93","","","1001",""
"","110010008","<weapon>_joy_short","","1000001","0.2","3","0","","1001",""
"","110010009","0","","1.3","","93","","","1001",""
"","110010010","<weapon>_run","","1000001","0","3","1","","1001",""
"","110010011","800","","1000001","","2","-250","1","1001","0"
"","110010012","0","","0.7","","93","","","1001",""
"","110010013","1","","101","","32","","","1001",""
"","110010014","0","","0.7","","93","","","1001",""
"0","111010001","1000001","<weapon>_run","2","1.3","1","55","-640","1101","-250"
"","111010002","100","","100","1","31","0","0","1101","1"
"","111010003","101","","101","0","31","0","0","1101","1"
"","111010004","4","","4","1","31","0","0","1101","1"
"","111010005","0","","4","","35","","","1101",""
"","111010006","5","","5","1","31","0","0","1101","1"
"","111010007","10","","10","1","31","0","0","1101","1"
"","111010008","","","0","","91","","","1101",""
"","111010009","1","","100","","35","","","1101",""
"","111010010","640","","1000001","","2","-250","2.1","1101","0"
"","111010011","0","","1.7","","93","","","1101",""
"","111010012","1","","101","","32","","","1101",""
"","111010013","0","","0.7","","93","","","1101",""
"0","120010001","1000001","look_loop","1","1.3","1","55","0","2001","-240"
"0","120010002","1","","1","0","31","0","0","2001","1"
"","120010003","0","","1","","35","","","2001",""
"","120010004","1","","1","","32","","","2001",""
"0","120010005","2","","2","1","31","345.4","0","2001","1"
"","120010006","0","","2","","35","","","2001",""
