8b8d05fe59ffdf549470bdfa3aacc265aa183981e795aa54f0f3efd14d228c65,68cbf84b78a5b38c0b91cd95b6c70161c1b0cde64b96a17e03e3b2d0f840ea6a,178313e7ee2923d7dde02d51b160a0bb6b58d262252c00c9ee0592559f00d37c,edc23b30dc4384bb616066db6408bb37b3e1ef406e1158bd73c47ff779ad8105,caeef10ce1cf0092684a8cebd71fcf9716b5e3a30327e1d1f542001fdbb574e2,4eb70f8cccfd43ca4fc35a3b8dc7bd28256e55c14e140eb01d55158ae47da757,9d0a17401e355f7b8ba0c7e399d0bd9bcd47a511b0a18fe1868f9ce78d506afd,9452edca5b17d340e605d62e6bbc98b2eacaacdfc7c0042245e44ee3ad476fc0,ff0017bc66cde0c2889138e562936cd37049196a2b55d75e991005a4218ae6fa,64225cf92192ad2d7485072c525b4711ee265cd22f6658fd38d3ecc9d74c10fa,71971db89d45ecaee1ef5964d84a3b735e5e7a993c777beb70c11867fa0b0a1d
"1","1","0","1.3","100","0","1","0","1001","130011","bsm_idle_yamato"
"1","130011","1","0.2","0","0","3","bsm_drama_arm_crossed_loop","1002","bsm_drama_arm_crossed",""
"1","vo_minigame_1014","","","0","","21","0","1003","vo_minigame_1014_top_1000",""
"1","130011","0","0","5","0","11","1","1004","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな","1"
"1","0","","","","","91","","1005","",""
"1","130011","","0.3","1","","3","","1006","bsm_idle_yamato",""
"2","1","0","1.3","100","0","1","0","2001","130011","bsm_idle_yamato"
"2","130011","","0.2","1","","3","","2002","bsm_drama_thinking",""
"2","vo_minigame_1014","","","0","","21","0","2003","vo_minigame_1014_top_1001",""
"2","130011","0","0","6","0","11","1","2004","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね","1"
"2","0","","","","","91","","2005","",""
"2","130011","","0.3","1","","3","","2006","bsm_idle_yamato",""
"3","1","0","1.3","100","0","1","0","3001","130011","bsm_idle_yamato"
"3","130011","1","0.2","0","0","3","bsm_drama_doya_loop","3002","bsm_drama_doya",""
"3","vo_minigame_1014","","","0","","21","0","3003","vo_minigame_1014_top_1002",""
"3","130011","0","0","7","0","11","1","3004","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ","1"
"3","0","","","","","91","","3005","",""
"3","130011","","0.3","1","","3","","3006","bsm_idle_yamato",""
"4","1","0","1.3","100","0","1","0","4001","130111","bsm_idle_wakana"
"4","130111","1","0.2","0","0","3","bsm_drama_guts_loop","4002","bsm_drama_guts",""
"4","vo_minigame_1014","","","0","","21","0","4003","vo_minigame_1014_top_2000",""
"4","130111","0","0","8","0","11","1","4004","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！","1"
"4","0","","","","","91","","4005","",""
"4","130111","","0.3","1","","3","","4006","bsm_idle_wakana",""
"5","1","0","1.3","100","0","1","0","5001","130111","bsm_idle_wakana"
"5","130111","","0.2","1","","3","","5002","bsm_drama_wish",""
"5","vo_minigame_1014","","","0","","21","0","5003","vo_minigame_1014_top_2001",""
"5","130111","0","0","8","0","11","1","5004","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです","1"
"5","0","","","","","91","","5005","",""
"5","130111","","0.3","1","","3","","5006","bsm_idle_wakana",""
"6","1","0","1.3","100","0","1","0","6001","130111","bsm_idle_wakana"
"6","130111","","0.2","1","","3","","6002","bsm_drama_pazzled",""
"6","vo_minigame_1014","","","0","","21","0","6003","vo_minigame_1014_top_2002",""
"6","130111","0","0","7","0","11","1","6004","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？","1"
"6","0","","","","","91","","6005","",""
"6","130111","","0.3","1","","3","","6006","bsm_idle_wakana",""
"7","1","0","1.3","100","0","1","0","7001","130211","bsm_idle_fubuki"
"7","130211","","0.2","1","","3","","7002","bsm_drama_smile",""
"7","vo_minigame_1014","","","0","","21","0","7003","vo_minigame_1014_top_3000",""
"7","130211","0","0","5","0","11","1","7004","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡","1"
"7","0","","","","","91","","7005","",""
"7","130211","","0.2","1","","3","","7006","bsm_idle_fubuki",""
"8","1","0","1.3","100","0","1","0","8001","130211","bsm_idle_fubuki"
"8","130211","1","0.2","0","","3","bsm_drama_doya_loop","8002","bsm_drama_doya",""
"8","vo_minigame_1014","","","0","","21","0","8003","vo_minigame_1014_top_3001",""
"8","130211","0","0","7","0","11","1","8004","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？","1"
"8","0","","","","","91","","8005","",""
"8","130211","","0.2","1","","3","","8006","bsm_idle_fubuki",""
"9","1","0","1.3","100","0","1","0","9001","130211","bsm_idle_fubuki"
"9","130211","1","0.2","0","0","3","bsm_drama_laugh_loop","9002","bsm_drama_laugh",""
"9","vo_minigame_1014","","","0","","21","0","9003","vo_minigame_1014_top_3002",""
"9","130211","0","0","7","0","11","1","9004","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡","1"
"9","0","","","","","91","","9005","",""
"9","130211","","0.2","1","","3","","9006","bsm_idle_fubuki",""
