2ba1174a200c7d5fec687aa0f41b101a8e79a76d13c4789c1866d89b91fc01f8,628ba6ad543cc423580619b98dc3ddf7489ff7a697bec2d197c1f14f3d679cb0,9a3496e424b19e5c88a180bc24719f1a9a30ce3fa3827d885a6d9856b8a33dd5,1a7cf1a058000e5d3b0e6bffeb24623561a14458c0d02cc593b75fd97c62261e,168369f1f6e4b5d1e5980630e9d78bb85fdca3d33c76fb0220a045abb52463d4,20c84d975a4b4ec11ce649a7fb5d330639ab3e3d230aaba4cd6df7ccc3053883,4bdc301e1ddf3d1e9ba55f57b10a9f550fb0761cd854ae248188fc0d1454b542,d3cd3a461bac871822222b6ba04cb58804bddf0f225e9a47c96f7c4404919028,0aecf594db1561cbf0e8c3b5f3efb73232d363f22adb2dcf63aa5108994d3c1d,9193c64c21c53fa9413dcab038e4c25a07d643458de2e2b333dedf285539531b,5fa0f3fb7d8417636f702f5be1b35f0d7a6464ac75e5096c52bc36d0a018fa69
"1","-200","1.95","1","1009801","-495","0","122711","102","1009801001","lsv_idle_normal"
"1","100","1.95","1","1009801","-480","1","122811","100","1009801002","lsv_idle_normal"
"1","270","1.95","1","1009801","-510","1","122911","101","1009801003","lsv_idle_normal"
"5","0","1","1","1009801","0","0","333","0","1009801004","lsv_white_loop"
"6","1","0","333","1009801","0","0","1","1","1009801005",""
"6","1","0","122711","1009801","0","0","1","1","1009801006",""
"6","1","0","122811","1009801","0","0","1","1","1009801007",""
"6","1","0","122911","1009801","0","0","1","1","1009801008",""
"93","","","1","1009801","","","0","","1009801009",""
"6","1","0.8","333","1009801","0.4","0","1","1","1009801010",""
"3","lsv_idle_normal","0.2","122711","1009801","1","0.2","lsv_jump1","0","1009801011",""
"3","lsv_idle_normal","0.2","122811","1009801","1","0.2","lsv_jump1","0","1009801012",""
"3","lsv_idle_normal","0.2","122911","1009801","1","0.2","lsv_jump1","0","1009801013",""
"93","","","0.3","1009801","","","","","1009801014",""
"2","0.75","","122711","1009801","0","","-200","-235","1009801015",""
"2","0.75","","122811","1009801","0","","100","-220","1009801016",""
"2","0.75","","122911","1009801","0","","270","-250","1009801017",""
"6","1","0.4","122711","1009801","1","0","1","1","1009801018",""
"6","1","0.4","122811","1009801","1","0","1","1","1009801019",""
"6","1","0.4","122911","1009801","1","0","1","1","1009801020",""
"93","","","2","1009801","","","0","","1009801021",""
"3","","0.2","122911","1009801","","","lsv_talk_joy1","1","1009801022",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0121","0","1009801023",""
"11","1","0","122911","1009801","1","0","『みゅ～ちゃん　すくすく日記』♪\nはじまりはじまり～","10","1009801024","0"
"91","","","0","1009801","","","","","1009801025",""
"3","","0.2","122911","1009801","","","lsv_idle_normal_joyR","1","1009801026",""
"3","","0.2","122711","1009801","","","lsv_talk_normal","1","1009801027",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0122","0","1009801028",""
"11","1","0","122711","1009801","1","0","この日記をみんなで書いて、\nみゅ～ちゃんとの思い出を\n作っていこうね。","10","1009801029","0"
"91","","","0","1009801","","","","","1009801030",""
"3","","0.2","122711","1009801","","","lsv_idle_normal","1","1009801031",""
"3","","0.2","122911","1009801","","","lsv_idle_normal","1","1009801032",""
"3","lsv_talk_cool_loop","0","122811","1009801","1","0.2","lsv_talk_cool","0","1009801033",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0123","0","1009801034",""
"11","1","0","122811","1009801","1","0","それにしても…キョウカは\n日記もまじめだねー\n先生に見せるみたい！","10","1009801035","0"
"91","","","0","1009801","","","","","1009801036",""
"3","","0.2","122811","1009801","","","lsv_talk_bitter","1","1009801037",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0124","0","1009801038",""
"11","1","0","122811","1009801","1","0","ミソギたちしか読まないんだし\nもっとふざけちゃっても\nいいのに～♪","10","1009801039","0"
"91","","","0","1009801","","","","","1009801040",""
"3","","0.2","122811","1009801","","","lsv_idle_joy","1","1009801041",""
"3","","0.2","122711","1009801","","","lsv_talk_anger2","1","1009801042",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0125","0","1009801043",""
"11","1","0","122711","1009801","1","0","ふ、ふざけて書くなんて…！\n私にはできないよっ。","10","1009801044","0"
"91","","","0","1009801","","","","","1009801045",""
"3","","0.2","122711","1009801","","","lsv_idle_anger2","1","1009801046",""
"3","","0.2","122911","1009801","","","lsv_talk_normal","1","1009801047",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0126","0","1009801048",""
"11","1","0","122911","1009801","1","0","大丈夫だよ～\nミミは、キョウカちゃんの\n日記もいいなって思うもん♪","10","1009801049","0"
"91","","","0","1009801","","","","","1009801050",""
"3","","0.2","122911","1009801","","","lsv_idle_normal_joyR","1","1009801051",""
"3","lsv_talk_guts2_anger_loop","0","122711","1009801","1","0.2","lsv_talk_guts2_anger","0","1009801052",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0127","0","1009801053",""
"11","1","0","122711","1009801","1","0","と、とにかくっ！　この日記は\nみゅ～ちゃんのことを知って\nいくためにも書くんだよ？","10","1009801054","0"
"91","","","0","1009801","","","","","1009801055",""
"3","","0.2","122711","1009801","","","lsv_talk_normal_worry","1","1009801056",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0128","0","1009801057",""
"11","1","0","122711","1009801","1","0","どんな生き物かわからないと\n育てるのも大変だし…\nそのこと、忘れないようにね？","10","1009801058","0"
"91","","","0","1009801","","","","","1009801059",""
"3","","0.2","122711","1009801","","","lsv_idle_normal","1","1009801060",""
"3","lsv_idle_normal","0","122811","1009801","1","0.2","lsv_hello","0","1009801061",""
"3","lsv_idle_normal_joyR","0","122911","1009801","1","0.2","lsv_hello","0","1009801062",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0129","0","1009801063",""
"11","1","0","122811","1009801","1","0","はーい！","10","1009801064","0"
"11","1","0","122911","1009801","1","0","はーい！","10","1009801065","0"
"91","","","0","1009801","","","","","1009801066",""
"3","","0.2","122711","1009801","","","lsv_idle_normal","1","1009801067",""
"3","","0.2","122911","1009801","","","lsv_talk_surprise","1","1009801068",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0130","0","1009801069",""
"11","1","0","122911","1009801","1","0","みゅ～ちゃんはふしぎだよね～\nはじめて会ったときは\nびっくりしちゃった！","10","1009801070","0"
"91","","","0","1009801","","","","","1009801071",""
"3","","0.2","122911","1009801","","","lsv_idle_normal_suprise1","1","1009801072",""
"3","lsv_talk_cool_loop","0","122811","1009801","1","0.2","lsv_talk_cool","0","1009801073",""
"21","0","","vo_lsv","1009801","","","vo_lsv_0131","0","1009801074",""
"11","1","0","122811","1009801","1","0","タマゴも石みたいだったしね！\nねっ、にいちゃんは、\nどんな生き物だと思う？","10","1009801075","0"
"91","","","0","1009801","","","","","1009801076",""
"3","lsv_look_idle_normal","0","122711","1009801","1","0.2","lsv_choice","0","1009801077",""
"3","lsv_look_idle_normal","0","122811","1009801","1","0.2","lsv_choice","0","1009801078",""
"3","lsv_look_idle_normal","0","122911","1009801","1","0.2","lsv_choice","0","1009801079",""
