8c3c3b04aa78ba1fb2975072bd604a0d451f51d6ce76ff72b31e572f749fb390,938a15cb4fabc79024b2784c7e25efbf875857476bdaa2057f8043d34ebf24fe,997c2daac8cb7dd81ab33180bdb183fe0ae69caecc3fb104aae488ff8bddba61,de8ef5b310dca14583939d6ef43b46f6bf5777b892c3eface48aa64b9865b58d,8632144713c6543765c6d84522c7386fd37dad9214477f51377862ec140658c8
"-4.5","990001","-7","1","30010001"
"-21.5","990001","12","1","30010003"
"-21.5","990001","-3","1","30010004"
"-21.6","1","-5.8","1","30010007"
"-21.6","1","-4.4","1","30010008"
"-8.6","1","-16.7","1","30010029"
"-13","1","-7","1","30010038"
"2.9","990002","-5.5","1","30010047"
"-17.6","1","-8.9","1","30010055"
"-19","1","-6.6","1","30010056"
"-18.4","1","-5","1","30010060"
"-20.4","3","0.6","1","30010061"
"-17.2","3","-3.9","1","30010062"
"-14.9","1","-4.1","1","30010063"
"-17","1","2.2","1","30010066"
"-18.5","1","2.2","1","30010068"
"-15.4","1","2.2","1","30010070"
"-21.7","3","-9.6","1","30010071"
"-21.6","1","-11.9","1","30010073"
"-20","3","-12","1","30010074"
"-21.7","3","-1.9","1","30010077"
"-13.8","3","-4.9","1","30010079"
"-3.6","2","-17","1","30010081"
"-4.7","2","-15","1","30010083"
"-16.8","3","-13.9","1","30010085"
"-11.5","3","-7.1","1","30010089"
"-8.7","2","-8.1","1","30010091"
"-8.7","2","-5.7","1","30010094"
"-4.7","2","-16.3","1","30010100"
"-0.2","2","-13.8","1","30010104"
"2.3","2","-13.9","1","30010106"
"1","2","-15.2","1","30010107"
"2.1","2","-16.6","1","30010109"
"-0.1","2","-16.5","1","30010110"
"-2","2","-20","1","30010112"
"-0.8","2","-20","1","30010113"
"2","2","-20","1","30010115"
"3.7","2","-20","1","30010116"
"0.6","3","-19.9","1","30010117"
"-2.9","3","-18.2","1","30010119"
"-3","3","-19.5","1","30010120"
"-2.5","991002","-15","1","30010125"
"-2.5","991001","-16.7","1","30010126"
"-21.4","991001","-8.5","1","30010130"
"4.8","3","-18.4","1","30010134"
"5.8","3","-17","1","30010136"
"6.9","2","-17.1","1","30010137"
"8","3","-17","1","30010138"
"9.5","2","-17","1","30010139"
"5.3","2","-13.5","1","30010145"
"5.3","2","-12.1","1","30010146"
"8.7","3","-15.5","1","30010147"
"8.8","2","-14.3","1","30010148"
"8.8","3","-13","1","30010149"
"10.2","2","-12.3","1","30010150"
"8.4","2","-10.8","1","30010152"
"10.2","2","-10.7","1","30010155"
"-16.1","1","-6.2","1","30010156"
"6.8","2","-7.3","1","30010160"
"7.9","3","-6.4","1","30010161"
"6.4","1","-6","1","30010162"
"2","3","-6","1","30010163"
"4.6","1","-6","1","30010164"
"3","1","-2.8","1","30010166"
"5.3","1","-2.2","1","30010168"
"5.3","3","-0.5","1","30010169"
"-12.2","1","-4.9","1","30010170"
"-10.9","3","-4.9","1","30010171"
"8","1","-3.8","1","30010173"
"8.7","2","-2.6","1","30010174"
"8","1","-1.5","1","30010175"
"8.7","2","-0.3","1","30010176"
"7.9","1","0.9","1","30010177"
"3.3","2","-1.9","1","30010178"
"-0.8","2","-1.6","1","30010181"
"0.4","1","1","1","30010182"
"0.4","2","2.4","1","30010183"
"0.4","1","3.6","1","30010184"
"1.3","1","6.4","1","30010186"
"1.3","3","8","1","30010187"
"1.3","1","9.5","1","30010188"
"4.9","2","5.4","1","30010189"
"5.8","1","6.4","1","30010190"
"4.9","2","7.5","1","30010191"
"5.8","2","8.6","1","30010192"
"5.7","1","3.8","1","30010193"
"0.4","3","11.1","1","30010194"
"0.2","2","14","1","30010195"
"1.4","3","15","1","30010196"
"2.4","2","14.1","1","30010197"
"3.5","1","15.1","1","30010198"
"4.3","2","14","1","30010199"
"6.3","1","12","1","30010200"
"6.3","2","10.3","1","30010201"
"-2.8","1","12.1","1","30010202"
"-1.7","3","9.1","1","30010203"
"-3","1","9","1","30010204"
"-4.7","3","9","1","30010205"
"-1.7","2","15.9","1","30010206"
"-3.2","2","16.8","1","30010207"
"-4.5","2","15.8","1","30010208"
"-2.8","3","13.1","1","30010209"
"-8.8","1","10.2","1","30010210"
"-7.5","2","10.1","1","30010211"
"-5.9","1","10","1","30010212"
"-8.7","3","15.1","1","30010213"
"-7.6","3","16.2","1","30010214"
"-6.3","3","15.3","1","30010215"
"-10.4","1","15.9","1","30010216"
"-11.6","3","16.9","1","30010217"
"-13","1","15.9","1","30010218"
"-11.6","2","11.1","1","30010219"
"-10.1","3","11.1","1","30010220"
"-14.3","3","13.9","1","30010221"
"-15.5","1","15","1","30010222"
"-17.3","3","14.3","1","30010223"
"-18.4","1","15","1","30010224"
"-17.8","1","11.1","1","30010225"
"-18.9","3","11.1","1","30010226"
"-21.6","1","11","1","30010227"
"-21.6","2","9.7","1","30010228"
"-21.6","1","8.5","1","30010229"
"-21.6","1","7","1","30010230"
"-21.7","3","5.5","1","30010231"
"-21.7","1","4","1","30010232"
"-20.4","3","2.2","1","30010233"
"-19.3","2","6","1","30010234"
"-18.2","2","5.3","1","30010235"
"-16.8","2","6","1","30010236"
"-11.8","1","2.2","1","30010237"
"-9.5","1","7","1","30010238"
"-9","3","5.9","1","30010239"
"-9.5","1","4.9","1","30010240"
"-10.3","3","2.1","1","30010241"
"-8.5","1","2.1","1","30010242"
"-18.7","1","0.6","1","30010243"
"-13.4","3","5.2","1","30010244"
"-12.6","3","4","1","30010245"
"6","991004","-16.6","1","30010246"
"5.5","991002","-15.1","1","30010247"
"-2.5","991002","12.3","1","30010251"
"-2.5","991001","11.7","1","30010252"
"-7.5","991002","12.2","1","30010253"
"-7.5","991001","11.8","1","30010254"
"-13.2","991001","11.4","1","30010255"
"-13.7","991003","12.7","1","30010256"
"-21.5","991001","6.5","1","30010257"
"-12.6","991002","6.8","1","30010259"
"-12.6","991001","5.2","1","30010260"
"-11.5","991002","-1.5","1","30010261"
"-11.5","991001","-2.5","1","30010262"
"-20.2","991004","6.4","1","30010263"
"-16.6","991002","-1.8","1","30010264"
"-16.6","991001","-2.2","1","30010265"
"8.5","2","-9.3","1","30010267"
"-18.6","1","-12","1","30010268"
"-17.6","991002","-10.1","1","30010269"
"-17.7","991001","-11.7","1","30010270"
"-12.6","991003","-14.3","1","30010271"
"-11.2","991004","-14.3","1","30010272"
"-15.4","3","-13.9","1","30010274"
"-14.1","3","-13.8","1","30010275"
"-8.1","991003","-12.2","1","30010276"
"-7.7","991004","-12.2","1","30010277"
"-8.6","1","-15.3","1","30010278"
"-11.9","1","-19.9","1","30010279"
"-10.7","3","-19.9","1","30010280"
"-9.2","1","-19.9","1","30010281"
"-8","3","-19.9","1","30010282"
"-13.4","1","-18.6","1","30010283"
"-13.6","1","-16.2","1","30010284"
"-13.7","3","-14.9","1","30010285"
"-9.6","3","-12.9","1","30010286"
"-9.6","2","-11.7","1","30010287"
"-9.6","2","-10.4","1","30010288"
"-8.8","1","-7","1","30010289"
"-3.6","2","-1","1","30010290"
"-5","2","-1","1","30010291"
"2.5","991002","1.8","1","30010292"
"2.5","991003","0.5","1","30010293"
"-22.7","2","10.5","2","30020001"
"-23","2","9","2","30020004"
"-23","2","6","2","30020005"
"-22.7","2","7.5","2","30020006"
"-19.1","991001","6.3","2","30020008"
"-19.1","991002","7.8","2","30020009"
"-21.5","2","5.5","2","30020010"
"-22.7","1","13.5","2","30020011"
"-23.5","3","15","2","30020012"
"-22.5","990001","17.1","2","30020013"
"-22.7","1","16.3","2","30020014"
"-22.7","3","18.4","2","30020015"
"-23.5","1","19.7","2","30020016"
"-22.7","3","21.3","2","30020017"
"-20","2","10.5","2","30020018"
"-19.8","1","12.5","2","30020019"
"-19.8","1","15","2","30020020"
"-15","1","15","2","30020024"
"-17.8","1","18.6","2","30020027"
"-19.8","1","17.5","2","30020029"
"-17","1","15","2","30020030"
"-16.4","3","16","2","30020031"
"-20.3","2","4","2","30020032"
"-18.9","2","3.5","2","30020033"
"-17.5","2","4","2","30020034"
"-15.7","2","9","2","30020035"
"-23.8","2","-2","2","30020043"
"-23.8","2","-4","2","30020044"
"-23","1","-5","2","30020045"
"-19","2","-4","2","30020047"
"-17","2","-4","2","30020048"
"-15.7","1","-1.3","2","30020050"
"-13.4","2","-1.7","2","30020051"
"-13.5","2","-3.5","2","30020052"
"-13.1","2","-7","2","30020053"
"-13.6","2","-9.2","2","30020054"
"-14.9","2","-9","2","30020055"
"-21.1","1","-7","2","30020056"
"-22.7","1","-8.8","2","30020062"
"-22.7","1","-12","2","30020063"
"-21.1","3","-5","2","30020065"
"-23","3","-7","2","30020066"
"-23.2","3","-10.5","2","30020067"
"-16","2","-10","2","30020068"
"-15.3","2","-12","2","30020069"
"-18.1","2","-13.5","2","30020070"
"-16.4","2","-13.5","2","30020071"
"-22.7","3","-14.5","2","30020072"
"-22.7","3","-17.1","2","30020073"
"-19","991004","-8.2","2","30020074"
"-22.5","990001","-16","2","30020076"
"-22.7","1","-19.5","2","30020077"
"-22.7","1","-21.5","2","30020078"
"-22","3","-23.5","2","30020079"
"-20.2","3","-23.5","2","30020080"
"-18.8","1","-25","2","30020083"
"-17.6","3","-25","2","30020084"
"-16","3","-25","2","30020085"
"-14","1","-25","2","30020086"
"-16.1","2","-19.7","2","30020087"
"-14.8","2","-19.3","2","30020088"
"-12.7","3","-24.5","2","30020089"
"-11.5","1","-23.5","2","30020090"
"-13.1","3","-19.4","2","30020091"
"-11.5","1","-20","2","30020092"
"-9.6","3","-25","2","30020093"
"-8","1","-25","2","30020094"
"-6.2","3","-25","2","30020095"
"-9.4","2","-18.5","2","30020096"
"-8.5","2","-17","2","30020097"
"-7.4","2","-18.5","2","30020098"
"-6.8","2","-17","2","30020099"
"-4","1","-23.7","2","30020100"
"-2","1","-21.6","2","30020101"
"-2","1","-19.5","2","30020102"
"-2","1","-17.7","2","30020103"
"-3.4","3","-16.1","2","30020104"
"-4","3","-15","2","30020105"
"-10.8","3","-16.2","2","30020106"
"-11.3","3","-15","2","30020107"
"-10.8","3","-13.7","2","30020108"
"-6","1","-10.5","2","30020109"
"-5","1","-9.3","2","30020110"
"-5.1","3","-11.9","2","30020111"
"-6","3","-8.3","2","30020112"
"-10.4","3","-12","2","30020113"
"-11.8","1","-10.8","2","30020114"
"-11.8","1","-9","2","30020115"
"-10","3","-7","2","30020116"
"-8","2","3.9","2","30020119"
"-8.8","2","-4.9","2","30020121"
"-7.7","2","-4","2","30020122"
"-8.9","2","-3","2","30020123"
"-2.6","3","-14.2","2","30020125"
"-1","1","-14.2","2","30020126"
"0.2","3","-13.1","2","30020127"
"1.1","1","-11.8","2","30020128"
"1.2","1","-7.4","2","30020131"
"2.2","3","-10.5","2","30020132"
"2.2","3","-8.5","2","30020133"
"1.1","1","-9.5","2","30020134"
"0","3","-6","2","30020135"
"1.3","1","-4.5","2","30020136"
"-1","1","2.8","2","30020141"
"-10.2","2","0.4","2","30020142"
"-2.8","1","6.2","2","30020143"
"-2.7","1","8","2","30020145"
"-4.3","1","6.9","2","30020146"
"0.9","3","3.8","2","30020147"
"0.9","3","6.2","2","30020148"
"0.5","3","8","2","30020149"
"0.5","3","10.4","2","30020150"
"-9.5","3","8","2","30020151"
"-8","3","8.7","2","30020152"
"-4.1","1","3","2","30020153"
"-12","2","2.3","2","30020154"
"-12.5","2","3.8","2","30020155"
"-12","2","5.5","2","30020156"
"-1.1","1","11.9","2","30020157"
"-2.5","1","13","2","30020158"
"-3.7","1","13","2","30020159"
"-3.5","3","15","2","30020160"
"-1.9","3","15","2","30020161"
"-9","2","15","2","30020162"
"-7.6","2","16","2","30020163"
"-9.1","2","17","2","30020164"
"-7.6","2","18.1","2","30020165"
"-9.1","2","18.7","2","30020166"
"-1.1","1","16.5","2","30020167"
"0","1","18.2","2","30020168"
"-0.8","1","19.5","2","30020169"
"1","3","21","2","30020170"
"1","3","23","2","30020171"
"-10","3","10","2","30020172"
"-10.8","3","11.5","2","30020173"
"-10","3","13","2","30020174"
"-11.3","1","17.4","2","30020176"
"-12","3","16","2","30020177"
"-11.3","1","14.4","2","30020178"
