40fb30fe700ed47f28566380e78e48b4713420d307155919296332a51f5fd3c1,9d127c9177a602eb3b8471a4f6dc096b3eda5cb51283c59418fa6ff4d7eaca0a,987770c61c0c2dced1167aaba5a9dd655cf455d3da4c60ba75952586c2bff5c2,a42ba85cb20b1eaadf514597f5483ff68d0db5f431ce2f25da136bcc72bfc0d9,13d6bab5f099102bdebb30bc001df7f85d1e8ebb70efd6826339a3b8081f966b,b3ae6f3311285ed19c9be393458be9fc65c8f10108032d9a21a761cb009997ed,565b48a99c7840feb9d395a92f2efe3d950ad926164b3705e82647e2d8357902,27984f16ba5f1a0a82403391bbb7ed12c652e8c83ee32e3f71839e2cdbfef94c,55dbfd2a3b66f4eeeb0075126c3b76e453e5c1a4c1b4a563a0fa23a53655425c,3d3d7b1a6a79ca41bfdcb8b971ce71b1d9e737ef029359e09f86f79ea257ca9a,0d8ef4be2e4d52b1e4b192f366a060ce66e84e405bbef4ab135ebc9bcd6d72f1
"100","0","1","105831","1","01_uek_cmn_idol_def_N","1.3","-496","1","-157","1010001"
"110","0","1","105931","1","01_uek_cmn_idol_def_N","1.3","-355","1","-178","1010002"
"100","1","1","112631","1","01_uek_cmn_idol_def_N","1.3","410","1","-124","1010003"
"110","1","1","112531","1","01_uek_cmn_idol_def_N","1.3","389","1","-258","1010004"
"120","0","1","106031","1","01_uek_cmn_idol_def_N","1.3","-415","1","-234","1010005"
"120","1","1","112431","1","01_uek_cmn_idol_def_N","1.3","262","1","-235","1010006"
"0","0.2","105831","01_uek_01_peko","1","","0","01_uek_cmn_pose03","3","1","1010007"
"0","0.2","105931","01_uek_01_kokkoro","1","","0","01_uek_talk_normal","3","1","1010008"
"0","0.2","106031","01_uek_01_kyaru","1","","0","01_uek_cmn_pose02","3","1","1010009"
"0","0.2","112631","01_uek_01_mio","1","","0","01_uek_cmn_pose03","3","1","1010010"
"0","0.2","112531","01_uek_01_rin","1","","0","01_uek_cmn_pose02","3","1","1010011"
"0","0.2","112431","01_uek_01_uduki","1","","0","01_uek_cmn_pose01","3","1","1010012"
"","","3","","1","","","","93","","1010013"
"1","","112631","01_uek_cmn_pose03","1","","0.2","","3","0","1010014"
"1","","112431","01_uek_cmn_pose01","1","","0.2","","3","0","1010015"
"1","","105831","01_uek_cmn_pose03","1","","0.2","","3","0","1010016"
"0","0.1","105931","01_uek_talk_normal","1","","0.2","01_uek_cmn_idol_def_N","3","1","1010017"
"0","0.1","106031","01_uek_cmn_pose02","1","","0.2","01_uek_cmn_idol_def_N","3","1","1010018"
"0","0.1","112531","01_uek_cmn_pose02","1","","0.2","01_uek_cmn_idol_def_N","3","1","1010019"
"10","","105831","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","1","","","","11","","1010020"
"","","0","","1","","","","91","","1010021"
"10","","105931","うえきちゃんが\nどこまで続くのか\n分からないほどです","1","","","","11","","1010022"
"","","0","","1","","","","91","","1010023"
"10","","112631","こういうのってさ\n上がどうなってるか\n見てみたいよね！","1","","","","11","","1010024"
"","","0","","1","","","","91","","1010025"
"10","","112531","確かにね…それに\nこうなった理由も\n分かるかも","1","","","","11","","1010026"
"","","0","","1","","","","91","","1010027"
"10","","106031","ま、興味はあるし\n付き合ってあげるわ","1","","","","11","","1010028"
"","","0","","1","","","","91","","1010029"
"10","","112431","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","1","","","","11","","1010030"
"","","0","","1","","","","91","","1010031"
"100","0","1","104431","2","02_uek_cmn_idol_def_N","1.3","0","1","0","1020001"
"0","","104431","02_uek_02_ilya","2","","","02_uek_02_ilya_loop","3","0","1020002"
"10","","104431","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","2","","","0","11","","1020003"
"","","0","","2","","","","91","0","1020004"
"100","0","1","105831","3","01_uek_cmn_idol_def_N","1.3","-140","1","-10","1030001"
"100","1","1","105931","3","01_uek_cmn_idol_def_N","1.3","120","1","10","1030002"
"100","1","1","106031","3","01_uek_cmn_idol_def_N","1.3","0","1","0","1030003"
"0","","105831","01_uek_03_peko","3","","","01_uek_03_peko_loop","3","0","1030004"
"0","","106031","01_uek_03_kyaru","3","","","01_uek_03_kyaru_loop","3","0","1030005"
"10","","105831","キャルちゃん！\n見てください\nいい景色ですよ☆","3","","","0","11","","1030006"
"","","0","","3","","","","91","","1030007"
"10","","106031","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","3","","","0","11","","1030008"
"","","0","","3","","","","91","","1030009"
"0","","105931","01_uek_03_kokkoro","3","","","01_uek_cmn_idol_def_N","3","1","1030010"
"10","","105931","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","3","","","0","11","","1030011"
"100","0","1","101131","4","02_uek_cmn_idol_def_N","1.3","-120","1","-30","1040001"
"100","1","1","104931","4","02_uek_cmn_idol_def_N","1.3","20","1","-5","1040002"
"1","","101131","02_uek_talk_joy2","4","","","","3","","1040003"
"10","","101131","マスターセンリも\n一発からです！\n頑張りますよ！","4","","","0","11","","1040004"
"","","0","","4","","","","91","","1040005"
"1","","101131","02_uek_cmn_idol_def_N","4","","0.2","","3","","1040006"
"1","","104931","02_uek_04_shizuru","4","","0.2","","3","","1040007"
"10","","104931","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","4","","","0","11","","1040008"
"","","0","","4","","","","91","","1040009"
"1","","104931","02_uek_cmn_idol_def_N","4","","0.2","","3","","1040010"
"100","0","1","105031","5","02_uek_cmn_idol_def_N","1.3","-70","1","0","1050001"
"100","1","1","101631","5","02_uek_cmn_idol_def_N","1.3","70","1","1","1050002"
"0","","105031","02_uek_05_misaki","5","","","02_uek_05_misaki_loop","3","-15","1050003"
"0","","101631","02_uek_05_suzuna","5","","","02_uek_05_suzuna_loop","3","0","1050004"
"10","","105031","大人の階段を\n登るわよー！","5","","","0","11","","1050005"
"","","0","","5","","","","91","0","1050006"
"10","","101631","うちもモデルの\nてっぺん目指すし！","5","","","0","11","","1050007"
"100","1","1","100531","6","02_uek_cmn_idol_def_N","1.3","120","1","25","1060001"
"100","0","1","103731","6","02_uek_cmn_idol_def_N","1.3","-20","1","5","1060002"
"1","","100531","02_uek_cmn_pose04","6","","","","3","","1060003"
"10","","100531","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","6","","","0","11","","1060004"
"","","0","","6","","","","91","","1060005"
"1","","103731","02_uek_talk_normal","6","","0.2","","3","","1060006"
"10","","103731","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","6","","","0","11","","1060007"
"","","0","","6","","","","91","","1060008"
"1","","103731","02_uek_cmn_idol_def_N","6","","0.2","","3","","1060009"
"100","0","1","103831","7","02_uek_cmn_idol_def_N","1.3","-60","1","-20","1070001"
"1","","103831","02_uek_07_shiori","7","","0.2","","3","","1070002"
"10","","103831","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","7","","","","11","","1070003"
"100","0","1","104531","8","02_uek_08_kuka_loop","1.3","90","1","40","1080001"
"90","","2","2","8","","1","60","31","1","1080002"
"10","","104531","あ、足に絡みつく\nツタの感触が\nたまりません～～！","8","","","0","11","0","1080003"
"","","0","","8","","","","91","","1080004"
"100","0","2","105831","9","05_idle","0.9","-195","1","-35","1090001"
"1000","0","2","302102","9","302102_idle","1.2","150","1","-30","1090002"
"150","","102","15","9","","1","50","31","1","1090003"
"150","","103","16","9","","1","400","31","1","1090004"
"100","0","1","112531","10","01_uek_cmn_idol_def_N","1.3","-160","1","-25","1100001"
"100","1","1","112431","10","01_uek_cmn_idol_def_N","1.3","-40","1","-5","1100002"
"100","1","1","112631","10","01_uek_cmn_idol_def_N","1.3","125","1","20","1100003"
"1","","112631","01_uek_talk_surprise2","10","","","","3","0","1100004"
"10","","112631","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","10","","","0","11","0","1100005"
"","","0","","10","","","","91","","1100006"
"1","","112631","01_uek_cmn_idol_def_N","10","","0.2","","3","0","1100007"
"1","","112431","01_uek_talk_joy1","10","","","","3","","1100008"
"10","","112431","なんだか不思議な\n感触してますね～\nふわふわですよ♪","10","","","0","11","0","1100009"
"","","0","","10","","","","91","","1100010"
"1","","112431","01_uek_cmn_idol_def_N","10","","0.2","","3","","1100011"
"1","","112531","01_uek_talk_normal","10","","","","3","","1100012"
"10","","112531","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","10","","","0","11","0","1100013"
"","","0","","10","","","","91","","1100014"
"1","","112531","01_uek_cmn_idol_def_N","10","","0.2","","3","","1100015"
"","","0","","10","","","","91","","1100016"
"100","0","1","104731","11","03_uek_cmn_idol_def_N","1.3","-135","1","-20","1110001"
"100","1","1","107131","11","03_uek_cmn_idol_def_N","1.3","100","1","5","1110002"
"0","","104731","03_uek_11_jun","11","","0","03_uek_11_jun_loop","3","1","1110003"
"0","0.2","107131","03_uek_11_chris","11","","0","03_uek_cmn_idol_def_N","3","1","1110004"
"10","","104731","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","11","","","","11","0","1110005"
"","","0","","11","","","","91","","1110006"
"10","","107131","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","11","","","0","11","0","1110007"
"","","1.5","","11","","","","93","","1110008"
"0","","104731","-135","11","","","1.5","2","1","1110009"
"","","1110007","","11","","","","91","","1110010"
"100","0","1","101031","12","03_uek_cmn_idol_def_N","1.3","-120","1","-20","1120001"
"100","1","1","101431","12","03_uek_cmn_idol_def_N","1.3","10","1","-5","1120002"
"1","","101031","03_uek_talk_joy1","12","","","","3","0","1120003"
"10","","101031","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","12","","","0","11","0","1120004"
"","","0","","12","","","","91","","1120005"
"1","","101031","03_uek_cmn_idol_def_N","12","","0.2","","3","0","1120006"
"1","","101431","03_uek_talk_normal","12","","","","3","0","1120007"
"10","","101431","いくらなんでも\nそれは難しいんじゃ\nないかな…？","12","","","0","11","0","1120008"
"","","0","","12","","","","91","","1120009"
"1","","101431","03_uek_cmn_idol_def_N","12","","0.2","","3","0","1120010"
"100","0","1","105831","13","01_uek_cmn_idol_def_N","1.3","-165","1","-45","1130001"
"100","0","1","105931","13","01_uek_cmn_idol_def_N","1.3","-45","1","-20","1130002"
"100","1","1","106031","13","01_uek_cmn_idol_def_N","1.3","120","1","-5","1130003"
"1","","105931","01_uek_talk_normal","13","","","","3","1","1130004"
"10","","105931","かなり高くまで\n登ってまいりました\nですが…","13","","","0","11","0","1130005"
"","","0","","13","","","","91","","1130006"
"0","","105931","01_uek_13_kokkoro","13","","0.2","01_uek_cmn_idol_def_N","3","1","1130007"
"0","","106031","01_uek_13_kyaru","13","","","01_uek_13_kyaru_loop","3","1","1130008"
"10","","106031","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！","13","","","0","11","0","1130009"
"","","0","","13","","","","91","","1130010"
"1","","105831","01_uek_13_peco_loop","13","","","","3","0","1130011"
"10","","105831","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆","13","","","0","11","0","1130012"
"","","0","","13","","","","91","","1130013"
