5489180349ecd72893cadc1fbff93eb86bdd866308b945743052d724d5c29626,e3c1bcfccadcdab01e8709e11cec3d5e368221668303a58373d444a4c2cfb4ed,56f0e352da867763730c08c3e6a41bd624b42e7e81cb2f31ab85dc2a56aabff9,4e8a199fbd5f4fb0f4cbc9979f0cd615e8345921bf71b9678ab090e162048b3b
"0","50","111","700"
"0","50","113","700"
"0","50","131","800"
"0","50","211","700"
"0","50","213","700"
"0","50","231","800"
"0","50","311","700"
"-25","50","312","460"
"0","50","313","700"
"0","50","331","700"
"0","50","411","700"
"0","50","412","700"
"0","50","413","700"
"0","0","414","600"
"0","50","415","460"
"0","50","416","460"
"0","50","417","700"
"0","50","418","700"
"0","50","419","700"
"0","50","421","700"
"30","50","511","700"
"30","50","512","700"
"100","50","611","700"
"100","50","711","700"
"0","50","712","800"
"0","50","713","800"
"0","50","714","800"
"0","50","715","800"
"0","50","716","800"
"100","50","717","700"
"100","50","718","700"
"50","50","811","500"
"0","50","812","1200"
"0","50","813","800"
"0","60","814","800"
"0","60","815","800"
"-65","50","911","600"
"0","50","912","1200"
"0","50","913","800"
"0","50","914","800"
"-40","55","915","980"
"-40","55","916","980"
"0","50","1011","800"
"0","50","1012","800"
"0","50","1013","800"
"0","50","1031","800"
"0","50","1111","800"
"0","50","1112","800"
"0","50","1131","800"
"-60","50","1211","590"
"0","50","1212","460"
"0","50","1213","460"
"0","50","1214","460"
"-15","50","1215","600"
"0","50","1231","800"
"-50","50","1331","700"
"0","50","1411","800"
"0","50","1412","800"
"0","50","1413","800"
"0","50","1421","800"
"100","50","1511","700"
"100","50","1512","700"
"100","50","1514","700"
"100","50","1515","700"
"100","50","1516","700"
"100","50","1521","700"
"-50","150","1611","700"
"-50","150","1612","700"
"-50","150","1613","700"
"0","50","1614","800"
"-50","150","1615","700"
"0","50","1711","800"
"0","50","1811","800"
"0","50","1911","800"
"0","50","2011","800"
"0","50","2111","800"
"0","50","2211","800"
"0","50","2311","800"
"0","50","2411","800"
"0","50","2415","800"
"15","15","2511","970"
"0","50","2512","800"
"0","20","2513","1100"
"0","20","2514","1100"
"0","0","2611","455"
"0","50","2612","800"
"-45","50","2711","525"
"-45","50","2712","525"
"0","50","2713","800"
"-30","125","2811","1190"
"-30","125","2812","1190"
"0","0","2911","460"
"0","50","2912","800"
"0","50","2913","800"
"0","50","2914","800"
"0","50","2915","800"
"0","50","2931","600"
"0","0","3011","460"
"0","50","3012","800"
"0","50","3013","800"
"0","50","3031","600"
"0","0","3111","460"
"0","50","3112","800"
"0","50","3113","800"
"0","50","3114","800"
"0","50","3131","600"
"-20","0","3211","460"
"-40","50","3311","600"
"-30","50","3411","460"
"-60","50","3511","700"
"0","50","3512","800"
"-30","50","3911","800"
"0","30","4011","800"
"0","30","4111","800"
"0","50","4211","600"
"0","50","4311","800"
"0","50","4312","800"
"0","50","4411","800"
"10","60","4511","700"
"10","60","4512","700"
"10","60","4513","700"
"0","50","4611","460"
"-30","70","4711","650"
"0","70","4811","620"
"0","50","4911","800"
"0","50","5011","800"
"0","50","5012","800"
"0","50","5013","800"
"0","50","5111","800"
"0","50","5112","800"
"0","50","5211","800"
"0","50","5212","800"
"0","50","5413","600"
"0","50","5511","800"
"0","50","5512","800"
"0","50","5611","700"
"0","50","5612","800"
"-60","50","5613","590"
"0","50","5614","460"
"0","50","5615","700"
"0","50","5616","700"
"0","50","5711","800"
"0","50","5712","800"
"0","50","5811","800"
"0","50","5812","800"
"0","50","5911","800"
"0","50","5912","800"
"0","50","6011","800"
"0","75","6012","530"
"0","50","6111","700"
"0","70","6211","790"
"-135","50","6311","750"
"-120","50","6312","750"
"0","50","6411","900"
"-50","50","6511","670"
"0","70","6632","800"
"0","70","6732","800"
"0","70","6832","800"
"0","70","6932","800"
"0","50","7011","830"
