d157342906be49f5ea54e13600bc3baffca63d6b8cfd31b9000edbe1a2cce67d,e744166806b7756857b5c1817f425f7df7026bb2ed9795878e7b687ced090fc6,c7b3992aeae97c5343a1334b2842fb197b426ffa1cab2972eaa2616bc1693840,75156e2ebc7b3e85f90ed61bddbe2397203908048678d996ac0039c1cd54e316,fb5624807b3556b33aab52b24424de5fa9a0ae7a3712f96181ce47050b7be182,a4c21035d315b48e2d91a15203ffbbd46723c0415d0c27b08ca7ab311f133277
"11101","1","vo_caravan","1","1","vo_caravan_105801_start_001"
"11102","1","vo_caravan","1","1","vo_caravan_105801_start_002"
"12101","1","vo_caravan","2","1","vo_caravan_105901_start_001"
"12102","1","vo_caravan","2","1","vo_caravan_105901_start_002"
"13101","1","vo_caravan","3","1","vo_caravan_106001_start_001"
"13102","1","vo_caravan","3","1","vo_caravan_106001_start_002"
"14101","1","vo_caravan","4","1","vo_caravan_106401_start_001"
"14102","1","vo_caravan","4","1","vo_caravan_106401_start_002"
"21101","1","vo_caravan","1","2","vo_caravan_105801_dice_001"
"21102","1","vo_caravan","1","2","vo_caravan_105801_dice_002"
"22101","1","vo_caravan","2","2","vo_caravan_105901_dice_001"
"22102","1","vo_caravan","2","2","vo_caravan_105901_dice_002"
"23101","1","vo_caravan","3","2","vo_caravan_106001_dice_001"
"23102","1","vo_caravan","3","2","vo_caravan_106001_dice_002"
"24101","1","vo_caravan","4","2","vo_caravan_106401_dice_001"
"24102","1","vo_caravan","4","2","vo_caravan_106401_dice_002"
"31101","1","vo_caravan","1","3","vo_caravan_105801_slot_001"
"32101","1","vo_caravan","2","3","vo_caravan_105901_slot_001"
"33101","1","vo_caravan","3","3","vo_caravan_106001_slot_001"
"34101","1","vo_caravan","4","3","vo_caravan_106401_slot_001"
"41101","1","vo_caravan","1","4","vo_caravan_105801_dish_001"
"41102","1","vo_caravan","1","4","vo_caravan_105801_dish_002"
"42101","1","vo_caravan","2","4","vo_caravan_105901_dish_001"
"42102","1","vo_caravan","2","4","vo_caravan_105901_dish_002"
"42201","2","se_caravan","1","4","se_caravan_food_peko"
"42202","2","se_caravan","2","4","se_caravan_food_coccoro"
"42203","2","se_caravan","3","4","se_caravan_food_kyaru"
"42204","2","se_caravan","4","4","se_caravan_food_coccoro"
"42205","2","se_caravan","100","4","se_caravan_food_onigiri"
"43101","1","vo_caravan","3","4","vo_caravan_106001_dish_001"
"43102","1","vo_caravan","3","4","vo_caravan_106001_dish_002"
"44101","1","vo_caravan","4","4","vo_caravan_106401_dish_001"
"44102","1","vo_caravan","4","4","vo_caravan_106401_dish_002"
"45101","1","vo_caravan","100","4","vo_caravan_onigiri_dish_001"
"61101","1","vo_caravan","0","6","vo_caravan_105801_goal_001"
"61201","1","vo_caravan","0","61","vo_caravan_105801_win_001"
"61301","1","vo_caravan","0","62","vo_caravan_105801_lose_001"
"62101","1","vo_caravan","0","6","vo_caravan_105901_goal_001"
"62201","1","vo_caravan","0","61","vo_caravan_105901_win_001"
"62301","1","vo_caravan","0","62","vo_caravan_105901_lose_001"
"63101","1","vo_caravan","0","6","vo_caravan_106001_goal_001"
"63201","1","vo_caravan","0","61","vo_caravan_106001_win_001"
"63301","1","vo_caravan","0","62","vo_caravan_106001_lose_001"
"64101","1","vo_caravan","0","6","vo_caravan_118501_goal_001"
"65101","1","vo_caravan","0","6","vo_caravan_106401_goal_001"
"65201","1","vo_caravan","0","61","vo_caravan_106401_win_001"
"65301","1","vo_caravan","0","62","vo_caravan_106401_lose_001"
"71101","1","vo_caravan","0","7","vo_caravan_105801_appraise_001"
"72101","1","vo_caravan","0","7","vo_caravan_105901_appraise_001"
"73101","1","vo_caravan","0","7","vo_caravan_106001_appraise_001"
"74101","1","vo_caravan","0","7","vo_caravan_106401_appraise_001"
"81101","1","vo_caravan","0","8","vo_caravan_105801_result_001"
"82101","1","vo_caravan","0","8","vo_caravan_105901_result_001"
"83101","1","vo_caravan","0","8","vo_caravan_106001_result_001"
"84101","1","vo_caravan","0","8","vo_caravan_106401_result_001"
"211101","1","vo_caravan","11","2","vo_caravan_319700_dice_001"
"211102","1","vo_caravan","11","2","vo_caravan_319700_dice_002"
"212101","1","vo_caravan","12","2","vo_caravan_319800_dice_001"
"212102","1","vo_caravan","12","2","vo_caravan_319800_dice_002"
"213101","1","vo_caravan","13","2","vo_caravan_319900_dice_001"
"213102","1","vo_caravan","13","2","vo_caravan_319900_dice_002"
