4fe1a4a37dc774ae9145945c06b9dbd3543437ac65eb8574b30ab0d5e0b0b69e,66fb001284e88af4c1f05a586d4c7b54f54a812b99d8eaa8117afd432e2ca7f4,c94f5aea5744d34f0f2e196f9a39ab5829e0b02ee19e7d89ba73f9c0483c2723,d53c15a826d37a3c38b61f524b05d63c44e5902b28e9b1aff69ba0c2c2e17e1c,d0cc2306b6513d786a3906989afcf997979ad1965c89b8cc325da76365073691,79564568b076511bc9e04b4f7ea11babdb29bd8587186145647d42cc94633e5c,b4bc6f3cc93d8b25e00d3f7fb3dc144a906e4cdd3c05060927c1e260ef4edb36,a901d5a08483a74c779a044bc574ba0db3f621ce43be83a038197da0731edbdf,e93695d918ce217917137dbd1f3080a8f27726e0c1bcaee35e6fda94f4b1a780,95054f7a0dd039d5879dfb6eab8cf270a337e6653f9d58a569c7b7c167fb23b6,005c022dc6f064cdc160cd8c6409edf0b2ef2c09227d6ab62bf013510ee3f02a,f21b8fb920840ce2b45fc60b59bb7215d88607c6f4a300ce2f65c5c7f2ef99c6
"0","1000102","10001201","0","10001","0","10001115","0","0","2018/04/09 15:00:00","0","1000101"
"1000101","0","0","0","10001","0","0","0","0","0","0","1000102"
"0","1000202","10002201","0","10002","0","10002115","0","0","2018/05/08 15:00:00","0","1000201"
"1000201","0","0","0","10002","0","0","0","0","0","0","1000202"
"0","1000302","10003201","0","10003","0","10003115","0","0","2018/06/08 15:00:00","0","1000301"
"1000301","0","0","0","10003","0","0","0","0","0","0","1000302"
"0","1000402","10004201","0","10004","0","10004115","0","0","2018/07/06 15:00:00","0","1000401"
"1000401","1000403","0","0","10004","0","0","0","0","0","0","1000402"
"1000402","0","0","0","10004","0","0","0","0","0","0","1000403"
"0","1000502","10005201","0","10005","0","10005115","0","0","2018/08/06 15:00:00","0","1000501"
"1000501","1000503","0","0","10005","0","0","0","0","0","0","1000502"
"1000502","0","0","0","10005","0","0","0","0","0","0","1000503"
"0","1000602","10006201","0","10006","0","10006115","0","0","2018/09/06 15:00:00","0","1000601"
"1000601","1000603","0","0","10006","0","0","0","0","0","0","1000602"
"1000602","0","0","0","10006","0","0","0","0","0","0","1000603"
"0","1000702","10007201","0","10007","0","10007115","0","0","2018/10/06 12:00:00","0","1000701"
"1000701","1000703","0","0","10007","0","0","0","0","0","0","1000702"
"1000702","0","0","0","10007","0","0","0","0","0","0","1000703"
"0","1000802","10008201","0","10008","0","10008115","0","0","2018/11/06 12:00:00","0","1000801"
"1000801","1000803","0","0","10008","0","0","0","0","0","0","1000802"
"1000802","0","0","0","10008","0","0","0","0","0","0","1000803"
"0","1000902","10009201","0","10009","0","10009115","0","0","2018/12/06 15:00:00","0","1000901"
"1000901","1000903","0","0","10009","0","0","0","0","0","0","1000902"
"1000902","0","0","0","10009","0","0","0","0","0","0","1000903"
"0","1001002","10010201","0","10010","0","10010115","0","0","2019/01/06 12:00:00","0","1001001"
"1001001","1001003","0","0","10010","0","0","0","0","0","0","1001002"
"1001002","0","0","0","10010","0","0","0","0","0","0","1001003"
"0","0","0","0","10010","0","0","3","0","0","0","1001004"
"0","1001102","10011201","0","10011","0","10011115","0","0","2019/02/06 12:00:00","0","1001101"
"1001101","1001103","0","0","10011","0","0","0","0","0","0","1001102"
"1001102","0","0","0","10011","0","0","0","0","0","0","1001103"
"0","0","0","0","10011","0","0","3","0","0","0","1001104"
"0","1001202","10012201","0","10012","0","10012115","0","0","2019/03/06 12:00:00","0","1001201"
"1001201","1001203","0","0","10012","0","0","0","0","0","0","1001202"
"1001202","0","0","0","10012","0","0","0","0","0","0","1001203"
"0","0","0","0","10012","0","0","3","0","0","0","1001204"
"0","1001302","10013201","0","10013","0","10013115","0","0","2019/04/06 12:00:00","0","1001301"
"1001301","1001303","0","0","10013","0","0","0","0","0","0","1001302"
"1001302","0","0","0","10013","0","0","0","0","0","0","1001303"
"0","0","0","0","10013","0","0","3","0","0","0","1001304"
"0","1001402","10014201","0","10014","0","10014115","0","0","2019/04/18 12:00:00","0","1001401"
