72d8210c195a83ca7cf11b548a6d293ecce06adbb60039b1c4fd579df05bbc23,41aaec824b0d347a7bdbcfcc8f29095fa89f0f4f5a0746276b57992b651fcb74,fc52c8c071c8d42901dd5a23970efaaeb963eb10af440cdf5db805806704da9a,6c6ecccd4ff0efe3a196139fa54a6af9ae09b21b10c20cb3161db9caa48193c6,8004a9d8c0faf4b47256acffb5413fa22c04fddd26faad2894445d7197fdeb9f,6d3325220c93f65bccbdc86c6cd8e8aa3bdbfaaa1513bbdb81a41ec3323f158d,938a1f1047383b7586e08230737b68cf7d7d11f5925ed5ae75aec95d9c177712,b0695c236ae65ed20821c5fc1537eb98ecfbccfc5b69b4ae945a2ec1964d698b,a12d4a6c8c70fbb8fb954f6f883b275436612dc757a744a388cd90688d720504,08839a1c536dd821d0f8d271ffea601c605290390592f6a886641a6c873f7258,93ff358f549578fb85c2d0feda2d49d2fdc74ac0cc109593801c267bfa36f9c1,ed1cd195b60656e33b4b75ce0010d501c4fe627de4286eb1ad9a2709a0d2370b,f85d6e66acd318cd2b830d798fd12791f5aed47e4a8b724a53d26f84736a8ba9,a9795f8ea2fe39aaece41a6a6a9428f83d94589307b1ff3ff55acffa05547d0a,55bb207f3096fe7f39226a9ad22dfaad3522169764cafd14c50a60c31abfc97b,6af09497c62eed66340036dad3e9f3be26986f3559b0a3512fbd9f57eaec0c8a,c5dad90a6ba4c6cb223f9093070a5beba18654131055193d65a76146c8c79172
"4104351","1","100000","-470","43200","1","4201401","10","4101401","4101351","4104401","11001001","11001","7200","11001001","108","スィオネ\n樹林"
"4110351","1","100000","-235","43200","2","4203401","10","4106401","4106351","4110401","11001002","11001","7200","11001002","90","ヘリケ巨木"
"4105351","1","100000","0","43200","3","4201401","10","4102401","4102351","4105401","11001003","11001","7200","11001003","108","イオカステ\n岩山"
"4109351","1","100000","235","43200","4","4203401","10","4108401","4108351","4109401","11001004","11001","7200","11001004","90","ハルパリ\n大滝"
"4107351","1","100000","470","43200","5","4201401","10","4103401","4103351","4107401","11001005","11001","7200","11001005","108","ムネメー川"
"4101401","1","100000","-470","43200","6","4301401","10","4104401","4301351","4201401","11002003","11002","7200","11002001","108","アルバ浜堤"
"4106401","1","100000","-235","43200","7","4305401","10","4110401","4305351","4203401","11002002","11002","7200","11002002","90","サダルスド\n砂浜"
"4102401","1","100000","0","43200","8","4302401","10","4105401","4302351","4201401","11002001","11002","7200","11002003","108","ダルリク\n巨岩"
"4108401","1","100000","235","43200","9","4304401","10","4109401","4304351","4203401","11001005","11002","7200","11002004","90","アンカル川"
"4103401","1","100000","470","43200","10","4303401","10","4107401","4303351","4201401","11001001","11002","7200","11002005","108","ダクビア\n森林"
"4201401","1","100000","-470","43200","11","4109401","10","4101401","4201351","4104401","11003001","11003","7200","11003001","108","ミーマス\n洞穴"
"4202401","1","100000","-155","43200","11","4110401","10","4108401","4202351","4102401","11003002","11003","7200","11003002","90","レアント川"
"4203401","1","100000","160","43200","11","4109401","10","4103401","4203351","4105401","11003003","11003","7200","11003003","108","ケランド\n廃墟"
"4204401","1","100000","470","43200","11","4110401","10","4106401","4204351","4107401","11003004","11003","7200","11003004","90","デオネカ\n氷海"
