650e63d5e7c5eefb6fe81c99e086b817e99912cbc8fd470071bbcdc9fd340963,a399c32365e86f00e67aa4129507e89b9b18b5873d0f40d70a03578a62f05c4b,7e7dd7bcb2e3e0f3e5aba8cba501521c8c1de2b55b3296f442b86bc001b9514b,ca32b1576065d5f944916819a3b79f02cf49c703d859356e5e7b719d449d7d84,6ec23e48ce73e329121c9c19fd6800ce10a812839a3db3fb682c80306eb84a24,56fff89a1ceccbbc8ba002505eeecfbfff3d7ebafe1cfcba585d1b395aa30784,2ce3488ce545733147a9ad5d3c5e63720330f65d43e7737984a51d3b3779fee1,1690a8a99c0ac7ec445625d562d85fbaf5ac1f183f6459f10b97881d9fec9565,49f37dd8b54a85e76bcaf667008e1c4eedf96c8fd0c73a2b5cb82c39cab9a68b,24408a0d2276861ededc96d225f0c333c949aa5f44f9f65794a5ef235f8bada8,318485a9f042d1dca8348b0da9041d100406125c994a7ee16b8bc0ae21131064,c75567e6930735766b5ffdb1f208cab75262e4f106c30a7e209eda27efefdf60
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31000101","0","7003","1000","1","1回バトルしよう","31000101"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31000102","0","7003","1000","5","5回バトルしよう","31000102"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31000103","0","7003","1000","10","10回バトルしよう","31000103"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31000104","0","7003","1000","15","15回バトルしよう","31000104"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31000105","0","7003","1000","20","20回バトルしよう","31000105"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31000106","0","7003","1000","25","25回バトルしよう","31000106"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31000107","0","7003","1000","30","30回バトルしよう","31000107"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31000108","0","7003","1000","35","35回バトルしよう","31000108"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31000109","0","7003","1000","40","40回バトルしよう","31000109"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001101","3001","7004","1001","5000000","黒の王ジャバウォックに累積500万ダメージ与えよう","31001101"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001102","3001","7004","1001","7500000","黒の王ジャバウォックに累積750万ダメージ与えよう","31001102"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001103","3001","7004","1001","10000000","黒の王ジャバウォックに累積1000万ダメージ与えよう","31001103"
"11","2022/12/16 12:00:00","2022/12/23 11:59:59","2500000","3","31001111","3001","7005","1001","1","黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","31001111"
"11","2022/12/16 12:00:00","2022/12/23 11:59:59","5000000","3","31001112","3001","7005","1001","1","黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","31001112"
"20","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001201","3002","7004","1001","5000000","暴走のイノセントボウに累積500万ダメージ与えよう","31001201"
"20","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001202","3002","7004","1001","7500000","暴走のイノセントボウに累積750万ダメージ与えよう","31001202"
"20","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001203","3002","7004","1001","10000000","暴走のイノセントボウに累積1000万ダメージ与えよう","31001203"
"21","2022/12/16 12:00:00","2022/12/23 11:59:59","2500000","3","31001211","3002","7005","1001","1","暴走のイノセントボウに1度のバトルで250万ダメージ与えよう","31001211"
"21","2022/12/16 12:00:00","2022/12/23 11:59:59","5000000","3","31001212","3002","7005","1001","1","暴走のイノセントボウに1度のバトルで500万ダメージ与えよう","31001212"
"30","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001301","3003","7004","1001","5000000","ファントムバロンに累積500万ダメージ与えよう","31001301"
"30","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001302","3003","7004","1001","7500000","ファントムバロンに累積750万ダメージ与えよう","31001302"
"30","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001303","3003","7004","1001","10000000","ファントムバロンに累積1000万ダメージ与えよう","31001303"
"31","2022/12/16 12:00:00","2022/12/23 11:59:59","2500000","3","31001311","3003","7005","1001","1","ファントムバロンに1度のバトルで250万ダメージ与えよう","31001311"
"31","2022/12/16 12:00:00","2022/12/23 11:59:59","5000000","3","31001312","3003","7005","1001","1","ファントムバロンに1度のバトルで500万ダメージ与えよう","31001312"
"40","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001401","3004","7004","1001","5000000","テンタパスに累積500万ダメージ与えよう","31001401"
"40","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001402","3004","7004","1001","7500000","テンタパスに累積750万ダメージ与えよう","31001402"
"40","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31001403","3004","7004","1001","10000000","テンタパスに累積1000万ダメージ与えよう","31001403"
"41","2022/12/16 12:00:00","2022/12/23 11:59:59","2500000","3","31001411","3004","7005","1001","1","テンタパスに1度のバトルで250万ダメージ与えよう","31001411"
"41","2022/12/16 12:00:00","2022/12/23 11:59:59","5000000","3","31001412","3004","7005","1001","1","テンタパスに1度のバトルで500万ダメージ与えよう","31001412"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31002101","3005","7004","1002","5000000","ゴウシンに累積500万ダメージ与えよう","31002101"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31002102","3005","7004","1002","7500000","ゴウシンに累積750万ダメージ与えよう","31002102"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31002103","3005","7004","1002","10000000","ゴウシンに累積1000万ダメージ与えよう","31002103"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31002104","3005","7004","1002","110000000","ゴウシンに累積1億1000万ダメージ与えよう","31002104"
"11","2022/12/16 12:00:00","2022/12/23 11:59:59","2500000","3","31002111","3005","7005","1002","1","ゴウシンに1度のバトルで250万ダメージ与えよう","31002111"
"11","2022/12/16 12:00:00","2022/12/23 11:59:59","5000000","3","31002112","3005","7005","1002","1","ゴウシンに1度のバトルで500万ダメージ与えよう","31002112"
"11","2022/12/16 12:00:00","2022/12/23 11:59:59","22000000","3","31002113","3005","7005","1002","1","ゴウシンに1度のバトルで2200万ダメージ与えよう","31002113"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31003101","3006","7004","1003","5000000","アルマ＆オラムに累積500万ダメージ与えよう","31003101"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31003102","3006","7004","1003","7500000","アルマ＆オラムに累積750万ダメージ与えよう","31003102"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31003103","3006","7004","1003","10000000","アルマ＆オラムに累積1000万ダメージ与えよう","31003103"
"10","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31003104","3006","7004","1003","100000000","アルマ＆オラムに累積1億ダメージ与えよう","31003104"
"11","2022/12/16 12:00:00","2022/12/23 11:59:59","2500000","3","31003111","3006","7005","1003","1","アルマ＆オラムに1度のバトルで250万ダメージ与えよう","31003111"
"11","2022/12/16 12:00:00","2022/12/23 11:59:59","5000000","3","31003112","3006","7005","1003","1","アルマ＆オラムに1度のバトルで500万ダメージ与えよう","31003112"
"11","2022/12/16 12:00:00","2022/12/23 11:59:59","20000000","3","31003113","3006","7005","1003","1","アルマ＆オラムに1度のバトルで2000万ダメージ与えよう","31003113"
"20","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31003201","3007","7004","1003","5000000","なかよしX＆名もなき芸術に累積500万ダメージ与えよう","31003201"
"20","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31003202","3007","7004","1003","7500000","なかよしX＆名もなき芸術に累積750万ダメージ与えよう","31003202"
"20","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31003203","3007","7004","1003","10000000","なかよしX＆名もなき芸術に累積1000万ダメージ与えよう","31003203"
"20","2022/12/16 12:00:00","2022/12/23 11:59:59","0","3","31003204","3007","7004","1003","120000000","なかよしX＆名もなき芸術に累積1億2000万ダメージ与えよう","31003204"
"21","2022/12/16 12:00:00","2022/12/23 11:59:59","2500000","3","31003211","3007","7005","1003","1","なかよしX＆名もなき芸術に1度のバトルで250万ダメージ与えよう","31003211"
"21","2022/12/16 12:00:00","2022/12/23 11:59:59","5000000","3","31003212","3007","7005","1003","1","なかよしX＆名もなき芸術に1度のバトルで500万ダメージ与えよう","31003212"
"21","2022/12/16 12:00:00","2022/12/23 11:59:59","24000000","3","31003213","3007","7005","1003","1","なかよしX＆名もなき芸術に1度のバトルで2400万ダメージ与えよう","31003213"
