5068fad84e513b6e1089f69f706544494c665f3295e52863dd7b9762eb4b312b,af1c62f07d850220d6b9776fe0a05c747795fb836bf16842bbe3c93c17cd89cf,101aa781b3971a29e06fd6c03b4c1f08808669e49347e80cc99a2e10f0fe1289
"135801","138401","2"
"135801","138401","3"
"135801","138401","4"
"135801","138401","5"
"135801","138401","6"
"135801","138401","7"
"135801","138401","8"
"136001","138501","2"
"136001","138501","3"
"136001","138501","4"
"136001","138501","5"
"136001","138501","6"
"136001","138501","7"
"136001","138501","8"
"140101","142201","2"
"140101","142201","3"
"140101","142201","4"
"140101","142201","5"
"140101","142201","6"
"140101","142201","7"
"140101","142201","8"
"180701","118401","2"
"180701","118301","3"
"180701","118401","4"
"180701","118401","5"
"180701","118301","6"
"180701","118401","7"
"180701","118301","8"
"138901","141701","2"
"138901","141701","3"
"138901","141701","4"
"138901","141701","5"
"138901","141701","6"
"138901","141701","7"
"138901","141701","8"
"139001","141801","2"
"139001","141801","3"
"139001","141801","4"
"139001","141801","5"
"139001","141801","6"
"139001","141801","7"
"139001","141801","8"
"105701","170101","9"
"105701","170101","10"
"105701","170101","11"
"105701","170101","12"
"180801","120401","2"
"180801","120501","3"
"180801","120601","4"
"180801","120501","5"
"180801","120601","6"
"180801","120501","7"
"180801","120401","8"
"180901","121701","2"
"180901","121801","3"
"180901","121701","4"
"180901","121801","5"
"180901","121701","6"
"180901","121801","7"
"180901","121801","8"
"181001","124401","2"
"181001","124301","3"
"181001","124401","4"
"181001","124401","5"
"181001","124301","6"
"181001","124401","7"
"181001","124301","8"
"181101","128201","2"
"181101","128101","3"
"181101","128201","4"
"181101","128201","5"
"181101","128101","6"
"181101","128201","7"
"181101","128101","8"
