7e864a261adde040c7052be03443baff0ec464079443d0350c5fb74242b3395a,a3638e0af2ec87366f41ca54815c9acfc64137b3890a70c2cb6f5e803cf28dbd,f5e34155911097e043c65e992517e26719ab44040642c3640f685147aa5c0078,9b918b7761ec232876dbb922cf8a563e8e426c086d8b17a7544e936a38458edc,7cf4ea84da9af62bce244e1a004350c8c87748bf1753480636d9fbf7d6bbe2df,951dfacb2918fc276f8f5d7ab708443d9475d7c469893434f7e834588e5e7d89,5b24bf6a4979b4058f86c8b9c1bcb43a730091dc0a1e3e39fbc1bdef2f72825e,d68466b4e5c02f16eabb1305ba9716403db63c718bbc24585eb8160f11824107,104b180dca8958e3462291a2e07e811f1879be0f8ae23bb6aa0365c1c508e8b3,b536a609d63a96e2ec6994ae19eabf7ec8cac8b7669bb6aa39d62a58e4f91dcf
"0","0","0","バグ","1","2110001","0","バク","パグ","ハグ"
"0","0","0","テクノロジー","1","2110003","0","テクニック","手首","テイク"
"0","0","0","なだれ","1","2110005","0","ふぶき","ゆきやけ","じひびき"
"0","0","0","磁石","1","2110006","0","化石","大理石","黒曜石"
"0","0","0","オーシャン","1","2110007","0","リバー","ミスト","ガルフ"
"0","0","0","アットマーク","1","2110008","0","ラットマーク","カットマーク","バットマーク"
"0","0","0","太陽の日があたる場所","1","2110010","0","太陽があたらない場所","建物の中の場所","いつもすずしい場所"
"0","0","0","アップデート","1","2110011","0","ダブルデート","バレンタインデート","ハッピーデート"
"0","0","0","ブリザード","1","2110012","0","ブルドーザー","バリケード","オブリガード"
"0","0","0","太陽","1","2110014","0","月","火星","地球"
"0","0","0","地平線","1","2110016","0","放物線","新幹線","電話線"
"0","0","0","黒歴史","1","2110018","0","白歴史","青歴史","赤歴史"
"0","0","0","しょうゆ","1","2110019","0","みりん","みそ","お酢"
"0","0","0","背中","1","2110021","0","お腹","顔","手のひら"
"0","0","0","鉄板","1","2110022","0","ガラス板","看板","ベニヤ板"
"0","0","0","ドレスコード","1","2110023","0","プレスコード","エンコード","バーコード"
"0","0","0","こけらおとし","1","2110024","0","だるまおとし","まくおとし","やくおとし"
"0","0","0","コイン","1","2110025","0","コイル","ライン","ライス"
"0","0","0","アパレル","1","2110026","0","パラレル","パラソル","ナチュラル"
"0","0","0","透かし","1","2110028","0","ぼかし","薄塗り","上塗り"
"0","0","0","目薬","1","2110031","0","風邪薬","胃薬","塗り薬"
"0","0","0","ぬか","1","2110032","0","のれん","石の上","馬の耳"
"0","0","0","金棒","1","2110034","0","なみだ","豆腐","カナブン"
"0","0","0","水","1","2110035","0","レモネード","サイダー","コーラ"
"0","0","0","三度","1","2110036","0","一度","四度","二度"
"0","0","0","たんこぶ","1","2110037","0","髪の毛","メガネ","手ぬぐい"
"0","0","0","闇","1","2110038","0","光","天国","極楽"
"0","0","0","ぼた餅","1","2110039","0","団子","あんみつ","ようかん"
"0","0","0","はち","1","2110040","0","はえ","あぶ","か"
"0","0","0","馬","1","2110041","0","猿","猫","羊"
"0","0","0","水","1","2110042","0","風","土","火"
"0","0","0","冷","1","2110043","0","寒","水","氷"
"0","0","0","朝","1","2110044","0","韓","脇","散"
"0","0","0","生姜","1","2110045","0","生麦","生卵","生米"
"0","0","0","宣誓","1","2110046","0","先生","占星","先制"
"0","0","0","起床","1","2110047","0","気象","気性","希少"
"0","0","0","不","1","2110049","0","非","未","無"
"0","0","0","非","1","2110050","0","不","未","無"
"0","0","0","無","1","2110051","0","不","未","非"
"0","0","0","未","1","2110052","0","不","無","非"
"0","0","0","三日坊主","1","2110053","0","馬耳東風","有名無実","一日千秋"
"0","0","0","たぬき","1","2110054","0","ねこ","きつね","いぬ"
"0","0","0","たび","1","2110056","0","くつひも","あしのうら","てぶくろ"
"0","0","0","百","1","2110058","0","十","万 ","千"
"0","0","0","十","1","2110060","0","九","七","八"
"0","0","0","ハッピーエンド","1","2111001","0","ジャッジメント","ハイテンション","アジテーション"
"0","0","0","どるるるる～ん★","1","2111002","0","ちぇる～ん☆","夢はスーパースター☆☆★","やばいですね★"
"0","0","0","尖った長い耳","1","2111003","0","獣の耳と尻尾がある","二つの角を頭部に持つ","最も人口が多い"
"0","0","0","カォン","1","2111004","0","クォン","キャォン","パォン"
"0","0","0","成長","1","2111005","0","輝く","教育","高価"
"0","0","0","銀","1","2120002","0","銅","金","鉄"
"0","0","0","レバー","1","2120004","0","ラバー","モツ","ハツ"
"0","0","0","トラウマ","1","2120005","0","タケウマ","ストレス","バシャウマ"
"0","0","0","時雨","1","2120006","0","秒雨","雷雨","分雨"
"0","0","0","鉄","1","2120009","0","銀","金","銅"
"0","0","0","大黒柱","1","2120011","0","大赤柱","大白柱","大青柱"
"0","0","0","電報","1","2120012","0","電車","電灯","電源"
"0","0","0","みりん","1","2120013","0","しょうゆ","みそ","お酢"
"0","0","0","でがらし","1","2120014","0","ですぎ","こいめ","しぶみ"
"0","0","0","かみて","1","2120016","0","うわて","じょうず","じょうしゅ"
"0","0","0","よせ","1","2120017","0","よりせき","よるせき","よせき"
"0","0","0","フリーウェイ","1","2120018","0","ロングウェイ","レールウェイ","フライアウェイ"
"0","0","0","かすがい","1","2120021","0","釘","念仏","腕押し"
"0","0","0","爪","1","2120022","0","眉","尻","鼻"
"0","0","0","論語","1","2120023","0","小判","かすがい","念仏"
"0","0","0","ひょうたん","1","2120025","0","とっくり","巾着","花瓶"
"0","0","0","雀","1","2120026","0","馬","虎","牛"
"0","0","0","一朝一夕","1","2120027","0","一鳥一石","一兆一億","一長一短"
"0","0","0","4つ","1","2120028","0","2つ","8つ","6つ"
"0","0","0","hello","1","2120029","0","hallo","harro","herro"
"0","0","0","優柔不断","1","2120031","0","不言実行","日進月歩","一進一退"
"0","0","0","金曜日","1","2120033","0","木曜日","月曜日","日曜日"
"0","0","0","水曜日","1","2120034","0","金曜日","火曜日","木曜日"
"0","0","0","ダイイングメッセージ","1","2120035","0","ダビングメッセージ","ダイビングメッセージ","ダンシングメッセージ"
"0","0","0","馬","1","2120036","0","牛","獅子","犬"
"0","0","0","トイレ","1","2120037","0","川","キッチン","クローゼット"
"0","0","0","かんがみる","1","2120038","0","かんがえる","こころみる","かいまみる"
"0","0","0","八百万","1","2120039","0","三百万","二百万","五百万"
"0","0","0","蛇","1","2120042","0","熊","猪","猿"
