27a71b7652a781c8d6b2ba77b766eae69b656f57de2d1465755dcb13f4599d9c,fc1399fd6b3bbc3573a986c178d651a21d4a7c321c669c74164cd1de23dbcf28,18aeb0425fbb4b58b1cb9b3f35e09da4a73fc1d564eeaaa80724645b68d473c8,a2de7f496d753aeedd526d33ec96a4a644e044c0602629760a71687d0ce49d31,c9b42334327e239474fd020a7f2d066f76433f27cb7f3f0f48d482e373514f01,4dc347c75f64a40930b058357691b8054e0a6d5c2cd61383b6218357b2439ad9,7da83adac740f8be2a9b911b7b1c11466feac4688a913f77c45b875cb0674190,9e858d32e97c28b780c266c6418446ffb959d844382bee640711ae760bb11deb,9fa0153c2afe092df8d9586b9d20f4c295d198c502754bc5782df3118f25f1eb,36119c871a8017160dc0932b3b870b6903ade014ae7766f9ce838ee29e1640bc,d1a84bb48b4660f90942f8e9b995ebc35572ba62300005a925e41c3c9b26e663,341f0d054a9dbb85f1e913d49879f3908dd631a35202d681843e06843c5943b6
"1","","1","新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","0","190804","1","0","60000","0","カリン","1"
"2","","0","今日の運勢は姫吉！　あらゆる運気が最大を示しています！　　　今なら「伝説の吸血鬼」をも従え、世界征服も夢じゃありません！","0","0","1","0","60000","1","","2"
"2","","0","今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","0","0","1","0","60000","1","","3"
"2","","0","今日の運勢は姫吉！　その高い運気はまさにショーグンの如く！　その溢れる威光は人々を惹きつけ、皆の人気者間違いなしです！","0","0","2","0","60000","1","","4"
"2","","0","今日の運勢は大吉！　運気がどんどん高まっています！　　　　　何をやっても、最大効率で素晴らしい結果になりますよ♪","0","0","1","0","60000","2","","5"
"2","","0","今日の運勢は大吉！　なにをやっても上手くいって大活躍！　　　そんな素敵なあなたを見て、後ろから誰かが……クスクス♪","0","0","1","0","60000","2","","6"
"2","","0","今日の運勢は大吉！　運気が高く、何かに挑戦すると良い結果に！隠れた才能が引き出されそう！　目指せヒデサ……ではなく秀才！","0","0","2","0","60000","2","","7"
"2","","0","今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたいやき！　和菓子パワーで売上アップです！","0","0","1","0","60000","3","","8"
"2","","0","今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪","0","0","1","0","60000","3","","9"
"2","","0","今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！","0","0","1","0","60000","3","","10"
"2","","0","今日の運勢は中吉！　チャンスを待つと良い結果に！　　　　　　ラッキーアイテムのプリンを食べて、運を呼び込みましょう！","0","0","1","0","60000","3","","11"
"2","","0","今日の運勢は中吉！　運気が着々と上昇中！　　　　　　　　　　精霊の加護を受けたかの如く、色々な事がうまくいきますよ♪","0","0","2","0","60000","3","","12"
"2","","0","今日の運勢は小吉！　早朝に幸運の兆しあり！　　　　　　　　　もしかしたら、優しいお姉ちゃんが起こしにきてくれますよ♪","0","0","1","0","60000","4","","13"
"2","","0","今日の運勢は小吉！　運気上昇中ですが、上がるまでが要注意！　ラッキーアニマルは熊！　本当の家族のように守ってくれるかも♪","0","0","1","0","60000","4","","14"
"2","","0","今日の運勢は小吉！　外に出てゆっくり過ごすと運気が上昇！　　ラッキースポットは牧場。面白い出会いがありそうです♪","0","0","1","0","60000","4","","15"
"2","","0","今日の運勢は小吉！　運気は高いけども、ハプニングには注意！　出かけた先で、「ふしんしゃ」扱いされてしまうかも……","0","0","1","0","60000","4","","16"
"2","","0","今日の運勢は小吉！　根を詰めずにリラックスすると運気向上！　ラッキーパーソンはアイドル。歌があなたを幸せにしてくれます♪","0","0","2","0","60000","4","","17"
"3","","2","おみくじの結果はどうでしたか？\n新たに始まる一日が、あなたに\nとって良い日になりますように\nまた明日も遊びに来て下さいね♪","0","190804","0","0","60000","0","カリン","18"
"3","","3","おみくじは楽しんで頂けましたか？\nあなたの新たなる年が\n素晴らしいものになるよう、\n心からお祈りいたします","0","190804","0","7","60000","0","カリン","19"
"0","","1","キミと出会ってもう\n1年もたつんだね！\nう～ん、いつも\n寝てばっかりだから、","0","101201","0","1","80001","0","ハツネ","20"
"0","","2","少しでも\n寝る時間を減らして\nキミと一緒にいる\n時間増やしたいなぁ♪","0","101201","0","1","80001","0","ハツネ","21"
"1","","1","あなたと知り合ってから\nもう1年…\n時がたつのは\n早いですね","0","103801","0","1","80001","0","シオリ","22"
"1","","2","来年も、\n一緒にいられたら…\nうれしいな","0","103801","0","1","80001","0","シオリ","23"
"0","","1","あなたと一緒にいるようになって、\nもう1年ですか…","0","103601","0","2","80001","0","キョウカ","24"
