404e45b340dcbf83201afe83857a764348d2cb9301c8136c96df81cb8b084d50,abcc9be8119c237e33c081bb86c2ea719228e51ec8ec205307208fb0cfd2eab1,e0346dfd7f841a57419c91ef2e0b330a69b32c6a422e963a334a6efed6634529,7505f39608cd8aa4612282b8552dd21b7c48e2426940c54775f945ac0ef8358f,4efe729e81eda4882bb6eafec936b9ddbf92915d76b91412f1174bc1ab1fed90,c7be8642ac1c39b9dac1bd4e75d1d9387dce0e77ef09029d28804bd9ba9c7b6c,b3f709e0d052433168de25c0d6fe120f6227733856e271f6203ec4953dcc12f1,d8389edfe385dc8caa8488787eefcda3ea6408f717fa05e60f80206e027b1838,c9e654b1c9265af28fec473921f1002d136833b717fdde11252f97333b6d2045,d5788954d7bd748d18e47063a2b8ee3ad45493917fc76e90ccf47b8fe410ce1d,e87d3a36da855db9015f5b5c9936826f08a1bcf1b70f45447ab64e8e27c6d0af,824adee7612de82974b3077771461f92457feb0d6f8d135ca1d6a069edb0b0aa
"1","924071100","90","924073101","500000000","1","92407120","92407","1","0","924072101","92407110"
"1","924071200","90","924073102","1000000000","2","92407130","92407","2","92407110","924072102","92407120"
"1","924071300","90","924073103","1500000000","3","92407140","92407","3","92407120","924072103","92407130"
"1","924071400","90","924073104","0","3","0","92407","4","92407130","924072104","92407140"
"1","924072100","90","924073201","500000000","1","92407220","92407","1","0","924072201","92407210"
"1","924072200","90","924073202","1000000000","2","92407230","92407","2","92407210","924072202","92407220"
"1","924072300","90","924073203","1500000000","3","92407240","92407","3","92407220","924072203","92407230"
"1","924072400","90","924073204","0","3","0","92407","4","92407230","924072204","92407240"
"1","924073100","90","924073301","500000000","1","92407320","92407","1","0","924072301","92407310"
"1","924073200","90","924073302","1000000000","2","92407330","92407","2","92407310","924072302","92407320"
"1","924073300","90","924073303","1500000000","3","92407340","92407","3","92407320","924072303","92407330"
"1","924073400","90","924073304","0","3","0","92407","4","92407330","924072304","92407340"
"1","924081100","90","924083101","500000000","1","92408120","92408","1","0","924082101","92408110"
"1","924081200","90","924083102","1000000000","2","92408130","92408","2","92408110","924082102","92408120"
"1","924081300","90","924083103","1500000000","3","92408140","92408","3","92408120","924082103","92408130"
"1","924081400","90","924083104","0","3","0","92408","4","92408130","924082104","92408140"
"1","924082100","90","924083201","500000000","1","92408220","92408","1","0","924082201","92408210"
"1","924082200","90","924083202","1000000000","2","92408230","92408","2","92408210","924082202","92408220"
"1","924082300","90","924083203","1500000000","3","92408240","92408","3","92408220","924082203","92408230"
"1","924082400","90","924083204","0","3","0","92408","4","92408230","924082204","92408240"
"1","924083100","90","924083301","500000000","1","92408320","92408","1","0","924082301","92408310"
"1","924083200","90","924083302","1000000000","2","92408330","92408","2","92408310","924082302","92408320"
"1","924083300","90","924083303","1500000000","3","92408340","92408","3","92408320","924082303","92408330"
"1","924083400","90","924083304","0","3","0","92408","4","92408330","924082304","92408340"
"1","924091100","90","924093101","500000000","1","92409120","92409","1","0","924092101","92409110"
"1","924091200","90","924093102","1000000000","2","92409130","92409","2","92409110","924092102","92409120"
"1","924091300","90","924093103","1500000000","3","92409140","92409","3","92409120","924092103","92409130"
"1","924091400","90","924093104","0","4","0","92409","4","92409130","924092104","92409140"
"1","924092100","90","924093201","500000000","1","92409220","92409","1","0","924092201","92409210"
"1","924092200","90","924093202","1000000000","2","92409230","92409","2","92409210","924092202","92409220"
