b17d2f481387bbf24e8c48d73a7bd2e2ba9cb09604cb2eb1d6a173b2905f34c6,8e0ec6ddcedff36bd5222cccc7615a3f08ac192e517039158a82f58e4da4f846,6dbe14d2d92dfed5f0da63fdf064fc5d581f846e5164c40c694420a6b265f3b3,46cd6d37e5244ce15a245ef089456dedb7754866fcd5e27b601597518d90c05d,860a15f4de260953e457a38c07b183c65d63d268be92453e70593c2c76af6417,8ea6bc13158605c9bfe2d956bed17bffcfcb242284007b883d3de49251e39d27,0c9e26f2ea6e5bbc03a87324359fbd34baeaca7e33e97fc32f50b70cdc14ddac
"累計スコアを2500pt 獲得しよう","1","8","91002","101","10","2500"
"累計スコアを5000pt 獲得しよう","1","8","91002","102","10","5000"
"累計スコアを10000pt 獲得しよう","1","8","91002","103","10","10000"
"累計スコアを12500pt 獲得しよう","1","8","91002","104","10","12500"
"累計スコアを15000pt 獲得しよう","1","8","91002","105","10","15000"
"累計スコアを20000pt 獲得しよう","1","8","91002","106","10","20000"
"累計スコアを25000pt 獲得しよう","1","8","91002","107","10","25000"
"累計スコアを30000pt 獲得しよう","1","8","91002","108","10","30000"
"累計スコアを35000pt 獲得しよう","1","8","91002","109","10","35000"
"累計スコアを40000pt 獲得しよう","1","8","91002","110","10","40000"
"累計スコアを45000pt 獲得しよう","1","8","91002","111","10","45000"
"累計スコアを50000pt 獲得しよう","1","15","11001302","112","1","50000"
"累計スコアを2500pt 獲得しよう","2","8","91002","201","10","2500"
"累計スコアを5000pt 獲得しよう","2","8","91002","202","10","5000"
"累計スコアを10000pt 獲得しよう","2","8","91002","203","10","10000"
"累計スコアを12500pt 獲得しよう","2","8","91002","204","10","12500"
"累計スコアを15000pt 獲得しよう","2","8","91002","205","10","15000"
"累計スコアを20000pt 獲得しよう","2","8","91002","206","10","20000"
"累計スコアを25000pt 獲得しよう","2","8","91002","207","10","25000"
"累計スコアを30000pt 獲得しよう","2","8","91002","208","10","30000"
"累計スコアを35000pt 獲得しよう","2","8","91002","209","10","35000"
"累計スコアを40000pt 獲得しよう","2","8","91002","210","10","40000"
"累計スコアを45000pt 獲得しよう","2","8","91002","211","10","45000"
"累計スコアを50000pt 獲得しよう","2","15","11001303","212","1","50000"
