0022aa99b9de59bd6ce689f8d54a937d76e49a3e635bc85c936f0b464d8c7e23,4e8d5bd1029ecc552a7303b734555790af841871cd25cce5c021b6edf5a69d73,b5811d525c3ed8b9620d8998589a27a11e2816002826ab7ad74e497dba40e47e,f623ebc2153463e812b79a45bf96944132202f0488f116b475be081543f6cc87,319cdf63de2f92829be6c9474b21e0e669279b3a8133b2bd9f8374a4a52ca91c
"0","70","bgm_M125","81000104","1"
"0","110","bgm_M125","81000104","2"
"0","130","bgm_M125","81000104","3"
"0","150","bgm_M125","81000104","4"
"0","170","bgm_M125","81000104","5"
"0","190","bgm_M125","81000104","6"
"0","210","bgm_M125","81000104","7"
"0","230","bgm_M125","81000104","8"
"0","250","bgm_M125","81000104","9"
"0","270","bgm_M125","81000104","10"
"0","290","bgm_M125","81000104","11"
"0","310","bgm_M125","81000104","12"
"0","330","bgm_M125","81000104","13"
"73140350","350","bgm_M125","81000104","14"
"73150360","360","bgm_M125","81000104","15"
"73160370","370","bgm_M125","81000104","16"
"73170380","380","bgm_M125","81000104","17"
"73180390","390","bgm_M125","81000104","18"
"73190400","400","bgm_M125","81000104","19"
"73200410","410","bgm_M125","81000104","20"
"73210420","420","bgm_M125","81000104","21"
"73220430","430","bgm_M125","81000104","22"
"73230440","440","bgm_M125","81000104","23"
"73240450","450","bgm_M125","81000104","24"
"73250460","460","bgm_M125","81000104","25"
"73260470","470","bgm_M125","81000104","26"
"73270480","480","bgm_M125","81000104","27"
"73280490","490","bgm_M125","81000104","28"
"73290500","500","bgm_M125","81000104","29"
"73300510","510","bgm_M125","81000104","30"
"73310520","520","bgm_M125","81000104","31"
"73320530","530","bgm_M125","81000104","32"
"73330540","540","bgm_M125","81000104","33"
"73340550","550","bgm_M125","81000104","34"
"73350560","560","bgm_M125","81000104","35"
"73360570","570","bgm_M125","81000104","36"
"73370580","580","bgm_M125","81000104","37"
"73380590","590","bgm_M125","81000104","38"
"73390600","600","bgm_M125","81000104","39"
"73400610","610","bgm_M125","81000104","40"
"73410620","620","bgm_M125","81000104","41"
"73420630","630","bgm_M125","81000104","42"
"73430640","640","bgm_M125","81000104","43"
"73440650","650","bgm_M125","81000104","44"
"73450660","660","bgm_M125","81000104","45"
"73460670","670","bgm_M125","81000104","46"
"73470680","680","bgm_M125","81000104","47"
"73480690","690","bgm_M125","81000104","48"
"73490700","700","bgm_M125","81000104","49"
"73500710","710","bgm_M125","81000104","50"
"73510720","720","bgm_M125","81000104","51"
"73520730","730","bgm_M125","81000104","52"
"73530740","740","bgm_M125","81000104","53"
"73540750","750","bgm_M125","81000104","54"
"73550760","760","bgm_M125","81000104","55"
"73560770","770","bgm_M125","81000104","56"
"0","780","bgm_M125","81000104","57"
