def41228621db540a29bf712abb4f5dd0a8c9759ddd157515f34c8046c18fe22,f8cf196a7d740360b4bd4b09ef47b78f089759755f3f2895ce8338f0d324411a,42d556a5e093d1a765bdab7cf363879c33714ecb8feb5710efe276b119c4d168,21f23a515002aa5d1d2d16910e6dc238cb16007273539fcbcbf7534fd824a4e6,42fcb85bd48a81e9bce8d0b2601fdc475db87aaeb414b80b725ccacf28a248e6,28ca38672d70e3fd0a5ebfb03f24595de3bd7377fa19a327b8cf5fd53de6d220,c9f753e4f917654e30571e11612e71f4f8d1082858e1a62e5f72e048a40b9ab1,f355e97ae2eb21685b738495dafae393cbab4d399881aa473c1192baf3302403,b92f1d70a8b89ef82011bb9a1bde7fd201ee79c2206af361f3ea86979bc059ca,42a677597ac1994890512bf031eceeb85a3b948eb38dc589f866d8106f2f731c,9560228b8d9fb59040dc1e27b0211888adf78a9b34618834eb1dfd7df0837aff
"118511","1.65","taq_karin_idle","1","100","1","1","-194","1","72","1001"
"vo_minigame_1009_top_001","","","","0","1","vo_minigame_1009","","21","0","1002"
"賞品も用意して\nいますので頑張って\nくださいね♪","0","0","0","8","1","118511","0","11","0","1003"
"taq_karin_talk_normal","0.2","","","1","1","118511","","3","","1004"
"","","","","","1","1003","","91","","1005"
"taq_karin_idle","0.2","","","1","1","118511","","3","","1006"
"118511","1.65","taq_karin_idle","1","100","2","1","-194","1","72","2001"
"vo_minigame_1009_top_002","","","","0","2","vo_minigame_1009","","21","0","2002"
"みなさんの知識が\n試されますよ","0","0","0","8","2","118511","0","11","0","2003"
"taq_karin_talk_thinking","0.2","","","1","2","118511","","3","","2004"
"","","","","","2","2003","","91","","2005"
"taq_karin_idle","0.2","","","1","2","118511","","3","","2006"
"118511","1.65","taq_karin_idle","1","100","3","1","-194","1","72","3001"
"vo_minigame_1009_top_003","","","","0","3","vo_minigame_1009","","21","0","3002"
"世の中にはまだまだ\n知らないことが\nたくさんあるんですね","0","0","0","8","3","118511","0","11","0","3003"
"taq_karin_talk_surprise","0.2","","","1","3","118511","","3","","3004"
"","","","","","3","3003","","91","","3005"
"taq_karin_idle","0.2","","","1","3","118511","","3","","3006"
"118511","1.65","taq_karin_idle","1","100","4","1","-194","1","72","4001"
"vo_minigame_1009_top_004","","","","0","4","vo_minigame_1009","","21","0","4002"
"わからないときは\n勘に頼ってみても\nいいと思います","0","0","0","8","4","118511","0","11","0","4003"
"taq_karin_talk_normal2","0.2","","","1","4","118511","","3","","4004"
"","","","","","4","4003","","91","","4005"
"taq_karin_idle","0.2","","","1","4","118511","","3","","4006"
"118511","1.65","taq_karin_idle","1","100","5","1","-194","1","72","5001"
"vo_minigame_1009_top_005","","","","0","5","vo_minigame_1009","","21","0","5002"
"仲よく協力して\n全問正解を\n目指してくださいね♪","0","0","0","7","5","118511","0","11","0","5003"
"taq_karin_talk_joy3","0.2","","","1","5","118511","","3","","5004"
"","","","","","5","5003","","91","","5005"
"taq_karin_idle","0.2","","","1","5","118511","","3","","5006"
