c315ec4f120957fc0537be4e28bae83c85f168f7502d3ca4637d16ad0df4aad9,b450b1cda459000f148bd82577da0d67a8352df1bbcd48bc2fedd5b4156f353f,87b3f5c82a4301b3bbf2b28d9388397975c2441e3dbadbe79a440df7f8b65f04,28a9a6d29e7ca8ddf3b49a7407bcbcd95299c8bb9bfec09069e803a5ef2db614,d0e1c4e896843a1b10de4f040e7ce05f80946a5009213a06d0fda911f75b7171
"0","1","1","0","3030100"
"0","1","2","0","3050100"
"0","1","3","0","3040100"
"0","1","4","0","3020100"
"0","1","5","0","2040100"
"0","2","5","0","2040100"
"0","1","6","0","2020100"
"0","2","6","0","2020100"
"314","1","7","0","1030100"
"0","1","8","0","4030100"
"502","1","9","0","1050100"
"0","1","10","0","4020100"
"0","1","11","0","2030100"
"0","2","11","0","2030100"
"0","1","12","10301010","3040100"
"202","1","13","0","1020100"
"406","1","14","20201010","1040102"
"105","1","15","0","1010200"
"0","2","15","0","2010200"
"0","3","15","0","2010200"
"0","1","16","0","3050200"
"0","1","17","0","3040200"
"0","1","18","0","3020200"
"0","1","19","0","2040200"
"0","2","19","0","2040200"
"0","1","20","0","2020200"
"0","2","20","0","2020200"
"315","1","21","0","1030200"
"205","1","22","0","1020200"
"509","1","23","0","1050200"
"0","1","24","0","4020200"
"0","1","25","0","2030200"
"0","2","25","0","2030200"
"0","1","26","0","4030200"
"0","1","27","10101020","3020200"
"408","1","28","20201020","1040200"
"0","1","29","10101020","3040200"
"0","1","30","10101020","3010200"
"102","1","31","0","1010300"
"0","2","31","0","2010300"
"0","3","31","0","2010300"
"0","1","32","0","3050300"
"0","1","33","0","3040300"
"0","1","34","0","3020300"
"0","1","35","0","2040300"
"0","2","35","0","2040300"
"0","1","36","0","2020300"
"0","2","36","0","2020300"
"306","1","37","0","1030300"
"206","1","38","0","1020300"
"502","1","39","0","1050300"
"0","1","40","0","4020300"
"0","1","41","0","2030300"
"0","2","41","0","2030300"
"0","1","42","0","4030300"
"0","1","43","10101030","3020300"
"406","1","44","20201030","1040300"
"0","1","45","10101050","3010300"
"0","1","46","10101050","3040300"
"0","1","47","10101050","3030300"
"0","1","48","10101050","3010300"
"0","1","49","10101050","3020300"
"112","1","50","30102050","1010300"
