902d5b81f231b5709b256a416279138c2204a81d3dc72f4ae087a2c5a5b6ec0b,3458717aecce80eff38299d1009ac8dcd3dccd16d451172957539b0d7c161937,f8767b06a8535ceb820da142e2ddc5fc0d210cb88f539405b368583cc86187f0,7afc801145a7107fcaa107e3afd0f57aa84c9249c94b24e8caa0c1b198080941,b5c33cccecf36eb07bf5621ce97f106361e868f06fd52f2243e7212be312de1e,f083c5cc16ffb1b794be1ec728402a092cd37c7678d51c89187cc0c6684bbddc,f26027b27c083d4a5fafc820a118051ccff1538310a5b43f7e290fff0279c248,8d89ea3f7aa3ae34eb94d119107e2d2f686f1b37895055faecc4bfc854f8b662,eb6440759cc35f3d7d6c39719f3a7e039e94c06f222ea520d466356af47096e4,cb7553be96574545f9781fd0a0a6bf29b8629dd82b0a759f46b273e199691823,39ebbc568fd16dad3a5c4d12ab54dd378668250d001b117e05b505c4ec91eded,1b688ed0d3bf957405181dbde813559c3c2636a8c2d3466a8db3256cfda708dc
"0","0","1","0","0","4","3","1","1","0","0","1010001"
"0","vo_minigame_1005_nikki01_000","0","0","vo_minigame_1005","2","0","1","2","0","0","1010002"
"202","0","0","1.418","0","1","0","1","3","1","0","1010003"
"0","0","1.858","0","0","4","1","1","4","0","0","1010004"
"316","0","0","2.536","0","1","0","1","5","2","0","1010005"
"0","0","3.484","0","0","4","1","1","6","0","0","1010006"
"0","vo_minigame_1005_nikki01_001","0","0","vo_minigame_1005","2","0","1","7","0","0","1010007"
"121","0","0","1.131","0","1","0","1","8","3","0","1010008"
"0","0","1.407","0","0","4","1","1","9","0","0","1010009"
"276","0","0","1.043","0","1","0","1","10","3","121","1010010"
"0","0","1.719","0","0","4","1","1","11","0","0","1010011"
"389","0","0","0.69","0","1","0","1","12","3","276","1010012"
"0","0","0.69","0","0","4","1","1","13","0","0","1010013"
"224","0","0","1.694","0","1","0","1","14","4","0","1010014"
"0","0","2.204","0","0","4","1","1","15","0","0","1010015"
"384","0","0","1.298","0","1","0","1","16","4","224","1010016"
