c01fda28b8ce3d06058649f2bec639390a65495101149a810480a38ecbf378bc,ee27631cb57abc08024de525db751f96806be90971e3a0d95c41ddbe9970dba9,ba5b554e7ccc5e7f5ffa6cdc634241b1a9c04dcedf5af864afee20c6060d7f34,fc85cd809c50ef255902026889cbd4ac28f6e1b73e9a239d698ff7681066651d,24bb9687ee9ede97d7f57f884d04b4dcd2b1ce5e75cd08433ffe810e7a5b78ee,9e8bc288b5a0b7c0a2279315930a0ebf25fb57d1a96509ac7d996acf1f0f917f,a6f8f76ae4ed20f92896e572ede4eb93bb704c4a3e8f307748ef65dd6b105d2c,41b4d6b09917da8c564b0e82c3ffacc3864d6d48c2007c90b33f2ce7f439c693
"0","1","1001201","0","10012103","10012","0","0"
"0","2","1001202","0","10012107","10012","0","0"
"0","3","1001203","0","10012109","10012","0","0"
"1001201","4","1001204","0","10012114","10012","0","0"
"1001202","5","1001204","0","10012114","10012","0","0"
"1001203","6","1001204","0","10012114","10012","0","0"
"0","7","2001201","0","20012103","20012","0","0"
"0","8","2001202","0","20012107","20012","0","0"
"0","9","2001203","0","20012109","20012","0","0"
"2001201","10","2001204","0","20012114","20012","0","0"
"2001202","11","2001204","0","20012114","20012","0","0"
"2001203","12","2001204","0","20012114","20012","0","0"
