1788f5298acce4bcb798fe80aa0585700492a6377f26c5e012b1ae63d6bf0194,bba663eb868c9950192f1a9c749030261a83d1c73253ad103081c6e0c6f48ba4,4a8567eb4bd72a2e10ed0850a084bc3f1768b2a9e62695ef3f243fd521ce0b37,d28a989a19f15835f95d6e7a86104a09a2dd00c381b9c8b32eab6fc78570b1cc,35c128b315f4364b9d784584c732988006e291094103ad78c009c1a945d88da2,6771cff86866b5d121edb0c0c7635a8a1bc6c173f48c4f6976010897e4748f40,e8182c26450896c2dd862af628d7035da0f811c6726e963291f2df8d693a516a,810f11e0780b907040a578cc1aead9748c8e9e4b03e2a24c8844b20c1a45fee1,db8e524258f1eac3eafcb8de0e23e6a9a42a2e5d289234014d5270a95eb092b6,ba516229e42f76f91314e1f3e15db199e35796d4ed4056dfbda1eaf0041dfc79,c4dd3d96ee6b4edd08e5cea4c7b9a5571063f7080b0833a80b1b0f4d87fe358e,d15fb24554c5b1f6c70d03a7241a3f34873caa8d4afe84e956183240c6af1f01,6f6fe0052772669262f6bb085dcf4e09d24d06d15b285f68d972f5e968b761ba,ea53f9a467c931d4a85a3e24e667da006003f0a1923f9c8b8ac55aede9d97cc1,a5ca7b5818eaebb375e7181bd15a0da0885e98264fd142d57c7feea0628c97a5,39fb3f8d5f8ee62228ad93993744138aedbc5954900dceb71eb5ed138fe2e5c2,8bd58110cb14dd92c3f2a2e1579044a8f87d8dea7d5ab354ffe30f7864b8e598
"4201401","11001","108","4101401","4104401","-470","10","1","11001001","4104351","100000","43200","11001001","7200","4101351","1","スィオネ\n樹林"
"4203401","11001","90","4106401","4110401","-235","10","1","11001002","4110351","100000","43200","11001002","7200","4106351","2","ヘリケ巨木"
"4201401","11001","108","4102401","4105401","0","10","1","11001003","4105351","100000","43200","11001003","7200","4102351","3","イオカステ\n岩山"
"4203401","11001","90","4108401","4109401","235","10","1","11001004","4109351","100000","43200","11001004","7200","4108351","4","ハルパリ\n大滝"
"4201401","11001","108","4103401","4107401","470","10","1","11001005","4107351","100000","43200","11001005","7200","4103351","5","ムネメー川"
"4301401","11002","108","4104401","4201401","-470","10","1","11002001","4101401","100000","43200","11002003","7200","4301351","6","アルバ浜堤"
"4305401","11002","90","4110401","4203401","-235","10","1","11002002","4106401","100000","43200","11002002","7200","4305351","7","サダルスド\n砂浜"
"4302401","11002","108","4105401","4201401","0","10","1","11002003","4102401","100000","43200","11002001","7200","4302351","8","ダルリク\n巨岩"
"4304401","11002","90","4109401","4203401","235","10","1","11002004","4108401","100000","43200","11001005","7200","4304351","9","アンカル川"
"4303401","11002","108","4107401","4201401","470","10","1","11002005","4103401","100000","43200","11001001","7200","4303351","10","ダクビア\n森林"
"4109401","11003","108","4101401","4104401","-470","10","1","11003001","4201401","100000","43200","11003001","7200","4201351","11","ミーマス\n洞穴"
"4110401","11003","90","4108401","4102401","-155","10","1","11003002","4202401","100000","43200","11003002","7200","4202351","11","レアント川"
"4109401","11003","108","4103401","4105401","160","10","1","11003003","4203401","100000","43200","11003003","7200","4203351","11","ケランド\n廃墟"
"4110401","11003","90","4106401","4107401","470","10","1","11003004","4204401","100000","43200","11003004","7200","4204351","11","デオネカ\n氷海"
