4ac31644ae14219ce2de4b7d5085685135472db02e915cddd35ba86084e67cae,4a5c258dec8897c7211d6e96b47e22bd44fadf9cf9a32bab217fee3f319711be,f442c7356f0075449a3022541e325caeb74139a6e0a612058458aee30dea0437,3fc21db33982433a3604380e079cd2ac26ad4297175ef32799df1511688b45a8,6a1f498268843f332675fba5684aabd3a5bf36bc73758248532bdc9082c711b2,c44d985be652f38bd22d1f6c457e2d3b0d8609f08fc964793ec1dcf5f27a06c4,bae9664cdb89cce60593ff33399a96767b6bda6e9c498d1eeea79c3c744f4544,4a1c3de2c2e5398c96d50aba64a3752e90dd12e25dfc4307507f2c3995eac6f9,9506c10232544c58afa7b2ee415a5b619e5b231feec74ae8d85e44d4e3159b51,bbda6a02301fa93114de602e2e17d1e5f5cf1cdc652c07a88615f826770b6a79,50b13ef19b42b2f2cce5d575fc26e360bb378124a77cf07fc14766b3ae241273,167659741df9b581dce627629592f0523b568ca9f97d1e6ac77457c5db84c31c,442726995fe52028e5057d11415d43d61616be8fb900d642cf11b15f3e8d8267,5ef1edf93756bf5f085aee2c0e29408c1479da5332e4cba31cd57905f845181e,b5dc37d2281d637df7df7a100bb5f2cb447153d983074b4def5f2c1eea263023,fdd816db12ba54d8ef130f137b6229436e4b6bed9a6d849e523de92227ebbe02,35556916f90ea1398be99395e7055517e622fd54e97edfaa703305c1cee3184d,a8e002499a49c047a5976f531a8644b3f2dfa5a41e35c7925c56533a3eaf9021,0bec971faf0d78b5c0f49ccf2fe2ae0401de33015c1e59872f6ea2386a359326
"10010","0","0","1","0","1.5","5","90","0","0","2","5010321","0","","0","0","610010401","0","610010004"
"10010","0","0","2","0","1.5","5","90","0","0","3","5010322","0","","0","108","610010402","0","610010005"
"10010","0","0","3","0","1.5","5","90","0","0","1","0","0","","0","0","0","0","610010006"
"10011","0","70","1","0","1.5","5","90","0","0","1","5011322","0","","0","0","0","5011321","610011004"
"10011","0","40","2","0","1.5","5","90","0","0","1","5011323","0","","0","0","0","0","610011005"
"10011","0","0","3","0","1.5","5","90","0","0","1","0","0","","0","0","0","0","610011006"
"10012","0","0","1","1","1.5","5","90","0","0","2","5012321","3","","600","0","610012401","0","610012004"
"10012","0","51","2","1","1.5","5","90","0","0","1","5012322","0","","0","0","0","0","610012005"
"10012","0","0","3","1","1.5","5","90","0","0","1","0","0","","0","0","0","0","610012006"
"10013","0.9","0","1","1","1.5","5","90","0","50","2","5013321","3","","600","0","610013401","0","610013004"
"10013","1","50","2","0","1.5","5","90","0","84","1","5013322","0","","0","0","0","0","610013005"
"10013","1","0","3","0","1.5","5","90","0","84","1","0","0","","0","0","0","0","610013006"
"10015","0.9","0","1","1","1.5","5","90","0","1","2","5015321","3","","600","0","610015401","0","610015004"
"10015","1.3","50","2","1","1.5","5","90","0","-50","1","5015322","0","","0","0","0","0","610015005"
"10015","1.3","0","3","1","1.5","5","90","0","-50","1","0","0","","0","0","0","0","610015006"
"10017","0.9","0","1","1","1.5","5","90","0","50","2","5017321","3","","600","0","610017401","0","610017004"
