ed27b853c0de71e6fecb00d98e7db3048c7fc188c1f81d35eba32241b59b1029,8c452f91b515816efcdf4cea78602724a1465189859d21aa56362a5607b34bc8,39fca8abe342e5d1330169653ea402fba24fc27f4d7172a13fdbe889cf3eb10e,cf9df9a7f28b1c05a733c1494690dc9024ca56a0e83f33f44c71f456ee79df34,60be22f32d9bd3641f044ff7e67c05a5889d82d491f09fb92e3ca16b35f4baf4,eb4bbe8724c2b486e83408f05824b0a0627579bde7c7a246a381b0d0f024b9a2,cbc37a611a0343b091a8d2d4c73d92150aa1d46d59e98e7d5cb2cafa2056639a,a8bb901cd2038567abcf006e5969e7785f8216c4279df6a9f6c12cd05e2e2f51,9586711f8a6312a2f3720d8463bd66938604685058a24fe395afb5948684966e,a2ef58814f094b609cde9fda999696e0756529fe68a5d0297d7f3f75a72eb246,a9f7f39c268fabc7860d8bdc59e8c650295f9751d514fa961a53ebea5fa1bcf3,73192021b32f0a0630d3db2521d13d67f6130e408220ae08adf2b484187bee39,e38e6e675de01a3203a9c7b09f559c174ee570adbd62ab8423445ff8f8f6cf62,14e3612e563c44187131623925c00061d04ca765e67ca9b7de0b419c32985766,85ce5595a31e148cbdceecc272fab7cbbf1ef0e430f28859cdda845a464d67bb,d4fb097c54fd78ab6170b8bfb85e74b09a44e7867969f1dbd690bd52b36e6e39
"215","2","3","201","401","101","70","-110","2","301","1","1","980","455","501","1008201"
"215","2","3","202","402","102","70","-110","2","302","1","2","515","230","502","1008202"
"215","2","3","203","403","103","70","-110","1","303","1","3","515","230","503","1008203"
"215","2","3","204","404","104","70","-110","1","304","1","4","515","230","504","1008204"
"233","2","3","205","405","105","78","-110","2","305","1","5","787","355","505","1008205"
"233","2","3","206","406","106","78","-110","3","306","1","6","787","355","506","1008206"
"233","2","3","207","407","107","88","-110","3","307","1","7","777","345","507","1008207"
"233","2","3","208","408","108","88","-110","1","308","1","8","777","345","508","1008208"
"233","2","3","209","409","109","88","-110","1","309","1","9","777","345","509","1008209"
"233","2","3","210","410","110","88","-110","3","310","1","10","810","355","510","1008210"
"233","2","3","211","411","111","88","-110","2","311","1","11","777","345","511","1008211"
"215","2","3","212","412","112","70","-110","2","312","1","12","515","230","512","1008212"
"233","2","3","213","413","113","78","-110","1","313","1","13","810","355","513","1008213"
"215","2","3","214","414","114","70","-110","1","314","1","14","515","230","514","1008214"
"215","2","3","215","415","115","70","-110","3","315","1","15","515","230","515","1008215"
"215","2","3","216","416","116","70","-110","2","316","1","16","655","275","516","1008216"
"215","2","3","217","417","117","70","-110","3","317","1","17","515","230","517","1008217"
"233","2","3","218","418","118","88","-110","3","318","1","18","777","345","518","1008218"
