9dbe12536312ab49d9c38fba8ab6c60eea205e712618b0ab7c186559675ae909,52a6ace2fb8e5dd1731fb789fc9d130c349bfb59ce9dfe215e5bd746b22d7d84,925494db5e12a366720b267a1d1db0b5552460689c4a4504242cb03ffd21d87d,83190d7ed8716f9c70e45a3f3b5b832edf04b727bdfe6ca63c5bb76b830f4a71,cf001bfbbd1082098037a85e9ea2aa3ebf4a8f87d275f1ac7e4880e7755d7135,806164ff4d1b3716ac3355687c4e31bfc885de8a4396c5f26b27f498698fb79c,752e5a3abe645d4d5dd8e3186d7ecaddfad174c6c9a4c2fac6a91f9d3b5480d5,d53b68dd9589b08ecece33348df03b94efab5ae4be81533e46061eeda5090a72,192bb9548a94f341504d34118171babf1b27a211b291f36208c741d4a4380851,baed9c19f4b95b91b467e08976be0ab49504afb940cd3da9bb479485dca9679a,987df4a7de326001cff7f9237fe7d97becfa9a3c1e1ae9f0af0fa878370abb53,27d30e7357ce79ed6aadb2507a1337b501386a86991bb1eebb219aac61740103,498c5753ecae29f441acccacc204b9b7df84c27f4b1756d5f04ad164f7a45b4b,458f38f4a22503301638b593bc5b027990cb1d08e293d416e4680fc619da2af0,9842f7caa2944c92169da48950270faf37957af7679597143f51a4debf064b21,3a3e38616ef5048ef8d64cf173d4a2d84171d35271b5b67b3c7ba56ea3b35644
"ヒヨリ","155","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","0","東山奈央","2","8","27","獣人族","44","16","トゥインクルウィッシュ","A","人助け、応援","人助けが大好き！　前向き格闘娘","100101"
"ユイ","158","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","0","種田梨沙","2","4","5","ヒューマン","47","17","トゥインクルウィッシュ","O","料理、人間観察","戦闘のサポートが得意な、心優しい少女","100201"
"レイ","163","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","0","早見沙織","2","1","12","魔族","46","18","トゥインクルウィッシュ","B","読書、乗馬、お茶","クールで何事にも真っ直ぐな剣士","100301"
"ミソギ","128","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","0","諸星すみれ","5","8","10","ヒューマン","27","9","リトルリリカル","O","いたずら、探検","探検好きのイタズラっ子","100401"
"マツリ","146","？？？","0","下田麻美","8","11","25","獣人族","40","12","王宮騎士団（NIGHTMARE）","O","ヒーローごっこ","ヒーローに憧れる騎士見習いの少女","100501"
"アカリ","150","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","0","浅倉杏美","7","11","22","魔族","42","13","悪魔偽王国軍（ディアボロス）","O","サックス","甘え上手なみんなの人気者","100601"
"ミヤコ","130","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","0","雨宮天","7","1","23","魔族","32","14","悪魔偽王国軍（ディアボロス）","B","プリンを食べること","プリン大好きゴースト娘","100701"
"ユキ","150","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","0","大空直美","15","10","10","エルフ","40","14","ヴァイスフリューゲル　ランドソル支部","AB","鏡で自分を見ること","ボクは誰よりも美しい","100801"
"アンナ","159","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","0","髙野麻美","13","7","5","魔族","45","17","トワイライトキャラバン","A","小説執筆","前世を信じる中二病患者、「疾風の冥姫」","100901"
"マホ","155","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","0","内田真礼","10","9","22","獣人族","42","16","自警団（カォン）","O","空想、ぬいぐるみ集め","マホマホ王国のプリンセス","101001"
