a52eda4483b798f88e65ec0d88025d71a636a0bcb27af5f7af5d8d8c705996ff,4b98eaba56cd4da103dd60ef31d8d74fe5f3dd9e4efce5bde446b8d46a71a5be,f9cc81c9974af08767ada5d89a561e7ab1a1ef72d369d477e9d68ed13ba57f4b,567b293588127e4fe6ef4fe0400421d282f69253a71e1b85be358451ab891010,ec59d3ca724f505371bb565f70a0245346bb6ae39fc3ea6b5e85b82ea94ac628
"1","0","1","2700","1"
"2","0","2","3600","1"
"3","0","3","5400","1"
"1","1","4","3600","1"
"2","1","5","5400","1"
"3","1","6","7200","1"
"1","0","7","1800","2"
"2","0","8","2700","2"
"3","0","9","3600","2"
"1","1","10","2700","2"
"2","1","11","4050","2"
"3","1","12","5400","2"
"1","0","13","1800","3"
"2","0","14","2700","3"
"3","0","15","3600","3"
"1","1","16","2700","3"
"2","1","17","4050","3"
"3","1","18","5400","3"
"1","0","19","1800","4"
"2","0","20","2700","4"
"3","0","21","3600","4"
"1","1","22","2700","4"
"2","1","23","4050","4"
"3","1","24","5400","4"
