cfdbe8a247bcef89b877404eddb3ec4af4add8be772ef19802e37ec7ba4952c3,ee4ec17634c115f0ed3e68d40f2989e2da4c86a8812432580fc9bf32cce0f5a5,9b40db5b13fb52908e2b36c55773a7d584336fd19911f59960f8873fce9cd84f
"15","2","10000101"
"15","1","10000201"
"25","1","10000401"
"50","3","10000601"
"15","2","10000801"
"15","1","10000901"
"25","3","10001001"
"10","2","10001101"
"25","3","10001501"
"15","1","10001502"
"15","1","20101001"
"50","3","20103001"
"25","2","20105001"
"25","1","20106001"
"25","3","20107001"
"25","2","20108001"
"25","3","20112001"
"50","1","20112002"
"30","1","20115001"
"75","3","20117001"
"50","2","20119001"
"50","1","20120001"
"30","3","20121001"
"50","2","20122001"
"30","3","20126001"
"50","1","20126002"
"50","2","20129001"
"50","1","20131001"
"100","3","20133001"
"50","2","20135001"
"50","1","20136001"
"50","3","20137001"
"50","2","20138001"
"50","3","20142001"
"50","1","20142002"
"100","1","20145001"
"100","3","20146001"
"75","2","20147001"
"200","1","20150001"
