2a4a56abafb169198a6a38f2326aeeb4ecb82f7245b65c02d1914da3854a6030,4bacd72009a94c7c9f6bb37a1404aaa8798677e2df51058e2b40edd7f118339e,65ffde77d5ccf995be7421b709063b771b00f94c5475bf1fe6895861fb0b3399,872390bddd52febbe2c3a7779812b0b868ee649712da602b5458331aa21e87ff,db02ef2fbeab2ce96e3b9623febd8c2c8de2151dc657947c0d7b943186eb112f,9a684633790ff2d3d97ddde6d5144fb8b8a53cae525f0807bf9970b0d38fae02,e8c481db4609b86792c713f0ccf511b2f560933aa13dd823db5145e2496c329f,b3ee476780d28e13ee7c99eb3186f51ff7d8e42b67cef0f11695e2e7a3b088b5
"2001","101","短時間、障害物バリアを展開！","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","0","0","3"
"3","102","中時間、スピードとジャンプ小アップ！","5","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","5","0","5"
"1","103","短時間、スピード中アップ！","6","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","0","0","4"
"2001","104","中時間、障害物バリアを展開！","0","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","0","0","5"
"1","105","中時間、スピード小アップ！","3","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","0","0","6"
"1001","106","中時間、対戦相手のスピード小ダウン！","4","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","0","0","6"
"3","107","中時間、スピードとジャンプ特大アップ！","17","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","16","0","5"
"1","108","ラウンド中、スピード中アップ！","8","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","0","0","40"
"1","109","短時間、スピード特大アップ！","30","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","0","0","4"
"1001","110","ラウンド中、対戦相手が大きく減速！","10","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","0","0","40"
"2001","111","ごく短時間、障害物バリアを展開！","0","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","0","0","1"
"1004","112","短時間、先頭の対戦相手が大きく減速！","15","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","0","0","4"
"1","113","中時間、スピード小アップ！","5","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","0","0","6"
"2","114","中時間、ジャンプ小アップ！","5","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","0","0","5"
"2002","115","長時間、バリアで能力ダウンを防ぐ！","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","0","0","7"
"1","116","累積で、スピード小アップ！","3","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","0","0","25"
"1001","117","累積で、対戦相手が小さく減速！","3","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","0","0","25"
"3","118","長時間、スピードとジャンプ特大アップ！","30","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","20","0","7"
"1004","119","短時間、先頭の対戦相手が大きく減速！","15","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","0","0","4"
"2002","120","長時間、バリアで能力ダウンを防ぐ！","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","0","0","7"
"2","121","長時間、ジャンプ特大アップ！","30","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","0","0","12"
"1004","122","累積で、先頭の対戦相手が大きく減速！","15","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","0","0","30"
"4","123","短時間大きく加速した後、ごく短時間減速！","11","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","2","8","4"
"1","124","長時間、スピード中アップ！","9","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","0","0","8"
"2001","125","短時間、障害物バリアを展開！","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","0","0","4"
"1001","126","累積で、対戦相手が小さく減速！","3","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","0","0","30"
"1","127","長時間、スピード特大アップ！","22","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","0","0","10"
"2","128","短時間、ジャンプ特大アップ！","30","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","0","0","4"
"1001","129","短時間、対戦相手のスピード特大ダウン！","20","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","0","0","3"
"1","130","短時間、スピード特大アップ！","30","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","0","0","4"
