5f78dca1f34e405736d99978066a05da633f378d854e84f942c51aeb4f8d1223,1f3f7c859b8299b13f8097d4a6d2433405f9ff65eef52f05caf8b09f7ea5398b,617c8eef479ea6119aa3c62506a299d7862a9c642090694ff8a6ca8b7beae136,b0b8500715bee0debd626fca24672491e4d998d88bc8cbbbc969aa2ce72c9641,23d872984e68876290dfe5385eaee86dbd821d641334c2ff5d05468d3d6dfe7c,7ca9197334ab580362c884d9baa04a369f34b165da45e36b8e1c46475cc1deca,4e5a7503cefe40a67c68ab400c72ee7b99c205b57ea083174dc9786fb5b3cbef,420d0ef03fe576a952c860e1ce22b5adc92733615fb24f0a695f14f8987ecefe,df5c90d74463874433e1ef9102649be33869cafcbfde7bc0fe25120ea6181250
"3","6","2","100101","2","1","1","3","2"
"2","5","1","100201","1","2","3","3","1"
"3","7","1","100301","3","3","1","2","2"
"3","13","2","100401","2","3","1","2","2"
"1","18","2","100501","2","2","2","3","3"
"2","25","1","100601","2","2","1","3","3"
"2","26","2","100701","3","2","3","3","1"
"1","40","2","100801","3","3","3","2","1"
"3","34","1","100901","3","2","1","2","3"
"2","8","1","101001","1","2","3","3","1"
"2","56","3","101101","2","2","2","3","1"
"3","43","3","101201","2","2","1","1","2"
"1","33","1","101301","2","3","1","3","3"
"1","11","1","101401","1","2","3","2","2"
"2","42","1","101501","1","3","3","2","1"
"1","46","3","101601","2","3","2","3","1"
"1","10","3","101701","2","2","1","3","2"
"1","45","1","101801","1","3","3","2","2"
"3","12","2","102001","1","1","2","3","2"
"2","30","1","102101","1","3","1","3","2"
"2","24","3","102201","1","3","1","1","2"
"3","31","2","102301","2","1","1","3","3"
"1","29","3","102501","1","2","3","2","1"
"2","51","2","102601","1","1","3","3","1"
"3","36","2","102701","3","3","2","1","1"
"1","28","2","102801","1","3","2","2","1"
"2","52","2","102901","1","2","2","3","1"
"1","39","1","103001","2","3","2","3","2"
"3","27","2","103101","3","1","3","2","1"
"3","19","2","103201","2","2","3","1","1"
"3","48","1","103301","2","1","2","3","2"
"2","20","2","103401","1","2","2","1","3"
"1","14","2","103601","3","2","3","1","3"
"1","17","2","103701","3","3","1","2","3"
"2","49","1","103801","3","1","3","2","3"
"2","44","3","104001","1","1","2","1","3"
"1","53","2","104201","3","2","3","2","2"
"3","9","3","104301","3","2","1","2","1"
"3","23","1","104401","3","1","3","2","2"
"2","38","1","104501","1","2","2","2","3"
"2","21","3","104601","2","1","3","2","1"
"1","15","3","104701","3","2","1","2","3"
"2","22","3","104801","3","3","1","1","2"
"3","55","2","104901","1","2","2","2","1"
"1","47","3","105001","1","2","2","3","2"
"1","35","3","105101","3","1","3","1","2"
"2","50","2","105201","2","2","2","3","1"
"3","37","2","105301","3","3","1","2","1"
"2","54","3","105401","2","1","2","3","1"
"3","41","1","105501","1","1","2","2","3"
"2","32","3","105601","3","2","1","3","1"
"2","67","2","105701","1","2","1","3","2"
"2","1","2","105801","2","2","2","3","1"
"2","2","1","105901","1","2","3","2","2"
"1","3","3","106001","3","1","2","2","3"
"3","58","2","106101","2","2","1","3","2"
"3","68","2","106301","1","1","1","3","2"
"2","4","2","106401","1","2","1","3","3"
"1","61","2","106501","3","2","1","3","3"
"1","62","2","106601","2","1","3","3","3"
"1","60","1","106701","3","2","2","2","2"
"1","57","2","106801","1","2","1","1","3"
"2","59","1","107001","3","1","3","1","2"
"2","16","2","107101","3","3","1","1","2"
"2","70","1","109201","1","2","2","2","2"
"2","72","3","109301","2","2","2","3","1"
"1","71","3","109401","3","3","1","2","2"
"2","64","3","110801","1","2","1","2","2"
"1","65","2","110901","2","3","2","2","1"
"1","63","1","111001","3","1","3","3","2"
"2","69","3","111401","2","1","2","2","3"
"1","66","3","118001","2","2","3","1","2"
