e0914ec41c2ee1517c6c7f2911153ba6aaea7381a843a30db267531e8d062a77,35b123bc9b16e58e97005db4c58d29f3e25ff1af2661b2e1271730daf1191c05
"1","40"
"2","40"
"3","40"
"4","60"
"5","60"
"6","60"
"7","100"
"8","100"
"9","100"
"10","100"
"11","100"
"12","100"
"13","100"
"14","100"
"15","150"
"16","150"
"17","150"
"18","150"
"19","150"
"20","150"
"21","150"
"22","150"
"23","180"
"24","180"
"25","180"
"26","180"
"27","180"
"28","180"
"29","180"
"30","180"
"31","200"
"32","200"
"33","200"
"34","200"
"35","200"
"36","250"
"37","250"
"38","250"
"39","250"
"40","250"
