3eca17f0c060bb31d9984ec8931b40c5234ce59ab1bd323d7085b3c889bb8bfe,e07ea03563a2f6629ba63f3ce98614e0c1c68cc00a8e17ae5261b960386961c3,b44573c0bed67e55657fdf8c33a5298c68155e53fef3dc15adda81f05d214c50,9e66727c5926294d20d9fb1e37cc791281457240d2f2807c69ace2ff44a73651,299132c256e5295845e4078cceec50bd970d178b3aa840d25e3cd4fca4594f92,929f328b86f70cf5fe8745342127795f3fe7a62f053e7ad8cbbc25054818301a,acf0b04b7be9caaae621955da5cf47f9a72923a8bbc4ef91dc5b5ac7f609d62d,452a205d2ac0ae734062f99f4f30adcd345ddc29cc7c243526149048619aa699,55fb7290c01c68c1523d3d667952075bc24783ff1a9ae2d2cadf9ebd27b86427,383ee562f386893097ab5167a7d767191d9bc2745294995168d2663f65d96561,d2d92837259f232494600a827fadc3e68d45372e02c808e4d70ec5167b8a7f04
"101","-420","cgg_idle_normal","160","100","1","-230","0","5","1","101001"
"101","375","cgg_idle_def","1.6","100","1","-230","1","1","105811","101002"
"101","490","cgg_idle_def","1.6","101","1","-230","1","1","106011","101003"
"101","1","","0.1","1","1","1","0","6","1","101004"
"101","1","","0.1","1","105811","1","0","6","1","101005"
"101","1","","0.1","1","106011","1","0","6","1","101006"
"101","","","","","0.2","","","93","0","101007"
"101","0","","","0","vo_minigame_1007","","","21","vo_minigame_1007_top_talk_1_001","101008"
"101","0","0","0","7","105811","0","0","11","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","101009"
"101","","","0.2","1","1","","","3","cgg_idle_surprise1","101010"
"101","cgg_talk_surprise_kira","","0.2","0","105811","1","0","3","cgg_surprise_kira","101011"
"101","","","","","2.1","","","93","0","101012"
"101","","","0.2","1","1","","","3","cgg_idle_surprise3","101013"
"101","","","0.2","1","105811","","","3","cgg_talk_joy1","101014"
"101","","","","","101009","","","91","","101015"
"101","","","0.2","1","105811","","","3","cgg_idle_def","101016"
"101","0","","","0","vo_minigame_1007","","","21","vo_minigame_1007_top_talk_1_002","101017"
"101","0","0","0","6","106011","0","0","11","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","101018"
"101","","","0.2","1","1","","","3","cgg_idle_reaction1","101019"
"101","","","0.2","1","106011","","","3","cgg_talk_surprise1","101020"
"101","","","","","2.1","","","93","0","101021"
"101","","","0.2","1","1","","","3","cgg_idle_nod","101022"
"101","","","0.2","1","106011","","","3","cgg_talk_bitter","101023"
"101","","","","","101018","","","91","","101024"
"101","","","","","0.5","","","93","0","101025"
"101","","","0.2","1","1","","","3","cgg_idle_normal","101026"
"101","","","0.2","1","106011","","","3","cgg_idle_def","101027"
"101","","","0.2","1","105811","","","3","cgg_idle_joy2","101028"
