fd13d2b60ef884b1594a128e9405325436b14af523f742c635b0eeb55bb1c7fe,761d6d95f4063528b739d41029f6427633367e037d253491a15baa01a9f1b2b7,195bef515f8e7db7fbdff454160f3d9a1d61a6bb6381d8be72bbefa1bd41a36b,725134185f3063c7ab50de232199dbfa9914954c64bf74d622c52f5f14509f33,29c5f667f2ff6e8b210175dfb91c897798ed038177d1df579d811fa8ffe26bcd,da77ee199a163a3e6001d961c98e2761b807eadb33302a29206a3100745ef02c
"1","50000","50000","2","1","26202"
"1","10","10","2","2","90013"
"1","0","1","2","3","26203"
"2","55000","55000","2","4","26202"
"2","10","10","2","5","90013"
"2","0","1","2","6","26203"
"3","60000","60000","2","7","26202"
"3","10","10","2","8","90013"
"3","0","1","2","9","26203"
"4","65000","65000","2","10","26202"
"4","10","10","2","11","90013"
"4","0","1","2","12","26203"
"5","70000","70000","2","13","26202"
"5","10","10","2","14","90013"
"5","0","1","2","15","26203"
"6","75000","75000","2","16","26202"
"6","10","10","2","17","90013"
"6","0","1","2","18","26203"
"7","80000","80000","2","19","26202"
"7","10","10","2","20","90013"
"7","0","1","2","21","26203"
"8","85000","85000","2","22","26202"
"8","10","10","2","23","90013"
"8","0","1","2","24","26203"
"9","90000","90000","2","25","26202"
"9","20","20","2","26","90013"
"9","0","1","2","27","26203"
"10","95000","95000","2","28","26202"
"10","20","20","2","29","90013"
"10","0","1","2","30","26203"
"11","100000","100000","2","31","26202"
"11","20","20","2","32","90013"
"11","0","1","2","33","26203"
"12","105000","105000","2","34","26202"
"12","20","20","2","35","90013"
"12","0","1","2","36","26203"
