c4720844ca93e22a188f8c1f2ffb9cfdd849d17fa8d41245012dd189d074b8f8,257fd4e44f24600187d20fc45f29baf43d87b705bc9f735ecf3715252f9bd1a1,fec58c7246ef285957b9d8dda66cdb6b4cc50001cdc5f073d9ba252604d55658,bbaf01720ef0f1f0d69b901f873f37cbb2b3eeaddf3865a2c7cda79af95e99be,d9bd18a97f8530ca5614d88dcd7bcfbe84b8817b4a906e415fcee36929f99fb9,ebb8c1e8c66f8c690eaac44c8822c1da858587ddfeb0167b82a832c1caaf9eda,a4fc6daa1e27ba2f6f7b4d11e5058904e3b89c41cd1de6e93352e780e7ee6ea6,72c611f52ee4c16cac331224127b29f81754397f28f64c7e975f32cb3a37cedc,c036dd29f20c22a4f661c377164fe55d96111033d55471d2d608b0ef9f51b7a2,83bdabb62d5c00cefad5be416170c542591065df0531f4b397190719a89ead0c
"2","22","2","8","","3","53003","15","10001","-1"
"1","22","1","5","","3","53003","1","10002","14"
"0","23","0","2","ワカナの施し","3","52019","0","10003","0"
"2","22","2","8","","4","53003","15","10004","-1"
"1","22","1","5","","4","53003","1","10005","14"
"0","23","0","2","ワカナの施し","4","52019","0","10006","0"
"2","22","2","8","","5","53003","15","10007","-1"
"1","22","1","5","","5","53003","1","10008","14"
"0","23","0","2","ワカナの施し","5","52019","0","10009","0"
"2","22","2","8","","6","53003","15","10010","-1"
"1","22","1","5","","6","53003","1","10011","14"
"0","23","0","2","ワカナの施し","6","52019","0","10012","0"
"2","22","2","8","","7","53003","15","10013","-1"
"1","22","1","5","","7","53003","1","10014","14"
"0","23","0","2","ワカナの施し","7","52019","0","10015","0"
"2","22","2","8","","8","53003","15","10016","-1"
"1","22","1","5","","8","53003","1","10017","14"
"0","23","0","2","ワカナの施し","8","52019","0","10018","0"
"2","22","2","8","","9","53003","15","10019","-1"
"1","22","1","5","","9","53003","1","10020","14"
"0","23","0","2","ワカナの施し","9","52019","0","10021","0"
