464d73a21558caaefa5b84ec567381d8858f6987fb43bb0425dcc075bb9c592d,a4c4f65e70de97559d124c7aa9e8bfb639ca3074cdcffad497dcd0446f585f9b,3624f3b019e406d41e5ffc921a543020100bdbbad49e8d97fdef8d5e2bef2c1c,ef81c7a45643e375a6a26fa9d6206c54c0df7381bd42de9964ded0f08a68c6f5,d973507cc1877f2417538c8a6239a5c745090cb97d548851ae6eb49b180232ea,adfd1b7083a1a36e38db0489dbd84281b38a4bb4fba73cca440c2990707fdeb3,bff13fd0eaa86d012813ca6eeccfc8a47696b2672057ab8858a4df702a64f166,f918a98055f29327d33ea4cac0e9220b8cd4be3ec84da818788ee79b43022dc1
"30050237","10050650","0","0","3000","10050640","0","30050236"
"30050414","10050670","0","0","3000","10050659","0","30050413"
"30050422","10050735","0","0","3000","10050723","30050423","30050421"
"30050425","10050360","0","0","3000","10050818","30050426","30050424"
"30060188","10060413","30060190","0","3000","10060402","30060189","30060187"
"30060192","10060492","0","0","3000","10060480","30060193","30060191"
"30060195","10060545","30060197","0","3000","10060542","30060196","30060194"
"30060209","10060606","30060211","30060212","3000","10060591","30060210","30060208"
"30070187","10070626","30070189","0","3000","10070608","30070188","30070186"
"30070199","10070926","30070201","30070202","3000","10070914","30070200","30070198"
"30070207","10071052","30070209","30070210","3000","10071038","30070208","30070206"
"30070194","10071131","30070196","0","3000","10071117","30070195","30070193"
"30080237","10080650","0","0","3000","10080640","0","30080236"
"30080414","10080670","0","0","3000","10080659","0","30080413"
"30080422","10080735","0","0","3000","10080723","30080423","30080421"
"30080425","10080360","0","0","3000","10080818","30080426","30080424"
"30090188","10090413","30090190","0","3000","10090402","30090189","30090187"
"30090192","10090492","0","0","3000","10090480","30090193","30090191"
"30090195","10090545","30090197","0","3000","10090542","30090196","30090194"
"30090209","10090606","30090211","30090212","3000","10090591","30090210","30090208"
"30100187","10100626","30100189","0","3000","10100608","30100188","30100186"
"30100199","10100926","30100201","30100202","3000","10100914","30100200","30100198"
"30100207","10101052","30100209","30100210","3000","10101038","30100208","30100206"
"30100194","10101131","30100196","0","3000","10101117","30100195","30100193"
"30110237","10110650","0","0","3000","10110640","0","30110236"
"30110414","10110670","0","0","3000","10110659","0","30110413"
"30110422","10110735","0","0","3000","10110723","30110423","30110421"
"30110425","10110360","0","0","3000","10110818","30110426","30110424"
"30120188","10120413","30120190","0","3000","10120402","30120189","30120187"
"30120192","10120492","0","0","3000","10120480","30120193","30120191"
"30120195","10120545","30120197","0","3000","10120542","30120196","30120194"
"30120209","10120606","30120211","30120212","3000","10120591","30120210","30120208"
"30130187","10130626","30130189","0","3000","10130608","30130188","30130186"
"30130199","10130926","30130201","30130202","3000","10130914","30130200","30130198"
"30130207","10131052","30130209","30130210","3000","10131038","30130208","30130206"
"30130194","10131131","30130196","0","3000","10131117","30130195","30130193"
