455626ef2e27088fae8346ec8b7c908c97e9f59f5481ceb6fec35aa258c323ed,0c4d65c5162a0cc33a98a301d171a3da75f56279dea2be7da7fdbed5a0d94f13,a22c1721f00eb88930c6a677046144abb528fa641136838e997829afa78938a7,8a7dd502538c13512da2dbf6abc8bae50235474f6fdf111ed91e504b3f6b33a4,c3ed3f6c43d443002af512e84f265861e584733fdbf2a92ee748e80618351333,5f7e4ddc53405f9a5a5cdc87cc35743011b1b9a95eee161fa074e54c71e5e38c,8e20018583e8e61a731fff299d057208e60a8e295940abfabed67684f09684f0,ca1e055fbd5a8d0b9a564ab1163e38cd43d8ae277602f6c757cbdf8217203f17,cc795b61d524dc723ac1d566be0d4a19ade305c012fbed2c7b21b23821dc1b89,5853c396dedff552d4be7c5945f72d378f497d2f44cbbd94736e3a62b97150e5
"101","2","111","0","0","5000000","3","0","25101","0"
"201","2","211","0","0","5000000","3","0","25101","0"
"301","2","311","0","0","5500000","2","0","25101","0"
"401","2","411","0","0","5500000","2","0","25101","0"
"501","2","511","0","0","6000000","3","0","25101","0"
"601","2","611","0","0","6000000","2","0","25101","0"
"701","2","711","0","0","6500000","2","0","25101","0"
"801","2","811","0","0","6500000","2","0","25101","0"
"901","2","911","0","0","7000000","3","0","25101","0"
"1001","2","1011","0","0","7000000","2","0","25101","0"
"1101","2","1111","0","0","7500000","2","0","25101","1112"
"1201","2","1211","0","0","7500000","2","0","25101","1212"
"1301","2","1311","0","0","8000000","3","0","25101","0"
"1401","2","1411","0","0","8000000","2","0","25101","0"
"1501","2","1511","0","0","8500000","2","0","25101","0"
"1601","2","1611","0","0","8500000","2","0","25101","0"
"1701","2","1711","0","0","9000000","3","0","25101","0"
"1801","2","1811","0","0","9000000","2","0","25101","1812"
"1901","2","1911","0","0","9500000","2","0","25101","0"
"2001","2","2011","0","0","9500000","2","0","25101","0"
"2101","2","2111","0","0","10000000","3","0","25101","0"
"2201","2","2211","0","0","10000000","2","0","25101","0"
"2301","2","2311","0","0","10500000","2","0","25101","0"
"2401","2","2411","0","0","10500000","2","0","25101","0"
"2501","2","2511","0","0","11000000","3","0","25101","0"
"2601","2","2611","0","0","11000000","2","0","25101","2612"
"2701","2","2711","0","0","11500000","2","0","25101","2712"
"2801","2","2811","0","0","11500000","2","0","25101","2812"
"2901","2","2911","0","0","12000000","3","0","25101","0"
"3001","2","3011","0","0","12000000","2","0","25101","3012"
"3101","2","3111","0","0","12500000","2","0","25101","0"
"3201","2","3211","0","0","12500000","2","0","25101","0"
"3301","2","3311","0","0","13000000","3","0","25101","0"
