0db46a8ed5f0000fb6d91eecbef8680a94c1dd8a7a26ae328557842a9ed5c2d3,121ed1befd0e68fd4e9b1f33361984518d38fe1e8d17f8dc5d94492ed445f281,6714f4c05bf09c0c6b276eee938b7c7af16fa3929dfaa8273e63db2ec3328e3b,79322035404f1f9b46a81f76d7eb7a12489283684b44beabd089ef56feeca827
"スロウ","1","1","8"
"ヘイスト","2","2","8"
"麻痺","3","3","8"
"凍結","4","4","8"
"束縛","5","5","8"
"睡眠","6","6","8"
"スタン","7","7","8"
"石化","8","8","8"
"拘留","9","9","8"
"拘留(ダメージ)","0","10","9"
"毒","1","11","9"
"火傷","2","12","9"
"呪い","3","13","9"
"魅了","0","14","11"
"暗闇","-1","15","12"
"沈黙","-1","16","13"
"即死","-1","17","30"
"ノックバック","-1","18","3"
"混乱","1","19","11"
"猛毒","4","20","9"
"千里眼","-1","21","56"
"回復阻害","-1","22","59"
"恐慌","0","23","61"
"刻印付与","-1","24","60"
"畏怖","-1","25","62"
"トナカイ化","-1","26","69"
"気絶","10","27","8"
"呪詛","5","28","9"
"ＨＰ変化","-1","29","70"
"時間停止","11","30","8"
"ＨＰ回復量減少","-1","31","76"
"弱体被ダメージ上昇","-1","32","78"
"行動時毒ダメージ","1","33","79"
"スタン（別枠）","14","34","8"
"毒（別枠）","7","35","9"
"呪い（別枠）","8","36","9"
"混乱（別枠）","2","37","11"
"結晶化","13","38","8"
"スロウ(加算可能)","1","39","83"
"ヘイスト(加算可能)","2","40","83"
"バフ消去","3","41","49"
"バリア消去","10","42","49"
"黒炎","9","43","9"
"ヘイストフィールド","2","44","99"
"スロウフィールド","1","45","99"
"バフ消去（指定）","20","46","49"
"殴り刻印（攻撃ヒット）","5","47","101"
"行動時界雷ダメージ","10","48","79"
"状態異常時間延長","9","49","112"
"執着状態","1","50","116"
"アラクネ拘束","15","51","117"
"操糸","3","52","11"
"絶怠霊度","11","53","9"
"割合ダメージ","-1","54","46"
"遮絶の操糸","1","55","61"
