bf982a7a3314d3825cd0bbcf998012ee8bcbef8424b45301bd85a7dcac3ce8b8,c25c1f0ae6506606e21587cfc45f3f055a8f8598b161f211599e4f021cfb0138,995c08d4bcc0418a97f56aa42ea6dce51ba9ea2b6830a0736b7724f41b77f648,92350890a1ecaa6a9696c5301de3231ba95fb5964eb3ce69dc9a9c1f49375b36,ce7f66b4aa8ec9963936548d80a7aa36d2798b6e13d51ebb632ff19c3e066273,9ffb7cc4db717123842e09f0f91d14157f7a2c74f320661eeeabc9387ec08e1b,172404a085ff1a534c7d6637a548037c662e57b834e9b50b93dead53998879f5,ec9784d00c1a61d15798d1250492cc6dbc59c8348b7a2e245ab54bd5797fe67e,49f901aad0922f089f42f43f25f9b3156159c208e600dc8cbf4c86e9e53fec3f,a640d61e96c64b799b7486887cc43bd2caa369f9af4bbd68400936c70b3f5ee3,926f0d930dc6028a4d99e64425f7c6cbf54e502868b024a24681218326bf4b8d,951125536e15061467c39807a1886e6c8614c59a00117aef6cc58505e5fcae39,5179d19171d84db965f435131ccad6156c60edb261ab225658586015925514fe,a7bedf0c49c3e7f8389aa1d762644dbee2a1303559be53d0c4e3087590b00f66,d720e357522ff31b881e4dbcdcfeaf3b641a12fd5e0474f9201160f0fcdf18f5,53aa82ba8d9841caca5624214112a44b17e8c17797dd8cd35fcc06fc95cc5e4b
"610201101","bgm_MC223","0","前編ボスバトル（SCENARIO）","103613","10201101","1","81020102","113001","90","5201004","90","bgm_MC223","0","10201","5201301"
"610201151","bgm_MC224","0","後編ボスバトル（SCENARIO）","81020101","10201151","1","81020103","113001","90","5201009","90","bgm_MC224","2025/02/06 12:00:00","10201","5201311"
"0","bgm_MC223","10201101","前編ボスバトル（SPECIAL）","103613","10201201","2","103613","114001","90","0","255","bgm_MC223","0","10201","0"
"0","bgm_MC224","10201151","後編ボスバトル（SPECIAL）","81020101","10201251","2","81020104","114001","90","0","255","bgm_MC224","2025/02/06 12:00:00","10201","0"
"0","bgm_MC223","10201201","前編ボスバトル（SPECIAL＋）","103613","10201501","3","103613","115001","90","0","331","bgm_MC223","0","10201","0"
"0","bgm_MC224","10201251","後編ボスバトル（SPECIAL＋）","81020101","10201551","3","81020104","115001","90","0","331","bgm_MC224","2025/02/06 12:00:00","10201","0"
"610202101","bgm_MC228","0","ボスバトル（SCENARIO）","102370","10202101","1","81020201","113001","90","5202006","90","bgm_MC228","0","10202","5202301"
"0","bgm_MC228","10202101","ボスバトル（SPECIAL）","102370","10202201","2","102370","114001","90","0","255","bgm_MC228","0","10202","0"
"0","bgm_MC228","10202201","ボスバトル（SPECIAL＋）","102370","10202501","3","102370","115001","90","0","334","bgm_MC228","0","10202","0"
"610203101","bgm_MC236","0","ボスバトル（SCENARIO）","81020301","10203101","1","81020301","113001","90","5203006","90","bgm_MC236","0","10203","5203301"
"0","bgm_MC236","10203101","ボスバトル（SPECIAL）","81020301","10203201","2","81020301","114001","90","0","255","bgm_MC236","0","10203","0"
"0","bgm_MC236","10203201","ボスバトル（SPECIAL＋）","81020301","10203501","3","81020301","115001","90","0","337","bgm_MC236","0","10203","0"
"610204101","bgm_MC253","0","ボスバトル（SCENARIO）","100092","10204101","1","100092","113001","90","5204006","90","bgm_MC253","0","10204","5204301"
"0","bgm_MC253","10204101","ボスバトル（SPECIAL）","100092","10204201","2","100092","114001","90","0","255","bgm_MC253","0","10204","0"
"0","bgm_MC253","10204201","ボスバトル（SPECIAL＋）","100092","10204501","3","100092","115001","90","0","340","bgm_MC253","0","10204","0"
"610205101","bgm_MC257","0","ボスバトル（SCENARIO）","100199","10205101","1","100199","113001","90","5205006","90","bgm_MC257","0","10205","5205301"
"0","bgm_MC257","10205101","ボスバトル（SPECIAL）","100199","10205201","2","100199","114001","90","0","255","bgm_MC257","0","10205","0"
"0","bgm_MC257","10205201","ボスバトル（SPECIAL＋）","100199","10205501","3","100199","115001","90","0","343","bgm_MC257","0","10205","0"
