7c2a4a1a74933f1a7c66e80366903f9c478ee5d72323eff0f9b5097eb24646f5,85931c3eefcb447970f47b05c5dd55b74dfbb852f9bad4bb4a9035c3e81cf72d,591588b0eaea477a988b21562123cf2e8344b05bec3ab7dd56ba8cf08089df4e,8a6118426c1bae6ef3a1fae72b1ebc57e444bb6ffda76cee568d0b8ae591c5c3,547917069f780c83a3d5d4b5a58d2f6f4b88651f33857483ed7bf3c8c81a1e7f,aaf509cfc4d2e04e9d0061aa64870e60c5efb09c2992ca02cd62d603fe625b9f,1a48e2ea87bc5e9a73fd1160faa0ec08187dab084dcddbe73bf5dc1745828346,06e34f58c09472e169c4b12f288e76499948957a8f100e750771d86c8fd41259,12edc12ea4b1f25e4f1e002ef30e7a0ecb60aa44ee871f58986b0898ca83c58a,d1f58395679b15e8d7fd1f85e24e2a6040bac2ca3676c3a4e85bb11ee659475f,7b2271b631615de9f6b1c1cd1549cfaafd1d4283f0189c09a8bfdd34bd9f48bb
"cgg_idle_normal","100","1","101","-230","160","0","5","1","101001","-420"
"cgg_idle_def","100","1","101","-230","1.6","1","1","105811","101002","375"
"cgg_idle_def","101","1","101","-230","1.6","1","1","106011","101003","490"
"","1","1","101","1","0.1","0","6","1","101004","1"
"","1","105811","101","1","0.1","0","6","1","101005","1"
"","1","106011","101","1","0.1","0","6","1","101006","1"
"","","0.2","101","","","","93","0","101007",""
"","0","vo_minigame_1007","101","","","","21","vo_minigame_1007_top_talk_1_001","101008","0"
"0","7","105811","101","0","0","0","11","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","101009","0"
"","1","1","101","","0.2","","3","cgg_idle_surprise1","101010",""
"","0","105811","101","1","0.2","0","3","cgg_surprise_kira","101011","cgg_talk_surprise_kira"
"","","2.1","101","","","","93","0","101012",""
"","1","1","101","","0.2","","3","cgg_idle_surprise3","101013",""
"","1","105811","101","","0.2","","3","cgg_talk_joy1","101014",""
"","","101009","101","","","","91","","101015",""
"","1","105811","101","","0.2","","3","cgg_idle_def","101016",""
"","0","vo_minigame_1007","101","","","","21","vo_minigame_1007_top_talk_1_002","101017","0"
"0","6","106011","101","0","0","0","11","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","101018","0"
"","1","1","101","","0.2","","3","cgg_idle_reaction1","101019",""
"","1","106011","101","","0.2","","3","cgg_talk_surprise1","101020",""
"","","2.1","101","","","","93","0","101021",""
"","1","1","101","","0.2","","3","cgg_idle_nod","101022",""
"","1","106011","101","","0.2","","3","cgg_talk_bitter","101023",""
"","","101018","101","","","","91","","101024",""
"","","0.5","101","","","","93","0","101025",""
"","1","1","101","","0.2","","3","cgg_idle_normal","101026",""
"","1","106011","101","","0.2","","3","cgg_idle_def","101027",""
"","1","105811","101","","0.2","","3","cgg_idle_joy2","101028",""
"","1.4","105811","101","","0.2","","12","10","101029",""
"","","3","101","","","","93","0","101030",""
"","1","105811","101","","0.2","","3","cgg_idle_def","101031",""
"","1","106011","101","","0.2","","3","cgg_talk_surprise_dere","101032",""
"","1.4","106011","101","","0.2","","12","8","101033",""
"","","3","101","","","","93","0","101034",""
"","1","106011","101","","0.2","","3","cgg_idle_def","101035",""
"","0","1","101","1","0.2","0","3","cgg_surprise1","101036","cgg_idle_surprise1"
"","1.4","1","101","","0.2","","12","4","101037",""
"","","3","101","","","","93","0","101038",""
"","","101026","101","","","","101","0","101039",""
"","","0","101","","","","22","0.5","101040",""
"","1","1","101","0","0.1","0","6","1","101041","1"
"","1","105811","101","0","0.1","0","6","1","101042","1"
"","1","106011","101","0","0.1","0","6","1","101043","1"
"","","0.1","101","","","","93","0","101044",""
"","1","1","101","","0","","3","cgg_idle_normal","101045",""
"","1","105811","101","","0","","3","cgg_idle_def","101046",""
"","1","106011","101","","0","","3","cgg_idle_def","101047",""
"cgg_idle_normal","100","1","102","-230","160","0","5","1","102001","-420"
"cgg_idle_def","100","1","102","-230","1.6","1","1","105911","102002","375"
"cgg_idle_def","101","1","102","-230","1.6","1","1","106411","102003","490"
"","1","1","102","1","0.1","0","6","1","102004","1"
"","1","105911","102","1","0.1","0","6","1","102005","1"
"","1","106411","102","1","0.1","0","6","1","102006","1"
"","","0.2","102","","","","93","0","102007",""
"","0","vo_minigame_1007","102","","","","21","vo_minigame_1007_top_talk_2_003","102008","0"
"0","5","105911","102","0","0","0","11","ライブ会場に到着です\n随分と大きくて\n開放的ですね…","102009","0"
"","1","1","102","","0.2","","3","cgg_idle_surprise1","102010",""
"","0","105911","102","","0.2","","3","cgg_lookup","102011",""
"","","2.6","102","","","","93","0","102012",""
"","1","105911","102","","0.2","","3","cgg_talk_wish_surprise","102013",""
"","","102009","102","","","","91","","102014",""
"","1","105911","102","","0.4","","3","cgg_idle_def","102015",""
"","0","vo_minigame_1007","102","","","","21","vo_minigame_1007_top_talk_2_004","102016","0"
"0","5","106411","102","0","0","0","11","カルミナのライブ……\nふふっ、楽しみね。\nあ、ちょっとグッズを\n見てきていいかしら。","102017","0"
"","1","1","102","","0.2","","3","cgg_idle_reaction1","102018",""
"","1","106411","102","","0.2","","3","cgg_talk_surprise1","102019",""
"","","2.6","102","","","","93","0","102020",""
"","0","1","102","1","0.2","0","3","cgg_talk_nod","102021","cgg_idle_nod"
"","1","106411","102","","0.2","","3","cgg_talk_joy3_blink","102022",""
"","","3.2","102","","","","93","0","102023",""
"","1","1","102","","0.2","","3","cgg_idle_reaction5","102024",""
"","1","106411","102","","0.2","","3","cgg_talk_normal","102025",""
"","","102017","102","","","","91","","102026",""
"","","0.5","102","","","","93","0","102027",""
"","1","106411","102","","0.2","","3","cgg_idle_def","102028",""
