eb91e323d339ac4e4c1b35b57487212526297cd8b5480ea36ed9a09b288668b9,9827905af88370e260530a99c72c8cde59714e6abcfc9e0d074681db943fe1c7,33b205e77164ab83db18d89f4381efdf758b5f5a7b857e38ad915b50f9fb52e7,221c86f2cae4b43a6059bd5c873ebe66fc0b8dde33c3cf33fddb556475632b59,59711106a54dde162ed64b0f28b092f268a1a43de7245c918d55c50cea01c275
"1","0","3001","803100201","3"
"2","0","3001","803100202","3"
"3","0","3001","803100203","3"
"1","0","3002","803100204","3"
"2","0","3002","803100205","3"
"3","0","3002","803100206","3"
"1","0","3003","803100207","3"
"2","0","3003","803100208","3"
"3","0","3003","803100209","3"
"1","0","3004","803100210","3"
"2","0","3004","803100211","3"
"3","0","3004","803100212","3"
"1","0","3005","803100213","3"
"2","0","3005","803100214","3"
"3","0","3005","803100215","3"
"1","0","3006","803100216","3"
"2","0","3006","803100217","3"
"3","0","3006","803100218","3"
"1","0","3007","803100219","3"
"2","0","3007","803100220","3"
"3","0","3007","803100221","3"
