1dad59bfea8157d69dc279733e7bdd558f969896e44f40ca22eead1bfc022349,271d61b03a674fb1973a691ea4270a1385262cd35cb543cc9d32b3ff7a2842da,8577951cee3f6508d204d959a338c359ad778ca4d0c28875808cd84348f6e636
"118301","180701","20114"
"118301","180701","20115"
"118401","180701","20116"
"118401","180701","20117"
"118401","180701","20118"
"120501","180801","20123"
"120401","180801","20124"
"120601","180801","20125"
"120401","180801","20126"
"120501","180801","20127"
"120601","180801","20128"
"120601","180801","30157"
"121801","180901","20129"
"121801","180901","20130"
"121701","180901","20131"
"121801","180901","20132"
"121701","180901","20133"
"121701","180901","20134"
"121701","180901","20135"
"124301","181001","20148"
"124301","181001","20149"
"124401","181001","20150"
"124401","181001","20151"
"128101","181101","20167"
"128101","181101","20168"
"128101","181101","20169"
"128101","181101","20170"
"128201","181101","20171"
"128201","181101","20172"
"128101","181101","20175"
