464b5e6c466d27b5785868f74e290f878115781413a3da083efbb38d7a82b30c,4416325fe3bd34eb45fa882ad5b4e5f654e3ef364a4114043f7616313864b994,4e52755168c49be9625b8400621d0059c805abe0b18be55764909d35c8149573,acef9da885a0d9fcd6f5e2dd000adbec1fe4b133ca812169b8bb97044a5c23c0,e80c19bdf1a4f49defe862059dc7af5976e410937261558659a9de2900a10669,bb20037a3f06dfb4aa637a4d7f8f538d207be16722017560a85da4dbcc5f431c,1ed94dbd8bd55a358cde0334292fe76eacb046ab1d9e766f3396748571c9f265,6db8d1c6afe158fcc815e0ee3bef8eb76f24e61288e75a20eefa3b8d0dcbddec,720b14065f95a84f751ed69cd09fa6c300da7c2f3dc4ea9b4c71beadd20d5ccb,d843f06d823c1a569a41d1fb75cbf9b793dc4eb60f1ae980dd61b6253b6013c2,907c81c5878afc89a389329c8afc4a9652698ffa957b6a86108b8488bdc58b11
"129811","-224","drama_idle","1","1","1","1001","1.65","1","100","167"
"129911","-224","drama_idle","1","1","1","1002","1.65","0","100","-49"
"drama_idle","","","129811","1","3","1003","0.2","","1",""
"drama_talk_arm_crossed_in","1","","129911","1","3","1004","0.2","0","0","drama_talk_arm_crossed_loop"
"vo_minigame_1013_top_talk_1_000","","","vo_minigame_1013","1","21","1005","","","0","0"
"魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","0","0","129911","1","11","1006","0","0","6","1"
"","","","0","1","91","1007","","","",""
"drama_idle_arm_crossed","","","129911","1","3","1008","0.2","","1",""
"drama_talk_doya_in_smile","1","","129811","1","3","1009","0.2","0","0","drama_talk_doya_loop_smile"
"vo_minigame_1013_top_talk_1_001","","","vo_minigame_1013","1","21","1010","","","0","0"
"ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","0","0.3","129811","1","11","1011","0","0","6","1"
"","","","0","1","91","1012","","","",""
"drama_idle_arm_crossed","","","129811","1","3","1013","0.2","","1",""
"drama_talk_smile_in","1","","129911","1","3","1014","0.2","0","0","drama_talk_smile_loop"
"vo_minigame_1013_top_talk_1_002","","","vo_minigame_1013","1","21","1015","","","0","0"
"訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","0","0.5","129911","1","11","1016","0","0","5","1"
"","","","0","1","91","1017","","","",""
"drama_idle","","","129911","1","3","1018","0.2","","1",""
"drama_idle","","","129811","1","3","1019","0.2","","1",""
"129811","-224","drama_idle","1","2","1","2001","1.65","1","100","167"
"129911","-224","drama_idle","1","2","1","2002","1.65","0","100","-49"
"drama_idle","","","129911","2","3","2003","0.2","","1",""
"drama_talk_admire_in","1","","129811","2","3","2004","0.2","","0","drama_talk_admire_loop"
"vo_minigame_1013_top_talk_2_000","","","vo_minigame_1013","2","21","2005","","","0","0"
"こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","0","0.5","129811","2","11","2006","0","0","7","1"
"","","","0","2","91","2007","","","",""
"drama_idle_admire","","","129811","2","3","2008","0.2","","1",""
"drama_talk_arm_crossed_in","1","","129911","2","3","2009","0.2","","0","drama_talk_arm_crossed_loop"
"vo_minigame_1013_top_talk_2_001","","","vo_minigame_1013","2","21","2010","","","0","0"
"そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","0","0.3","129911","2","11","2011","0","0","5","1"
"","","","0","2","91","2012","","","",""
"drama_idle_arm_crossed","","","129911","2","3","2013","0.2","","1",""
"drama_talk_guts2_in","1","","129811","2","3","2014","0.2","","0","drama_talk_guts2_loop"
"vo_minigame_1013_top_talk_2_002","","","vo_minigame_1013","2","21","2015","","","0","0"
"エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","0","0.3","129811","2","11","2016","0","0","8","1"
"","","","0","2","91","2017","","","",""
"drama_idle","","","129811","2","3","2018","0.2","","1",""
"drama_idle","","","129911","2","3","2019","0.2","","1",""
"129811","-224","drama_idle","1","3","1","3001","1.65","1","100","167"
"129911","-224","drama_idle","1","3","1","3002","1.65","0","100","-49"
"drama_idle","","","129811","3","3","3003","0.2","","1",""
"drama_talk_thinking","","","129911","3","3","3004","0.2","","1",""
"vo_minigame_1013_top_talk_3_000","","","vo_minigame_1013","3","21","3005","","","0","0"
"実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","0","0.8","129911","3","11","3006","0","0","5","1"
"","","","0","3","91","3007","","","",""
"drama_idle_thinking","","","129911","3","3","3008","0.2","","1",""
"drama_talk_sad_in","1","","129811","3","3","3009","0.2","","0","drama_talk_sad_loop"
"vo_minigame_1013_top_talk_3_001","","","vo_minigame_1013","3","21","3010","","","0","0"
"相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","0","0.5","129811","3","11","3011","0","0","7","1"
"","","","0","3","91","3012","","","",""
