f87b03226f89c1398fd6370884fc5767cdfbbfd654011f21ff9460c71fcb1f9d,a8a75f67efb12b4e16a692dabab653e8dd6eed789d6e7b6f44ca947796c753fb,87641e39dddbdd60b112f4a3a831299834be92e65e68e2df2caaa928bb7ece40,00ae8dc675a455246d5867e08900c0c2dc0cdd392f22082859ad21da591e0ee6,c671a08d85997702b40e1f83923b52a74c26d8ff5ef9108cc4bc69aa152ed018,163b7d28f31cb9fd3e9ac67d10ef24822e58c63ad74bf53b8ba500a20de98d82,f5f1992f0522b9488ea5804996c608b0ec79a405950db627f48aad417e2bd1e3,0e7c5693cee2bd2cb63ca416f6b66ddf4c8ef9b945d38c54db03cf7b33aaa21f,6ae1fa57484f775f1c720d8d02170fdcfea9105719311a980558c13ac04847ac,ede0672253406ed91b3db4334fb2c386fbe21ffa6ba3db1e156c5c9676fa68ac
"0","1","1001","10001","","最大50％割引確定のショップを開く（1品100％割引あり）","126501","","1","ライラエル"
"0","2","1002","10001","","最大1000マイルを入手する","105301","","2","モニカ"
"0","3","1003","1","","料理を{0}つ入手する","126401","","1","クローチェ"
"0","4","1004","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","100501","ダイスの目を{0}回振りなおせる\n（あと{1}回）","3","マツリ"
"0","4","1005","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","101301","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","ナナカ"
"0","5","1006","4","","出目が{0}のダイスを同時に振って\nどちらか選択できる","104301","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","マコト"
"0","5","1007","3","","出目が{0}のダイスを同時に振って\nどちらか選択できる","102701","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","エリコ"
"0","6","1008","7","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","100901","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","アンナ"
"0","1","1009","10001","","最大50％割引確定のショップを開く（1品100％割引あり）","105101","","1","ミツキ"
"0","2","1010","10001","","最大1000マイルを入手する","101801","","2","イオ"
"0","8","1011","0","","ダイスの表と裏\nどちらを適用するか選択できる","129701","ダイスの表と裏\nどちらを適用するか選択できる","2","ネフィ＝ネラ"
"0","4","1012","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","101601","ダイスの目を{0}回振りなおせる\n（あと{1}回）","3","スズナ"
"0","4","1013","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","105601","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","ルカ"
"0","5","1014","3","","出目が{0}のダイスを同時に振って\nどちらか選択できる","102001","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","ミミ"
"0","6","1015","7","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","129601","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","アネモネ"
"1","10","1016","1","","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","100401","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","2","ミソギ"
"1","13","1017","2","","出たダイスの目が{0}だった場合、\n+{1}進める","127701","出たダイスの目が{0}だった場合、\n+{1}進める","3","リンド"
"1","10","1018","1","","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","127801","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","2","ヴルム"
"0","1","1019","10001","","最大50％割引確定のショップを開く（1品100％割引あり）","104801","","1","ミフユ"
"0","4","1020","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","104701","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","ジュン"
"0","6","1021","7","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","105001","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","ミサキ"
"0","2","1022","10002","","最大2000マイルを入手する","103201","","1","アキノ"
"0","12","1023","1","","福引券を{0}枚入手する","130901","","1","クルル"
"0","3","1024","1","","料理を{0}つ入手する","102501","","1","スズメ"
"0","8","1025","0","","ダイスの表と裏\nどちらを適用するか選択できる","100801","ダイスの表と裏\nどちらを適用するか選択できる","2","ユキ"
"0","5","1026","4","","出目が{0}のダイスを同時に振って\nどちらか選択できる","123301","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","ネア"
"0","1","1027","10001","","最大50％割引確定のショップを開く（1品100％割引あり）","104601","","1","タマキ"
"0","4","1028","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","118101","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","ランファ"
"0","6","1029","7","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","103401","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","ユカリ"
"0","2","1030","10002","","最大2000マイルを入手する","118001","","1","クレジッタ"
"0","12","1031","1","","福引券を{0}枚入手する","102801","","1","サレン"
"0","3","1032","1","","料理を{0}つ入手する","100201","","1","ユイ"
