28e2e255d3e0937e8cc8e8782afa032a19b529abe58b6070bf1319129e47033e,202bd7a64b54d6771ac3028f89eecd4f04ea3c608437d4da16c9b6d29de06ad0,8fb3f19a496abe53fabd4aa3f569ddeb6dae27d9546d9f2a68969e2e9eb42008,91498976d6d80ff7200a3f17a054a85e9a7112364cf997b624c16b2c5a6df06c,3336f48a6eceffb56675b7a1486ef2e2bc4f449203cecb287a9cda05d1a94256,a20f18fa4c9bcc49195c09eb8e180dbd0bff8200235cec04e486a55dcb076434,dec3e84a6e007093d582c9e511100dc7f29fce5e3985b76ef97b30d35b574d6c,b5ce7aad8d142ba9e28b16fbfaa8a65d6d547b08354b565b7f2b1392d822894a,47b93b469fd650beec9d2a786456d37b553fafc1c9aab406cc5ddc26d8bbe654,96f1010064a813ac57d36aae7dd12c3a763f30bf035fc0306808ebb4cf2cfaff,9f0f9ac029b5932ab372e62081812f3597d8eaf09c5a15dbdb10146e70232fd5,df58df8a2a9666b29fcc4d1f193731b364caf065cac97db2a76c07ad3cd3b7b6,0dbabebfb1f23377eb07a1efc7f7264095d3e19f0190187047234218efa90988,761574e8cc567af4158c5fb5f7f810f84903208190f5307773ef3edec4d81275,dea761924d7646a4485eb501b0816be07208f25283923ed6ff86b5aab324bee2,fdbcf216f6463a4810452e1e0322d9fe43e6582ac85c886a8cecc8e3e820866a,ed2590c85a2dd24ecc751f85081088d909ab83ffe3964794e00148aa670747fd,3206a86b720c99be67b7a2586f8591702bb9a04b1ee2da65092f5f23b369dc28,9c7a024724091c30b55e2399dbf6746d990b7aa8cb90b8da0950bec10bc13721,b10796c927e950dd1bf9fa9bfaafe4b5dc0a3fe14bea5cdad9bb18d278665b59,076f534b61423a43cb7821be22ab59121f47ef0b4642f51ceb5ce396080d22a4
"アイアンブレード","1","101011","0","剣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"キラーペンシル","1","101071","0","短剣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ウッドグリップ","1","101101","0","ナックル","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"狩人の弓","1","101131","0","弓","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"鋼の槍","1","101161","0","槍","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"片手斧","1","101191","0","斧","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"香木の杖","1","101251","0","回復杖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"革のサロペット","1","101281","0","軽装鎧","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"旅立ちのローブ","1","101371","0","魔法服","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"木の盾","1","101401","0","盾","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"革のブーツ","1","101431","0","靴","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"おしゃれなベレー","1","101521","0","魔法帽子","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"やる気のブレスレット","1","101551","0","攻撃アクセサリ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"御守りペンダント","1","101581","0","防御アクセサリ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"気合のブレスレット","1","101611","0","魔法アクセサリ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ギアブレード","2","102011","0","剣","0","0","0","0","0","13","0","0","0","0","0","30","0","0","0","0"
"ブルーブラッド","2","102013","0","剣","0","0","0","0","0","27","0","0","0","0","0","60","0","0","0","0"
"オーロラの剣","2","102014","0","剣","1","0","0","0","0","27","0","1","0","0","0","0","0","0","0","0"
"クレセントソード","2","102041","0","刀","0","0","0","0","0","30","0","0","0","0","0","35","0","0","0","0"
"コマンドナイフ","2","102071","0","短剣","0","0","5","0","0","13","0","0","0","0","0","0","0","0","0","0"
"レザーナックル","2","102101","0","ナックル","0","0","10","0","0","27","0","0","0","0","0","0","0","0","0","0"
"クリスタルボウ","2","102131","0","弓","0","0","0","0","0","27","0","1","0","0","0","0","0","0","0","0"
"トライデント","2","102162","0","槍","1","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0"
"フレイムスピア","2","102163","0","槍","3","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0"
"メタルアックス","2","102191","0","斧","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0"
"ハイメタルアックス","2","102192","0","斧","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0"
"グリーンロッド","2","102221","16","攻撃杖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"リトルドラゴンロッド","2","102222","34","攻撃杖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"医者いらずの杖","2","102251","13","回復杖","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ユニコーンの慈愛","2","102252","27","回復杖","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"智慧の衣","2","102281","0","軽装鎧","0","0","0","0","0","5","0","0","0","0","0","90","0","0","0","0"
"ライトプレート","2","102282","0","軽装鎧","1","0","0","0","0","7","0","1","0","0","0","150","0","0","0","0"
"スケイルメイル","2","102311","0","重装鎧","1","0","0","0","0","0","0","0","0","0","0","95","0","0","0","0"
"ハイメタルプレート","2","102312","0","重装鎧","2","0","0","0","0","0","0","1","0","0","0","180","0","0","0","0"
"フォークロアクロース","2","102341","0","服","0","0","0","0","0","6","0","0","0","0","0","90","0","0","0","0"
"忍び装束","2","102342","0","服","1","0","0","0","0","7","0","1","0","0","110","120","0","0","0","0"
"春色ローブ","2","102371","4","魔法服","0","0","0","0","0","0","0","1","0","0","0","65","0","0","0","0"
"ノルディックローブ","2","102372","7","魔法服","1","0","0","0","0","0","0","2","0","0","0","120","0","0","0","0"
"タワーシールド","2","102401","0","盾","3","0","0","0","0","7","0","0","0","0","0","135","0","0","0","0"
"クラウンブーツ","2","102431","0","靴","1","0","0","0","0","2","0","0","0","0","0","30","0","1","0","0"
"ハンティングブーツ","2","102432","0","靴","2","0","0","0","0","3","0","1","0","0","0","60","0","2","0","0"
"ウィッチブーツ","2","102461","8","魔法靴","0","0","0","0","0","0","0","1","0","0","0","30","0","0","0","0"
"かわいいキャスケット","2","102491","0","兜","1","0","0","0","0","3","0","0","0","0","0","90","0","0","0","0"
"レギオンヘルム","2","102493","0","兜","1","0","0","0","0","0","0","1","0","0","0","90","0","0","0","0"
"修道女のフード","2","102521","7","魔法帽子","1","0","0","0","0","0","0","3","0","0","0","0","0","0","10","0"
"勇気の宝珠","2","102551","0","攻撃アクセサリ","0","0","5","0","0","11","0","0","0","0","30","0","0","0","0","0"
"スパイクバングル","2","102552","0","攻撃アクセサリ","1","0","10","0","0","20","0","0","0","0","0","0","0","0","5","0"
"仁愛の宝珠","2","102581","0","防御アクセサリ","1","0","0","0","0","0","0","1","0","0","25","55","0","0","0","0"
"勝利のミサンガ","2","102582","0","防御アクセサリ","2","0","0","0","0","0","0","2","0","0","0","120","0","0","0","0"
"マジックグラス","2","102611","11","魔法アクセサリ","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"智慧の宝珠","2","102612","10","魔法アクセサリ","0","0","5","0","0","0","0","0","0","0","25","0","0","0","0","0"
"マジックモノクル","2","102613","24","魔法アクセサリ","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"文様の腕輪","2","102614","20","魔法アクセサリ","0","0","10","0","0","0","0","1","0","0","0","0","0","0","0","0"
"煌めきの剣","3","103011","0","剣","0","0","0","0","0","13.4","0","0","0","0","0","30","0","0","0","0"
"竜紋剣","3","103012","0","剣","0","0","0","0","0","17.7","0","0","0","0","0","38.4","0","0","0","0"
"フェザーブレード","3","103013","0","剣","0","0","0","0","0","20.4","0","0","0","0","0","45","0","0","0","0"
"月光刀","3","103041","0","刀","0","0","0","0","0","19.4","0","0","0","0","0","21.7","0","0","0","0"
"雷神刀","3","103042","0","刀","0","0","0","0","0","22.7","0","0","0","0","0","25","0","0","0","0"
"プラチナナイフ","3","103071","0","短剣","0","0","5","0","0","13.4","0","0","0","0","0","0","0","0","0","0"
"ヴァンパイアダガー","3","103072","0","短剣","0","0","0","1","0","20.4","0","0","0","0","0","0","0","0","0","0"
"ドラゴンズクロー","3","103101","0","ナックル","0","0","5","0","0","17.7","0","0","0","0","0","0","0","0","0","0"
"キューピッドの弓","3","103131","0","弓","0","0","0","0","0","17.7","0","1","0","0","0","0","0","0","0","0"
"デビルズボウ","3","103132","0","弓","0","0","0","0","0","20.4","0","1","0","0","0","0","0","0","0","0"
"騎士の誇り","3","103161","0","槍","1","0","0","0","0","11.7","0","0","0","0","0","0","0","0","0","0"
"アブソリュートスピア","3","103162","0","槍","1.7","0","0","0","0","15.4","0","0","0","0","0","0","0","0","0","0"
"ブルースフィアアックス","3","103191","0","斧","0","0","0","0","0","16.7","0","0","0","0","0","0","0","0","0","0"
"麗花の戦斧","3","103192","0","斧","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0"
"稲妻の斧","3","103193","0","斧","0","0","0","0","0","25.7","0","0","0","0","0","0","0","0","0","0"
"ソーンブラッドロッド","3","103221","16.7","攻撃杖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"デビルズホーン","3","103222","25.7","攻撃杖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
