80aa9ede08ec5090451f6435ca7ab9d2df9964594c6ef7e52782055fee3f9c17,6065e0a3547431355c272bc705af358efccaca359344365fbe0629e961c6ab5a,545464e5b0f53f21e21f1249c97d7b1f0e2be5aeafae7387c057ac126eb3a401,a7aed863729093096f3b01b507ba0ce1e0a595eb2db1da6cc0a94166ad7929a1,facd150a98df8e4a67abd671225b7238795a9ca2a8421cad20d997e180e1eaa2
"1010101","10101011","94002","2000000","12"
"1010102","10101021","23003","250","2"
"1010103","10101031","25021","3500","2"
"1010104","10101041","91002","100","8"
"1010105","10101051","90005","10","2"
"1010106","10101061","31063","20","2"
"1010107","10101071","91002","100","8"
"1010108","10101081","91002","150","8"
"1010109","10101091","41000","1","2"
"1010109","10101092","90008","2000","2"
"1010110","10101101","21953","1","2"
"1010110","10101102","90008","2000","2"
