7776b497c3bbc5f9ec794e219f58d4169b39f559071742c886d9f2c0655df7e3,affceae8a15ac481e7b9f82b22f69b12b3f5c2f2f09dee5b9b8fda4dfca2cf1a,d957c0ce3506f05d0d06945faa7d11e2eaa0e83e7f257d0e55178643de2511ac,2d18e8c56bc1c4ddd9067b446a24c349ce488b13d8370ac4e61af9da9de9ad76,f1c8ab3c55320864aab739295920091c02d98f6b070899e9366f5837dfcfafb2,e2135512e06afe84549b01176507e67a453ed63d848cabf503b0e5fa0a8131bf,3cf0d7b7c483687e9c394aa61f9f2fcb21a4a4fc75b06bb75ab41dee25e8cdf6,b5b2efa3542e2729da9890b23234c45200b8d7d363a6111d94bf0fd249574853,6782f4467fc9026d99d621255f48fc4fa6525609d2eeb7a66d8a49e9ffdbbfc0,7a1c5d29eeb5f84befd4436015e8a836f84bd368fc082bf531081d67b498aa32,5d95057117ab6fb239293cbe198e456558b0a6b6dacaaa0da1c06d80244f516d
"1001","23","","se_travel_finish_assemble","0","se_travel","","","1010010001","",""
"1001","1","travel_exdrama_r_100_run","1000001","1","1","-160","1.46","1010010002","-275","0"
"1001","1","travel_exdrama_r_100_run","1000002","2","1","-200","1.46","1010010003","-575","0"
"1001","1","travel_exdrama_r_100_run","1000003","3","1","-250","1.46","1010010004","-750","0"
"1001","1","travel_exdrama_r_100_run","1000004","4","1","-175","1.46","1010010005","575","1"
"1001","1","travel_exdrama_r_100_run","1000005","5","1","-250","1.46","1010010006","750","1"
"1001","2","","-100","-160","1000001","0","","1010010007","1",""
"1001","2","","-275","-200","1000002","0","","1010010008","1",""
"1001","2","","-450","-250","1000003","0","","1010010009","1",""
"1001","2","","275","-175","1000004","0","","1010010010","1",""
"1001","2","","450","-250","1000005","0","","1010010011","1",""
"1001","93","","0","0","1","0","","1010010012","0",""
"1001","3","","travel_exdrama_r_100_raiseup","0","1000001","0","0.2","1010010013","","0"
"1001","3","","travel_exdrama_r_100_idle","1","1000002","0","0","1010010014","","0"
"1001","3","","travel_exdrama_r_100_idle","1","1000003","0","0","1010010015","","0"
"1001","3","","travel_exdrama_r_100_idle","1","1000004","0","0","1010010016","","0"
"1001","3","","travel_exdrama_r_100_idle","1","1000005","0","0","1010010017","","0"
"1001","5","travel_exdrama_r_100_raiseup","1","11","1","-160","1.46","1010010018","-100","0"
"1001","93","","0","","1","","","1010010019","",""
"1001","6","","","","1000001","0","0.12","1010010020","",""
"1001","6","","","","1000002","0","0.12","1010010021","",""
"1001","6","","","","1000003","0","0.12","1010010022","",""
"1001","6","","","","1000004","0","0.12","1010010023","",""
"1001","6","","","","1000005","0","0.12","1010010024","",""
"1001","6","","","","1","0","0.12","1010010025","",""
"1001","93","","0","","0.12","","","1010010026","",""
"1001","91","","","","0","","","1010010027","",""
"1002","23","","se_travel_finish_assemble","0","se_travel","","","1010020001","",""
"1002","1","travel_exdrama_r_100_run","1000001","1","1","-160","1.46","1010020002","-275","0"
"1002","1","travel_exdrama_r_100_run","1000002","2","1","-200","1.46","1010020003","-575","0"
"1002","1","travel_exdrama_r_100_run","1000003","3","1","-250","1.46","1010020004","-750","0"
"1002","1","travel_exdrama_r_100_run","1000004","4","1","-175","1.46","1010020005","575","1"
"1002","1","travel_exdrama_r_100_run","1000005","5","1","-250","1.46","1010020006","750","1"
"1002","31","","10000","-40","10000","1","0","1010020007","20",""
"1002","2","","-100","-160","1000001","0","","1010020008","1",""
