2d293ea8184913e3e1e682a54dabee36de3c681889910ba3432a12e504253478,36f9e8a371193014f26f8b01b8e757df79ad8bfe59d9fd0f1f9fed1f824e0d85,859a9a70e1ad62afeabc41561209cee2e74482b0653aa1a08152c6553f442fa6,a6f6f946e7807dc8b453ce983417738de127ce920b8a0fb282d545720af3c9cb,c65a559bf39bf5a8c64cd7956947ee7c9d0d891941100271be9a12381e5aeb9f,dd019226485e0bedb139bb965bdf4e43722b2f0c5d962208a700981bad557bb4,36fe145fa97f4e64bb37e099562c1291df6b280236b34ec9f1320f7402bf7949,d82a6b7101326690c2d36c3616c47dd4fc4de65d457dc756dfdb20e259e0df96,6912ebb8dbbea7d610312d842610858bb4145c8eaf827ff5b5abfe566fdb655f,59e7f5c61e11a2a1d2c6851c02adea229d5f844b2411186ae46815117a5f4157,24bdf4cd2905cba6793791923fd64fe980440afb2565064a6f4398ae5e7d77be,5ce8b982916133ebbdbae8068a9fde8a18b4b1efcfb25c35aba84584f1876edc
"1","0","0.05","25","29","0","306","0","0","0.025","0","33"
"2","0","0.05","24","28","0","297","0","0","0.025","0","32"
"3","0","0.05","23","27","0","288","0","0","0.025","0","31"
"4","0","0.05","22","26","0","279","0","0","0.025","0","30"
"5","0","0.05","21","25","0","270","0","0","0.025","0","29"
"6","0","0.05","20","24","0","261","0","0","0.025","0","28"
"7","0","0.05","19","23","0","252","0","0","0.025","0","27"
"8","0","0.05","18","22","0","243","0","0","0.025","0","26"
"9","0","0.05","17","21","0","234","0","0","0.025","0","25"
"10","0","0.05","16","20","0","225","0","0","0.025","0","24"
"11","0","0.05","15","19","0","216","0","0","0.025","0","23"
"12","0","0.05","14","18","0","207","0","0","0.025","0","22"
"13","0","0.05","13","17","0","198","0","0","0.025","0","21"
"14","0","0.05","12","16","0","189","0","0","0.025","0","20"
"15","0","0.05","11","15","0","180","0","0","0.025","0","19"
"16","0","0.05","10","14","0","171","0","0","0.025","0","18"
"17","0","0.05","9","13","0","161","0","0","0.025","0","17"
"18","0","0.05","8","12","0","152","0","0","0.025","0","16"
"19","0","0.05","7","11","0","143","0","0","0.025","0","15"
"20","0","0.05","6","10","0","134","0","0","0.025","0","14"
"21","0","0.05","5","9","0","125","0","0","0.025","0","13"
"22","0","0.05","4","8","0","116","0","0","0.025","0","12"
"23","0","0.05","3","7","0","107","0","0","0.025","0","11"
"24","0","0.05","2","6","0","101","0","0","0.025","0","10"
"25","0","0","0","0","0","1","0","0","0","0","0"
