3730daa3e35e4602a6bbd94205662ad2192d58311bb76b5054b1b5a56d6c1a15,2e64a285bf33fc1dc4502c8f2fb1c84ba2afdb6f724669d06df09ee69208b61b,229b9a03a1075af3976051fcd7525836b2f146e354751f3c43a426a361cb1d9a,1c254d18f7fc71e5545af61238f64a17f206c35e4dd35ee6f4639f3edafb1302,21d69bb65040462414f4459f353cade1616a19b6ed2f110b5fd1c2dee39f0140
"-1","1008203","1008003","261","1008003"
"-1","1018203","1018003","261","1018003"
"-1","1018211","1018011","261","1018011"
"-1","1018212","1018012","261","1018012"
"-1","1026211","1026011","301","1026011"
"-1","1038202","1038002","261","1038002"
"-1","1038203","1038003","261","1038003"
"-1","1038212","1038012","261","1038012"
"-1","1045202","1045002","301","1045002"
"-1","1045212","1045012","301","1045012"
"-1","1046203","1046003","261","1046003"
"-1","1056202","1056002","301","1056002"
"-1","1056212","1056012","301","1056012"
"-1","1067203","1067003","261","1067003"
"-1","1071201","1071001","301","1071001"
"-1","1071211","1071011","301","1071011"
"-1","1071212","1071012","261","1071012"
"-1","1082202","1082002","261","1082002"
"-1","1082212","1082012","261","1082012"
"-1","1083212","1083012","261","1083012"
"-1","1084203","1084003","261","1084003"
"-1","1084213","1084013","261","1084013"
"-1","1085212","1085012","261","1085012"
"-1","1089202","1089002","301","1089002"
"-1","1089212","1089012","301","1089012"
"-1","1091202","1091002","261","1091002"
"-1","1091212","1091012","261","1091012"
"-1","1103202","1103002","261","1103002"
"-1","1103212","1103012","261","1103012"
"-1","1106202","1106002","261","1106002"
"-1","1106212","1106012","261","1106012"
"-1","1110202","1110002","261","1110002"
"-1","1110212","1110012","261","1110012"
"-1","1114202","1114002","261","1114002"
"-1","1114212","1114012","261","1114012"
"-1","1119202","1119002","301","1119002"
"-1","1122201","1122001","261","1122001"
"-1","1122202","1122002","261","1122002"
"-1","1122212","1122012","261","1122012"
"-1","1129202","1129002","261","1129002"
"-1","1129212","1129012","261","1129012"
"-1","1134202","1134002","261","1134002"
"-1","1134212","1134012","261","1134012"
"-1","1137212","1137012","261","1137012"
"-1","1138201","1138001","261","1138001"
"-1","1139203","1139003","301","1139003"
"-1","1139213","1139013","301","1139013"
"-1","1141212","1141012","261","1141012"
"-1","1146202","1146002","261","1146002"
"-1","1146212","1146012","261","1146012"
"-1","1150202","1150002","261","1150002"
"-1","1150212","1150012","261","1150012"
"-1","1155203","1155003","261","1155003"
"-1","1155213","1155013","261","1155013"
"-1","1156203","1156003","261","1156003"
"-1","1156213","1156013","261","1156013"
"-1","1158203","1158003","261","1158003"
"-1","1158201","1158101","261","1158101"
"-1","1158211","1158111","261","1158111"
"-1","1164203","1164003","261","1164003"
"-1","1166203","1166003","261","1166003"
"-1","1168203","1168003","261","1168003"
"-1","1170203","1170003","261","1170003"
"-1","1170213","1170013","261","1170013"
"-1","1172203","1172003","261","1172003"
"-1","1176203","1176003","261","1176003"
"-1","1179203","1179003","261","1179003"
"-1","1190203","1190003","261","1190003"
"-1","1209203","1209003","261","1209003"
"-1","1211201","1211001","261","1211001"
"-1","1211202","1211002","261","1211002"
"-1","1211212","1211012","261","1211012"
"-1","1213202","1213002","261","1213002"
"-1","1215203","1215003","261","1215003"
"-1","1802202","1802002","261","1802002"
"-1","1802212","1802012","261","1802012"
"-1","1807202","1807002","261","1807002"
"-1","1807212","1807012","261","1807012"
