54b037ae59f5e80493059834e9e6b5cb51653d7ac30159e7ec14db769e4ec9f1,387db111f487d72bfa658d82cb1b6de438c4fe0823e2b598b03d3456cd06b2c3,2ae25aeb234d759b0f10a32c98ad0ecc6c57da6db345b26ccad364b468419cdd,4cb3a04ad37ca2d9d2cddf8d71afc2988bcabf2bb4928c924727fcb4709fa284,fa98773a1e96a40624f38b83254cfcd1ebac7f7a8c28cd21579a833d768b6f1e,a6fa79634db0240cd87a1ce143df11a2beddc03fcb506a517b098cc8424f72e1,5e6d63655bd70c47fb233f7c828422e5c6d9b97a62551100c1b0317c3d89182c,6dfbc9c665a3a4a5c4c7691f33b825c7091e69a3953c9c2ffd6804831235b277,8a9bc52c20fc56ac9a157d3a4b8ccc60654bfafe61cb4b79eef4d04aa69d9ee9,e67999b76f126575038a29c7a8cc36ec0d038becd5bd588a95ed7e8e59bb6351,65068262e41aaffb25b359fc2be58ece73c4055963a7040d8c6b3be5bdd77e74
"1001","100","1","167","drama_idle","1","-224","1","1.65","129811","1"
"1002","100","1","-49","drama_idle","1","-224","1","1.65","129911","0"
"1003","1","1","","","129811","","3","0.2","drama_idle",""
"1004","0","1","drama_talk_arm_crossed_loop","","129911","1","3","0.2","drama_talk_arm_crossed_in","0"
"1005","0","1","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_1_000",""
"1006","6","1","1","0","129911","0","11","0","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","0"
"1007","","1","","","0","","91","","",""
"1008","1","1","","","129911","","3","0.2","drama_idle_arm_crossed",""
"1009","0","1","drama_talk_doya_loop_smile","","129811","1","3","0.2","drama_talk_doya_in_smile","0"
"1010","0","1","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_1_001",""
"1011","6","1","1","0.3","129811","0","11","0","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","0"
"1012","","1","","","0","","91","","",""
"1013","1","1","","","129811","","3","0.2","drama_idle_arm_crossed",""
"1014","0","1","drama_talk_smile_loop","","129911","1","3","0.2","drama_talk_smile_in","0"
"1015","0","1","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_1_002",""
"1016","5","1","1","0.5","129911","0","11","0","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","0"
"1017","","1","","","0","","91","","",""
"1018","1","1","","","129911","","3","0.2","drama_idle",""
"1019","1","1","","","129811","","3","0.2","drama_idle",""
"2001","100","2","167","drama_idle","1","-224","1","1.65","129811","1"
"2002","100","2","-49","drama_idle","1","-224","1","1.65","129911","0"
"2003","1","2","","","129911","","3","0.2","drama_idle",""
"2004","0","2","drama_talk_admire_loop","","129811","1","3","0.2","drama_talk_admire_in",""
"2005","0","2","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_2_000",""
"2006","7","2","1","0.5","129811","0","11","0","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","0"
"2007","","2","","","0","","91","","",""
"2008","1","2","","","129811","","3","0.2","drama_idle_admire",""
"2009","0","2","drama_talk_arm_crossed_loop","","129911","1","3","0.2","drama_talk_arm_crossed_in",""
"2010","0","2","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_2_001",""
"2011","5","2","1","0.3","129911","0","11","0","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","0"
"2012","","2","","","0","","91","","",""
"2013","1","2","","","129911","","3","0.2","drama_idle_arm_crossed",""
"2014","0","2","drama_talk_guts2_loop","","129811","1","3","0.2","drama_talk_guts2_in",""
"2015","0","2","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_2_002",""
"2016","8","2","1","0.3","129811","0","11","0","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","0"
"2017","","2","","","0","","91","","",""
"2018","1","2","","","129811","","3","0.2","drama_idle",""
"2019","1","2","","","129911","","3","0.2","drama_idle",""
"3001","100","3","167","drama_idle","1","-224","1","1.65","129811","1"
"3002","100","3","-49","drama_idle","1","-224","1","1.65","129911","0"
"3003","1","3","","","129811","","3","0.2","drama_idle",""
"3004","1","3","","","129911","","3","0.2","drama_talk_thinking",""
"3005","0","3","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_3_000",""
"3006","5","3","1","0.8","129911","0","11","0","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","0"
"3007","","3","","","0","","91","","",""
"3008","1","3","","","129911","","3","0.2","drama_idle_thinking",""
"3009","0","3","drama_talk_sad_loop","","129811","1","3","0.2","drama_talk_sad_in",""
"3010","0","3","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_3_001",""
"3011","7","3","1","0.5","129811","0","11","0","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","0"
"3012","","3","","","0","","91","","",""
"3013","1","3","","","129811","","3","0.2","drama_idle_sad",""
"3014","0","3","drama_talk_arm_crossed_loop","","129911","1","3","0.2","drama_talk_arm_crossed_in",""
"3015","0","3","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_3_002",""
