7cf1c43ebdea4a7732be1ea0d8b8abb012cf009e3070298f36997624f29e74bc,886ee66dd14ecb76562531ec3529b13d2cd7cb17fb8e9b5d780434d54c155e1b,b1b3c2a50f1b8e0f8df7df0d41b7e4ae93aeb0c9c0f0720f737ca6490209cf52,6dce926eb75044fa4306ccd134ed7897d67b5360ccc9aa11a9925ba7f764ff8a,98b9612e456e665e3da139a3a1129fc288021111957d68030f922c673f3e3f24,e334469c87e2cd22534f2e6ccece452bb9a767fe2d7990d93f7aeab9419f302f,c8293bfac24a105190855dd62138e68a89b50843b344cc77ab2a996ec014f73c,331e780e3cd7da8c914492c8afc5b8616035140bebb0f478edf17801448c6b1d,763558d2e0f43a344786111b0ea22e8d7b00db44f8973d9ed38dfc33fc61ef0a,ecf04da701a9af333aa9fe8112e6cea3f8ce20aea713dfc2049bfc978a1b8e11,b6fc80ce3fe5797afcf93a46e48480486cf84c06a5bb2a6ff0a14bbfdf24eb02,df973ef562e131de80a62657ab58753d4f34ab92563e9d7475f833b689e19893,9577f9338357996a04741fe808f6fe33bfcfde98abe77fa1b23e305263b9c0e2,fce9e37ac19e1b6fb2041773246fedaeca233bb93a97fbd4a4cb18c92c3f4ec9,0fdf9bd0a18eefaa4db7afcb559b5efd02d09186bee1b86c55d33a12c11768e4,ba1c93f37a63cf2e7be4fa82707fa972085b3bc697df7c826107e0ca06761ba4,ae510348a8918cae16e5567d9642c19532d5dac059d0da991a6a9f53fbef14c5,5d7698e80017d7200b0d36e5e4ec85bd73d052ac69feaa913f2a5a4b7f62a896,4828672f1cfcae4819bb039cb2e49a5fbd3244efeea7f0cc58727340ac17858c,027f7647c83c27e45cbe8ac9659be62ab07d3cd2ca1f278803d805c8f5956513,24bd855dd177c7a7c68fd6e90c74212837d08012694358e07718e21069f1036e
"SummerEnemyC","3100","NONE","NONE","600","1800","1000","AccelBoardA","0","2500","NONE","0","BeachJumpOverTrap","0","1000","0","0","SpeedTerritoryA","NONE","NONE","SummerEnemyA"
"SpeedTerritoryA","3000","NONE","NONE","500","1300","800","AccelBoardA","0","2000","NONE","0","AccelBoardA","0","1001","0","0","WaterMelon","NONE","NONE","SummerEnemyB"
"SpeedTerritoryA_NoColl","2000","NONE","NONE","400","1300","1000","SummerEnemyA_NoColl","0","1600","NONE","0","BeachTrap_NoCall","0","1002","0","0","EnemyB_NoColl","NONE","NONE","Balloon"
"EnemyB","3300","NONE","NONE","700","2300","1500","AccelBoardA","0","3000","NONE","0","AccelBoardA","0","1003","0","0","BeachJumpOverTrap","NONE","NONE","BeachJumpOverTrap"
"BeachJumpOverTrap","0","NONE","NONE","800","1900","1300","SummerEnemyA","0","2700","NONE","0","NONE","0","1004","0","0","SpeedTerritoryA","NONE","NONE","BeachJumpOverTrap"
"SpeedTerritoryA","3300","NONE","NONE","300","2000","1500","SummerJumpOverEnemyC","0","2600","NONE","0","SummerEnemyB","0","1005","0","0","AccelBoardA","NONE","NONE","BeachJumpBoard"
"BeachTrap","3000","NONE","NONE","700","1800","1300","BeachTrap","3700","2500","NONE","0","AccelBoardA","0","1006","0","0","BeachJumpOverTrap","NONE","BeachTrap","SummerEnemyA"
"BeachJumpOverTrap","3100","NONE","NONE","500","1800","1300","SummerEnemyB","0","2400","NONE","0","BeachJumpOverTrap","0","1007","0","0","SummerEnemyB","NONE","NONE","AccelBoardA"
"SummerEnemyB","3400","NONE","NONE","500","2300","1100","BeachJumpBoard","3700","2700","NONE","0","BeachJumpOverTrap","0","1008","0","0","AccelBoardA","NONE","SummerEnemyB","AccelBoardA"
"SummerEnemyA_NoColl","3300","NONE","NONE","400","2000","1000","BeachTrap_NoCall","3700","2900","NONE","0","BeachJumpOverTrap","0","1009","0","0","BeachJumpOverTrap","NONE","SpeedTerritoryA","Balloon"
"BeachJumpOverTrap","3500","NONE","NONE","400","2200","1400","SpeedTerritoryA","0","3000","NONE","0","BeachJumpOverTrap","0","1010","0","0","EnemyB","NONE","NONE","BeachJumpOverTrap"
"BeachJumpBoard","2800","NONE","NONE","400","1500","900","SpeedTerritoryA","3300","2400","NONE","0","SummerEnemyA","0","1011","0","0","BeachJumpOverTrap","NONE","AccelBoardA","SummerEnemyD"
"SpeedTerritoryA_NoColl","3750","NONE","NONE","300","2200","1200","SpeedTerritoryA_NoColl","0","2850","NONE","0","EnemyB","0","1012","0","0","BeachJumpBoard","NONE","NONE","Balloon"
"BeachTrap","3300","NONE","NONE","900","2100","1400","AccelBoardA","0","2600","NONE","0","BeachTrap","0","1013","0","0","SummerEnemyD","NONE","NONE","SpeedTerritoryA"
