226e8ecf7fd6e757b6639065b6e58bf6e9281ca9e36d235b43d7c76675542960,99e1720d52a96b45bd5a22a9b5ba518eb7f37b65082170c32d0f82f89eebebba,24ff7437ac64181e2b17c8bb2e4cbc30613ba0c921186466b5d868e94f6b7370,df0576484a53baeb2399eab9fc5da4367c7dfa4f98a35af785b0cebf42db1196,7a34429f3e506b75f90e44212b972f252b01d7e194c77aff301b3b9f91a3bd0e,402f3d6541054bb82d48fb6b3bf15cf310da82b058a6cc2e3b3c4e2dd60a1474,f1da9f33a0bbaf18e61620a0cf3a520b44a9b9de58ba22b19be1a039c2d4a973
"0","20036104","0","10064","4","開会式","1006401"
"0","20036104","0","10064","3","開会式","1006402"
"1006402","20036104","0","10064","1","徒競走","1006403"
"1006402","20036104","0","10064","4","徒競走","1006404"
"1006402","20036104","0","10064","2","徒競走","1006405"
"1006405","20036104","0","10064","2","騎馬戦","1006406"
"1006405","20036104","0","10064","4","騎馬戦","1006407"
"1006406","20036106","0","10064","3","昼休憩","1006408"
"1006406","20036106","0","10064","4","昼休憩","1006409"
"1006408","20036106","0","10064","3","学術文化出展各種","1006410"
"1006408","20036106","0","10064","4","学術文化出展各種","1006411"
"1006408","20036106","0","10064","1","学術文化出展各種","1006412"
"1006410","20036108","0","10064","4","侍女風給仕喫茶","1006413"
"1006410","20036108","0","10064","3","侍女風給仕喫茶","1006414"
"1006414","20036113","0","10064","3","総合リレー","1006415"
"1006414","20036113","0","10064","4","総合リレー","1006416"
"1006415","0","2003601","10064","1","セレモニーステージ","1006417"
"1006415","0","2003601","10064","4","セレモニーステージ","1006418"
"1006415","0","2003601","10064","2","セレモニーステージ","1006419"
"1006419","0","2003601","10064","3","閉会式","1006420"
"1006419","0","2003601","10064","4","閉会式","1006421"
"1006420","0","2003601","10064","4","コンプリート演出","1006422"
