2b6096472402e2930d6acba30202a7fe170ce1a08a309ab4f270fb1da12c984b,e46bd948d373c2a943ddf281c719b5cbd3bb9716061fd8bfa66ab9888c61a129,17c8fe3eb3ba57f802d234f13415f410c24d9ae29f485325c6f9a18b6f1fd1d7,ccda94e3e5a0ecccfbfe6f314990061210008b3fd58fd53ee0f14512e4920159,4e3a12b1ec1798b01314fc69207c7d98adbb5007164462d643107ed4244f3feb,f942fc32211f02af20da19e07b07ece908354bd50cd33892c9a271c3e90fb09d,c527da87bbe2a1aabf060c1534cb818c8efdbe94706b49944130c2a91e37a6f2,c1a33294d7f16058e7d1b9c45d4c7a35448fb5bdfc33d799a52977b8a958507f,ef5e9195e0a7cd079d5e45246e6e8ca7a7c5a06f8dbf5c2565e3fcd38457adbc
"1","30000","0","90043","90001","10","12000","10000","1"
"2","30000","0","90047","90002","20","24000","10000","2"
"3","30000","0","90047","90002","20","24000","10000","3"
"4","30000","0","90047","90002","20","24000","10000","4"
"5","30000","0","90047","90002","20","24000","10000","5"
"6","30000","0","90047","90002","20","24000","10000","6"
"7","30000","0","90047","90002","20","24000","10000","7"
"8","30000","0","90047","90002","20","24000","10000","8"
"9","30000","0","90047","90002","20","24000","10000","9"
"10","30000","0","90047","90002","20","24000","10000","10"
"11","30000","90011","90051","90003","40","48000","10000","11"
"12","30000","90011","90051","90003","40","48000","10000","12"
"13","30000","90011","90051","90003","40","48000","10000","13"
"14","30000","90011","90051","90003","40","48000","10000","14"
"15","30000","90011","90051","90003","40","48000","10000","15"
"16","30000","90011","90051","90003","40","48000","10000","16"
"17","30000","90011","90051","90003","40","48000","10000","17"
"18","30000","90011","90051","90003","40","48000","10000","18"
"19","30000","90011","90051","90003","40","48000","10000","19"
"20","30000","90011","90051","90003","40","48000","10000","20"
"21","30000","90015","90055","90004","60","72000","10000","21"
"22","30000","90015","90055","90004","60","72000","10000","22"
"23","30000","90015","90055","90004","60","72000","10000","23"
"24","30000","90015","90055","90004","60","72000","10000","24"
"25","30000","90015","90055","90004","60","72000","10000","25"
"26","30000","90015","90055","90004","60","72000","10000","26"
"27","30000","90015","90055","90004","60","72000","10000","27"
"28","30000","90015","90055","90004","60","72000","10000","28"
"29","30000","90015","90055","90004","60","72000","10000","29"
"30","30000","90015","90055","90004","60","72000","10000","30"
"31","30000","90015","90059","90005","80","96000","10000","31"
"32","30000","90015","90059","90005","80","96000","10000","32"
"33","30000","90015","90059","90005","80","96000","10000","33"
"34","30000","90015","90059","90005","80","96000","10000","34"
"35","30000","90015","90059","90005","80","96000","10000","35"
"36","30000","90015","90059","90005","80","96000","10000","36"
"37","30000","90015","90059","90005","80","96000","10000","37"
"38","30000","90015","90059","90005","80","96000","10000","38"
"39","30000","90015","90059","90005","80","96000","10000","39"
"40","30000","90015","90059","90005","80","96000","10000","40"
"41","30000","90017","90063","90005","120","144000","10000","41"
"42","30000","90017","90063","90005","120","144000","10000","42"
"43","30000","90017","90063","90005","120","144000","10000","43"
"44","30000","90017","90063","90005","120","144000","10000","44"
"45","30000","90017","90063","90005","120","144000","10000","45"
"46","30000","90017","90063","90005","120","144000","10000","46"
"47","30000","90017","90063","90005","120","144000","10000","47"
"48","30000","90017","90063","90005","120","144000","10000","48"
"49","30000","90017","90063","90005","120","144000","10000","49"
"50","30000","90017","90063","90005","120","144000","10000","50"
"51","30000","90019","90067","90006","150","180000","10000","51"
"52","30000","90019","90067","90006","150","180000","10000","52"
"53","30000","90019","90067","90006","150","180000","10000","53"
"54","30000","90019","90067","90006","150","180000","10000","54"
"55","30000","90019","90067","90006","150","180000","10000","55"
"56","30000","90019","90067","90006","150","180000","10000","56"
"57","30000","90019","90067","90006","150","180000","10000","57"
"58","30000","90019","90067","90006","150","180000","10000","58"
"59","30000","90019","90067","90006","150","180000","10000","59"
"60","30000","90019","90067","90006","150","180000","10000","60"
"61","30000","90021","90071","90007","180","216000","10000","61"
"62","30000","90021","90071","90007","180","216000","10000","62"
"63","30000","90021","90071","90007","180","216000","10000","63"
"64","30000","90021","90071","90007","180","216000","10000","64"
"65","30000","90021","90071","90007","180","216000","10000","65"
"66","30000","90021","90071","90007","180","216000","10000","66"
"67","30000","90021","90071","90007","180","216000","10000","67"
"68","30000","90021","90071","90007","180","216000","10000","68"
"69","30000","90021","90071","90007","180","216000","10000","69"
"70","30000","90021","90071","90007","180","216000","10000","70"
