30a328b23b84afdeeed2e23565b31e4ce5f66cc0d50ff1f5332a31fad59fa73c,ed404310503eea269c050b6590f40762f73068bca3a37640c5e50f16658ef83b,765ae8da837881735f35d5b56ae30902c1eee20d4628dfe8a6b2c7a07f1e28d6,b0ab7fe394d2cba5cafd1c1b831713d6273ea39f38cb83ddc573b13a0fbc290e,8740d3df12eda3888a9b281b2c1492d22db79eca39833670cdd13e166d8eae0a,2b050a7c4c054108de2588c9d1e0834ddc6f177acaf4412467a3928741cf9263,8a364e8d59fd368e4af4a48c8dc18817361a893528635f66c55790941b4f06e2,0b451e8d75e497b466ded45dfa993fb2924a0a130f81e7213f7e63c7252bf553,e9d613acbb15c4ea3797e5fd691ca426690e2df13163378ee1310201acac596a
"","610201101","0","1","0","1.6","1","0","50"
"","610201151","200","1","0","1.8","1","0","-75"
"","610201201","0","1","0","1.6","1","0","50"
"","610201202","0","1","0","1.6","1","0","50"
"","610201203","0","1","0","1.6","1","0","50"
"","610201251","200","1","0","1.65","1","0","-75"
"","610201252","200","1","0","1.8","1","0","-75"
"","610201253","200","1","0","1.8","1","0","-75"
"","610201301","0","1","0","1.6","1","0","50"
"","610201302","0","1","0","1.6","1","0","50"
"","610201303","0","1","0","1.6","1","0","50"
"","610201351","200","1","0","1.65","1","0","-75"
"","610201352","200","1","0","1.8","1","0","-75"
"","610201353","200","1","0","1.8","1","0","-75"
"","610201401","0","0","1","1","2","0","0"
"","610201402","0","0","1","1","3","0","0"
"","610201403","0","0","1","1","4","0","0"
"","610201451","0","0","0","0.78","2","-200","0"
"","610201452","0","0","0","0.78","3","-140","0"
"","610201453","0","0","0","0.78","4","-60","0"
"","610201501","0","0","1","1","2","0","0"
"","610201502","0","0","1","1","3","0","0"
"","610201503","0","0","1","1","4","0","0"
"","610201551","0","0","0","0.78","2","-200","0"
"","610201552","0","0","0","0.78","3","-140","0"
"","610201553","0","0","0","0.78","4","-60","0"
"","610202101","190","1","0","1.7","1","0","-45"
"","610202201","190","1","0","1.4","1","0","-55"
"","610202202","190","1","0","1.7","1","0","-45"
