6046087e501be275aca657513ef5286e253caa9d54e4911fefac293e7f462eb0,359ab41d571e4a35435052337ff6addb9707740e880017c566edb3b3955f6dcb,c51d1cf43fff46e6af67dd0eaac15f9e37c5b5b4d29b17d296c3fc25dda44da8,2e214284f1e99904f87166477e3288733ba217bf19213b40f85c4fd40617d38b
"1004601","1","5046601","1004601"
"1004801","1","5048007","1004801"
"1004802","2","1004801","1004802"
"1005601","1","5056601","1005601"
"1006101","1","5061601","1006101"
"1006102","3","5061602","1006102"
"1006103","1","5061601","1006103"
"1006601","4","5027704","1006601"
"1007001","5","0","1007001"
"1007301","1","5046601","1007301"
"1007501","1","5048007","1007501"
"1007502","2","1004801","1007502"
"1008201","6","0","1008201"
"1008301","1","5056601","1008301"
"1008901","1","5061601","1008901"
"1008902","3","5061602","1008902"
"1008903","1","5061601","1008903"
"1009201","3","5092601","1009201"
"1010001","3","5100601","1010001"
"1010201","3","5100601","1010201"
"1010901","6","0","1010901"
"1011901","3","5092601","1011901"
"1012701","3","5100601","1012701"
"2003201","1","5056601","2003201"
