58d85279c471a4a41728a3ce3c5e349a30dfc76697280329e4c7e15b7da9c480,f1d18b1798ad0f750ec46bf9827ac4612161489d69817d1f13e209d3e3482e31,a30b1fd88086405a91e4c11eb2bf8d68df2bc304ceca79e24c9f16a14aa4d92f,f88ad1c4066303bfb7258b2d69bc8e2289d9c97cb417c09aa8e14b5c699ef7e0,ba905be2595a567ff6ca0c5440e603bec11ddc485ec8ce1f83c8fdb99e7ea700
"2999180","1","0.07","0","0"
"2999101","2","0.07","0","0"
"2999167","3","0.07","0","0"
"2999168","4","20","0","0"
"2999169","5","40","0","0"
"2999170","6","60","0","0"
"2999171","7","80","0","0"
"2999172","8","9","0","0"
"2999173","9","27","0","0"
"2999174","10","45","0","0"
"2999175","11","63","0","0"
"2999176","12","81","0","0"
"2999182","13","4.08","0","0"
"2999102","14","0.08","0","0"
"2999103","15","0.07","0","0"
"2999102","16","0.08","0","0"
"2999184","17","0.07","0","0"
"2999183","18","0.07","0","0"
"2999185","19","0.07","0","0"
"2999186","20","20","0","0"
"2999187","21","40","0","0"
"2999188","22","60","0","0"
"2999189","23","80","0","0"
"2999104","24","20","0","0"
"2999177","25","20","0","0"
"2999105","26","40","0","0"
"2999178","27","40","0","0"
"2999106","28","60","0","0"
"2999179","29","60","0","0"
"2999190","30","0.07","0","0"
"2999107","31","15","0","0"
"2999108","32","30","0","0"
"2999109","33","45","0","0"
"2999110","34","60","0","0"
"2999111","35","75","0","0"
"2999112","36","15","0","0"
"2999113","37","30","0","0"
"2999114","38","45","0","0"
"2999115","39","60","0","0"
"2999116","40","75","0","0"
"2999117","41","0.07","0","0"
"2999118","42","0.08","0","0"
"2999119","43","0.09","0","0"
"2999120","44","0.1","0","0"
"2999120","45","0.1","0","0"
"2999120","46","0.1","0","0"
"2999101","47","0.07","0","0"
"2999101","48","0.07","0","0"
"2999101","49","0.07","0","0"
"2999121","50","4.08","0","0"
"2999122","51","4.09","0","0"
"2999123","52","4.1","0","0"
"2999124","53","4.08","0","0"
"2999125","54","4.09","0","0"
"2999126","55","4.1","0","0"
"2999127","56","0.08","0","0"
"2999127","57","0.08","0","0"
"2999127","58","0.08","0","0"
"2999128","59","0.08","0","0"
"2999128","60","0.08","0","0"
"2999128","61","0.08","0","0"
"2999192","62","0.08","0","0"
"2999129","63","0.08","0","0"
"2999129","64","0.08","0","0"
"2999129","65","0.08","0","0"
"2999132","66","0.5","0","0"
"2999132","67","0.5","0","0"
"2999132","68","0.5","0","0"
"2999133","69","0.5","0","0"
"2999133","70","0.5","0","0"
"2999133","71","0.5","0","0"
"2999191","72","1","0","0"
"2999134","73","15","0","0"
"2999135","74","30","0","0"
"2999136","75","45","0","0"
"2999137","76","60","0","0"
"2999138","77","75","0","0"
"2999139","78","15.01","0","0"
"2999140","79","30.01","0","0"
"2999141","80","45.01","0","0"
"2999142","81","60.01","0","0"
"2999143","82","75.01","0","0"
"2999144","83","15.02","0","0"
"2999145","84","30.02","0","0"
"2999146","85","45.02","0","0"
"2999147","86","60.02","0","0"
"2999148","87","75.02","0","0"
"2999149","88","15","0","0"
"2999150","89","30","0","0"
"2999151","90","45","0","0"
"2999152","91","60","0","0"
"2999153","92","75","0","0"
"2999154","93","15.01","0","0"
"2999155","94","30.01","0","0"
"2999156","95","45.01","0","0"
"2999157","96","60.01","0","0"
"2999158","97","75.01","0","0"
"2999159","98","15.02","0","0"
"2999160","99","30.02","0","0"
"2999161","100","45.02","0","0"
"2999162","101","60.02","0","0"
"2999163","102","75.02","0","0"
"2999164","103","0.07","0","0"
"2999165","104","0.08","0","0"
"2999166","105","0.09","0","0"
"2999130","106","0.08","0","0"
"2999193","107","0.07","0","0"
"2999194","108","1","0","0"
"2999195","109","30","0","0"
"2999196","110","60","0","0"
"2999197","111","15","0","0"
"2999198","112","30","0","0"
"2999199","113","45","0","0"
"2999200","114","60","0","0"
"2999201","115","75","0","0"
"2999202","116","0.07","0","0"
"2999203","117","0.08","0","0"
"2991180","118","0.07","0","0"
"2991101","119","0.07","0","0"
"2991167","120","0.07","0","0"
"2991168","121","20","-1","20"
"2991172","122","9","-1","9"
"2991182","123","4.08","0","0"
"2991102","124","0.08","0","0"
"2991103","125","0.07","0","0"
"2991102","126","0.08","0","0"
"2991184","127","0.07","0","0"
"2991183","128","0.07","0","0"
"2991185","129","0.07","0","0"
"2991186","130","20","-1","20"
"2991104","131","20","0","0"
"2991177","132","20","0","0"
"2991105","133","40","0","0"
"2991178","134","40","0","0"
"2991106","135","60","0","0"
"2991179","136","60","0","0"
"2991190","137","0.07","0","0"
"2991107","138","15","-1","15"
"2991112","139","15","-1","15"
"2991117","140","0.07","0","0"
"2991118","141","0.08","0","0"
"2991119","142","0.09","0","0"
"2991120","143","0.1","0","0"
"2991120","144","0.1","0","0"
"2991120","145","0.1","0","0"
"2991101","146","0.07","0","0"
"2991101","147","0.07","0","0"
"2991101","148","0.07","0","0"
"2991121","149","4.08","0","0"
"2991122","150","4.09","0","0"
"2991123","151","4.1","0","0"
"2991124","152","4.08","0","0"
"2991125","153","4.09","0","0"
"2991126","154","4.1","0","0"
"2991127","155","0.08","0","0"
"2991127","156","0.08","0","0"
"2991127","157","0.08","0","0"
"2991128","158","0.08","0","0"
"2991128","159","0.08","0","0"
"2991128","160","0.08","0","0"
"2991129","161","0.08","0","0"
"2991129","162","0.08","0","0"
"2991129","163","0.08","0","0"
"2991132","164","0.5","0","0"
"2991132","165","0.5","0","0"
"2991132","166","0.5","0","0"
"2991133","167","0.5","0","0"
"2991133","168","0.5","0","0"
"2991133","169","0.5","0","0"
"2991134","170","15","-1","15"
"2991139","171","15.01","-1","15"
"2991144","172","15.02","-1","15"
"2991149","173","15","-1","15"
"2991154","174","15.01","-1","15"
"2991159","175","15.02","-1","15"
"2991164","176","0.07","0","0"
"2991165","177","0.08","0","0"
"2991166","178","0.09","0","0"
