b9ccb9f1685a6f7a9ccee3697dbdb13d339238e5da4112fd0880e2dbaaca4919,da0079a29bae460b0253ec76d62139a76cbd731d39df90f1e861581ee1c12485,65c3c47e5ccf02bbb0fd323ba2f23fd01980d6969d36e9880f64d2e125c331c7,cf605e01ef774b0fa59deac1f89109350d6614f7c3a08ab697ce6606192b5179,3188e486b84015b74575d1c14d05a6dbaa10f8a14d13454bd9d19a08610a7f59,73759112a7b7890bf014b4ce623ccf5fba56cdc3a7b7b8a2c75f1f6bd07ea2b7,df9229b08b28460f81d7548bc9905226a6bddb0bc2fc357923dd561c843abcfd,f8a2d55f331c177bc5d8847e2043479d8963008dd4e662758b05001849b671cc,f4e085d31428fdbd4c0ad3a3b17198378b983ecbf6042c896683c17d7ed73c1d,a3cbb8cc1454a93d0ccf6721b8a5786acd667111b68b6edf5166ee36a65e03d5,7243beb86b4bebb0da24039ff1bff9dc02996c1ecf78eac7a8bb6ee0d9b4dfde,e87fd510525fb9646a9a6601c6245b76a76397ff676dcd685e642f6c0ddfea75,703f19ab809987f30fdb156ed54bba5213807dbfab6defe55ac02dc211c5f4e2,56c582bc5ceb018076deaf2ee9b195c216dd397c861c24bf4dd60fe56c4cee5f,129fde9ced013ae694898df77545238f4cbaea6cc56b46e380ef46098c77c57b,2fd8dbd245674014be4d000d5235ee85873c56e0ed86edf3204e81f84c16339f,b019e7b84546397911f9ab47ef12794064bf321e490de2c0a5b2d53ca3695347,48d3c1c584c0879e82be1a07d535bb461e55b436caa28ed61663c1352281f771,eccdcd9e74df4133d851c7f84599d79ef975658a9142d67fd66de0c42989d2e7
"5.5","12","0","610132501","","3","1","3","289","0","0","1","1","-60","0","0","5","10132","610132007"
"1.5","0","0","610132502","","1","1","0","289","70","0","2","1","-60","0","0","5","10132","610132008"
"1.5","0","0","0","","1","1","0","289","0","0","3","1","-60","0","0","5","10132","610132009"
"5.5","0","0","0","","1","1.85","3","292","55","0","1","1","-50","0","0","5","10134","610134007"
"1.5","30","0","610134502","","3","1.85","0","292","0","0","2","1","-50","0","0","5","10134","610134008"
"1.5","0","0","0","","1","1.85","0","292","0","0","3","1","-50","0","0","5","10134","610134009"
"5.5","0","0","610136501","","2","1.1","3","295","0","0","1","1","0","600","0","5","10136","610136007"
"1.5","0","0","0","","1","1.5","0","295","84","0","2","1","-50","0","0","5","10136","610136008"
"1.5","0","0","0","","1","1.5","0","295","0","0","3","1","-50","0","0","5","10136","610136009"
"5.5","0","0","0","","1","0.85","0","295","75","0","1","1","0","0","0","5","10137","610137007"
"1.5","0","0","0","","1","0.85","0","295","50","0","2","1","0","0","0","5","10137","610137008"
"1.5","0","0","0","","1","0.85","0","295","0","0","3","1","0","0","0","5","10137","610137009"
"5.5","0","0","0","","1","1.4","3","298","77","0","1","1","0","0","0","5","10140","610140007"
"1.5","0","0","0","","1","1.4","0","298","52","0","2","1","0","0","0","5","10140","610140008"
"1.5","0","0","0","","1","1.4","0","298","0","0","3","1","0","0","0","5","10140","610140009"
"5.5","0","0","0","","1","1.45","3","301","76","0","1","1","-33","0","0","5","10142","610142007"
"1.5","0","0","610142502","","2","1.23","3","301","0","0","2","1","-40","600","0","5","10142","610142008"
"1.5","0","0","0","","1","1.45","0","301","0","0","3","1","-33","0","0","5","10142","610142009"
"5.5","0","0","0","","1","1","3","304","65","0","1","1","-33","0","0","5","10144","610144007"
"1.5","0","0","610144502","","2","0.85","3","304","0","0","2","1","-40","600","0","5","10144","610144008"
"1.5","0","0","0","","1","1","0","304","0","0","3","1","-33","0","0","5","10144","610144009"
"5.5","0","0","610146501","","2","0.87","3","307","0","0","1","1","-45","600","0","5","10146","610146007"
