3b541037a7806c024f4ebacc29f5d64df43e86844f7f69d63bad3147aff9fcad,23840a69cc7bef63a05637169c084a91c1d6d5f21b17b720b047f95ec4cbed95,b7506c4a0ec511144f4dcb055b580e27b7f03ed2a943b7e1edb1524c19e8e216,68e883e72160349b6f2003f76cd5e56803fe5626ed8869483ef8fcf5f0ba86fd,8190bd800472edaee05060964f29b25f4252fa718616b331eac0bcd7b2c0bb76,1300f997e45c67a149b2298ac2f1332e256c44f415add7101faae18041165d8b,88af4e32f39ec11a67d5df8b6f71a6ee026ad952182bf226ce99a34629662861
"1","10008111","10008101","","1","0","0"
"2","10008115","10008112","","1","0","0"
"3","10008103","10008101","","3","0","0"
"4","10008115","10008105","","3","0","0"
"5","150","10008112","","4","0","0"
"6","10028111","10028101","","1","0","0"
"7","10028115","10028112","","1","0","0"
"8","10028103","10028101","","3","0","0"
"9","10028115","10028105","","3","0","0"
"10","150","10028112","","4","0","0"
"11","20012104","20012104","","11","0","20012107"
"12","20012108","20012108","","11","0","20012109"
"13","20012110","20012110","","11","0","20012114"
"14","20012115","20012115","","11","0","20012115"
"15","120","20012110","","4","0","0"
"16","20008111","20008101","","1","0","0"
"17","20008115","20008112","","1","0","0"
"18","20008103","20008101","","3","0","0"
"19","20008115","20008105","","3","0","0"
"20","150","20008112","","4","0","0"
