baf113534dce09acc433e96294f80f72b5ab6fcfe175b9cdaeff70b2f0dcaa77,8901eddcbc3d5dfe146f5ce1cb22fe76c40c88fc357c406ea468db215bf16a04,e6fab61518dc1a08c227bb6b69bbdfc37e8193486900a4a4a4a16e0a6fcf8a38,859f0817bed23489d26f171dae9aee6d3cc2709e40bf0b05d206d2a236b8bf70,8f5cfa49f38043b76af87d2395d71b4e7c1b34bae79c9b283174378ed624c968,7ee45a0008df82cbb6d277bb590e4b5b84114f6a09b90f98899e6bd95b5bf089,65955b5187505bae201c3ff861b3772f281ebb291a1a8f16c217439f4708df9c,1aea941f44687a638e41de49fa8dfe02f347c86ed5736f286976326213640df6,e6efd8e2e0831d6bfb1d6b99157c2cb8b1497c50b4d374247d74bf4f5dc06e5d,b21b5a68ef9c849df80b0a427c4beccda026c09d8f4fa29888afa759737a92d1,0cd8b5521fefad6e362bcc43c3470a4e0c3851fd23f3a6de71681f19aa5c815f,4af6335b6d3e185c4f79316ba240d127e4d502aca09e80b8324d4b4edaf31fc9,62385452d20d66bcc023456b8b6b0f32267de1f178d99dc134b7d1235e5b68f7,2ce4d067644883ffb7b0b97f62c2c9b94757be6324ccc44be197de8ab7a389ef,a6c880cd2208374eedf307ca49f5390eca818cb1c16d4dde681dd5c185046e95,5488135571940da37f95f5b9632287bccdda1064b9b41929bb7b5180eef8c94b
"201","101","2","215","980","301","70","401","455","-110","3","1","501","2","1","1008201"
"202","102","2","215","515","302","70","402","230","-110","3","2","502","2","1","1008202"
"203","103","1","215","515","303","70","403","230","-110","3","3","503","2","1","1008203"
"204","104","1","215","515","304","70","404","230","-110","3","4","504","2","1","1008204"
"205","105","2","233","787","305","78","405","355","-110","3","5","505","2","1","1008205"
"206","106","3","233","787","306","78","406","355","-110","3","6","506","2","1","1008206"
"207","107","3","233","777","307","88","407","345","-110","3","7","507","2","1","1008207"
"208","108","1","233","777","308","88","408","345","-110","3","8","508","2","1","1008208"
"209","109","1","233","777","309","88","409","345","-110","3","9","509","2","1","1008209"
"210","110","3","233","810","310","88","410","355","-110","3","10","510","2","1","1008210"
"211","111","2","233","777","311","88","411","345","-110","3","11","511","2","1","1008211"
"212","112","2","215","515","312","70","412","230","-110","3","12","512","2","1","1008212"
"213","113","1","233","810","313","78","413","355","-110","3","13","513","2","1","1008213"
"214","114","1","215","515","314","70","414","230","-110","3","14","514","2","1","1008214"
"215","115","3","215","515","315","70","415","230","-110","3","15","515","2","1","1008215"
"216","116","2","215","655","316","70","416","275","-110","3","16","516","2","1","1008216"
"217","117","3","215","515","317","70","417","230","-110","3","17","517","2","1","1008217"
"218","118","3","233","777","318","88","418","345","-110","3","18","518","2","1","1008218"
