efad67f7abf4c2dc75fbe49b3b306432121fa06f68a1ad23cbd36d4eed82d61e,d27756b56b2d246a5969664925ef421e2c54ed9554b29e0ee6fcd4e1ab76c0f0,e734a70a38cf304f374c6384a0b0ff5bb9016172b8ff3bd4f7c5b82791d4ac24,db8862faab46b5541287656b9ef516d3f67e034b19bc09bc44f6e81199c4127b,ba72af61e3caf03185caef55bde948e93ee99c91bb8d721329f6042d52b2f5ca,918dcf95d9fadf307d899b062104a47a47fea5eb890761b18f4418835b41524b,5297ce8dffa3d618f2be7f5d6e3bcca546057814222853cc473265f9a5fee894,0818ce770d14c96f5b7d729fbf6555fb3de961bc8dd3a48a0eba45a2a594019d,e265fa00bc391e717dd8d04d527da785c3bd8540eec0f079e086924664f83d2a,d9d8e715ce72a8550fc2758625325c886cc7fe47ad549ad016fa0c177be9cb58,426137b623834832d3ffa12313eb794a5c10361fa4bb0b9c6f0ab69d3139ba46,d3f8908d898b66a3a77d5155a53f85fbdadb6eb0c02c1dbf85096e160f4bfe8e,ccabb9276fec6beacea51cbac10cb7cb186364995c58ff755af5d10209db94e1,e40694ff6456ba5c72901bda7917760f179325707a62fd725486a6124f362f1b,51406da67d6bba49a15264f081a7d365a2d2529bc512f18e55a4cccfc2878adb,8fced68bc045e53fc845529836a031a53a67a63658bbfd1bdd3d5cd4a39e83a1,622b91ed28aec2ab396c62ac0cf563da409f0b37a670df7af39fe156a5858fd2,0ab220ebd08f147a1c5e06a86f26648036266a08663c09dd8f4d67a25c71499c,7ffb0cadcbff4d48595de04b60b8f983d962ff9aeb1a70cee298a51a30532e5a,443648fd9c90af87ddc2043a20dd5c81ba34dc6470097acc88f98f2f2dce39e7,b24757c246af0430827c3dcae3933025b96695df3b22e7ac8e06251bbbc0536c,63869c255d4a1ffc23a1cf0f4c3e3d90ba24231e48758e0911b87476f6b5147a
"2000","0","102282","0","0","0","0","0","0","102281","0","0","0","0","1","0","0","1","0","0","0","122282"
"1500","0","102311","0","0","0","0","0","0","101281","0","0","0","0","1","0","0","1","0","0","0","122311"
"2000","0","102312","0","0","0","0","0","0","102311","0","0","0","0","1","0","0","1","0","0","0","122312"
"1500","0","102341","0","0","0","0","0","0","101581","0","0","0","0","1","0","0","1","0","0","0","122341"
"2000","0","102342","0","0","0","0","0","0","102341","0","0","0","0","1","0","0","1","0","0","0","122342"
"1500","0","102371","0","0","0","0","0","0","101371","0","0","0","0","1","0","0","1","0","0","0","122371"
"2000","0","102372","0","0","0","0","0","0","102371","0","0","0","0","1","0","0","1","0","0","0","122372"
"2000","0","102401","0","0","0","0","0","0","101401","0","0","0","0","1","0","0","1","0","0","0","122401"
"1500","0","102431","0","0","0","0","0","0","101431","0","0","0","0","1","0","0","1","0","0","0","122431"
"2000","0","102432","0","0","0","0","0","0","102431","0","0","0","0","1","0","0","1","0","0","0","122432"
"1500","0","102491","0","0","0","0","0","0","101521","0","0","0","0","1","0","0","1","0","0","0","122491"
"1500","0","102493","0","0","0","0","0","0","102311","0","0","0","0","1","0","0","1","0","0","0","122493"
"2000","0","102521","0","0","0","0","0","0","102251","0","0","0","0","1","0","0","1","0","0","0","122521"
"2000","0","102613","0","0","0","0","0","0","101611","0","0","0","0","1","0","0","1","0","0","0","122613"
"2000","0","102614","0","0","0","0","0","0","102612","0","0","0","0","1","0","0","1","0","0","0","122614"
"5000","0","103011","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113011"
"7000","0","103012","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113012"
"10000","0","103013","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113013"
"7000","0","103041","0","0","0","0","0","0","103071","0","0","0","0","3","0","0","1","0","0","0","123041"
"10000","0","103042","0","0","0","0","0","0","103012","0","0","0","0","3","0","0","1","0","0","0","123042"
"5000","0","103071","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113071"
"10000","0","103072","0","0","0","0","0","0","103552","0","0","0","0","3","0","0","1","0","0","0","123072"
"7000","0","103101","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113101"
"7000","0","103131","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113131"
"10000","0","103132","0","0","0","0","0","0","103131","0","0","0","0","3","0","0","1","0","0","0","123132"
"5000","0","103161","0","0","0","0","0","0","102162","0","0","0","0","3","0","0","1","0","0","0","123161"
"7000","0","103162","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113162"
"5000","0","103191","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113191"
"7000","0","103192","0","102013","0","0","0","0","103191","0","0","0","1","3","0","0","1","0","0","0","123192"
"10000","0","103193","0","0","0","0","0","0","103192","0","0","0","0","3","0","0","1","0","0","0","123193"
"5000","0","103221","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113221"
"10000","0","103222","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113222"
"5000","0","103251","0","0","0","0","0","0","102251","0","0","0","0","3","0","0","1","0","0","0","123251"
"7000","0","103252","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113252"
"5000","0","103281","0","0","0","0","0","0","102282","0","0","0","0","3","0","0","1","0","0","0","123281"
"7000","0","103282","0","102312","0","0","0","0","102282","0","0","0","1","3","0","0","1","0","0","0","123282"
"10000","0","103283","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113283"
"5000","0","103311","0","0","0","0","0","0","102312","0","0","0","0","3","0","0","1","0","0","0","123311"
"5000","0","103341","0","0","0","0","0","0","102342","0","0","0","0","3","0","0","1","0","0","0","123341"
"7000","0","103342","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113342"
"10000","0","103343","0","103611","0","0","0","0","103341","0","0","0","1","3","0","0","1","0","0","0","123343"
"7000","0","103371","0","0","0","0","0","0","102372","0","0","0","0","3","0","0","1","0","0","0","123371"
"10000","0","103372","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113372"
"7000","0","103401","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113401"
"5000","0","103431","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113431"
"7000","0","103432","0","0","0","0","0","0","103431","0","0","0","0","3","0","0","1","0","0","0","123432"
"7000","0","103461","0","102432","0","0","0","0","102614","0","0","0","1","3","0","0","1","0","0","0","123461"
"7000","0","103491","0","102493","0","0","0","0","102312","0","0","0","1","3","0","0","1","0","0","0","123491"
"5000","0","103521","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113521"
"7000","0","103522","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113522"
"5000","0","103551","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113551"
"7000","0","103552","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113552"
"10000","0","103553","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113553"
"5000","0","103581","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113581"
"7000","0","103582","0","0","0","0","0","0","102582","0","0","0","0","3","0","0","1","0","0","0","123582"
"10000","0","103583","0","0","0","0","0","0","103581","0","0","0","0","3","0","0","1","0","0","0","123583"
"5000","0","103611","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113611"
"5000","0","103612","0","0","0","0","0","0","102614","0","0","0","0","3","0","0","1","0","0","0","123612"
"7000","0","103613","0","0","0","0","0","0","102614","0","0","0","0","1","0","0","1","0","0","0","103611"
"10000","0","103614","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","113614"
"20000","0","104011","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","114011"
"25000","0","104012","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","114012"
"30000","0","104013","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","114013"
"35000","0","104014","0","0","0","0","0","0","0","0","0","0","0","10","0","0","1","0","0","0","114014"
