7f952df1823cceb6152cf42f2df243f56896f3ae8db80160f34890fa9cd48550,7436950876d40ed597fd2cc5f19129837954c53d0981adc7012ecd1ea4970605,4e044c67b059378ea0411bde25c571a1726d5aeb9c9bd2881bbc8602ed5e2700,170925f6a6e4289fd6a3bc2470f01d626d41e6765515065eee486242f91bedae,7cdfa32ace7e7d243369109bf22460e9977515d6d4131cd702d0ef54367c90b3,0805941ce4f59f79c93cbe67a68d5d97c6f029b83407a6c800637a3826b9af47,92e5a91d07716cb2d3338603e48f36598f796315592e4231cd99597b00e6c96d,fa498eff9f0b8f880f2b764bf3b52a959f7384a568487a7ff5351e5439d5c074,4de7705aaac8d5a8a022b2e02f099795d097f4456aff54def19e4b634aca09ea,314c993cb0a49731f3fcb3d26f4b7bd39a8dd01610639a1c04e399776b8279c3,c993552a860df62e1752844a80a77e5aa21f0e1dc1eabaddd33ec9f99f603a3a,8a30ef58cbb3936dea86063ba06699d4f8d4c31aa34166c5549fa86ca0b36ceb,955f1f891dd233e68137f4e2364f7c68a69ac6221c948665e475143b93fb5d9c
"3110001","0","0","1","ぶた","0","おおかみ","いぬ","1","0","0","0","いのしし"
"3110002","0","0","1","三","0","一","四","1","0","0","0","二"
"3110003","0","0","1","八","1","十","七","1","0","0","0","九"
"3110004","0","0","1","亭","0","花","也","1","0","0","0","要"
"3110006","0","0","1","がつがつ","0","めそめそ","もぐもぐ","1","0","0","0","ぱかぱか"
"3110007","0","0","1","針で縫う","0","犬の鳴き声","批判をする","1","0","0","0","ものがへこむ"
"3110009","0","0","0","木","1","田","口","1","0","0","0","十"
"3110010","0","0","1","それで","0","しかし","よって","1","0","0","0","だが"
"3110011","0","0","1","身長をはかる","0","服を身長する","身長が伸びる","1","0","0","0","身長な行動"
"3110012","0","0","1","地面（じめん）","0","身近（みじか）","自信（じしん）","1","0","0","0","鼻血（はなじ）"
"3110013","0","0","1","た","0","ま","さ","1","0","0","0","ば"
"3110015","0","0","1","月","0","土","火","1","0","0","0","金"
"3111001","0","0","1","ブレイド","0","プリンセス","クイーン","1","0","0","0","ストライク"
"3111002","0","0","1","アタック","0","ヒール","エクスプロージョン","1","0","0","0","オール"
"3120001","1","0","1","H","0","F","J","0","0","0","0","G"
"3120002","0","0","1","ふさい","0","ふうふ","ふじん","1","0","0","0","めおと"
"3120006","0","0","1","講","1","無","酒","1","0","0","0","礼"
"3120007","0","0","1","山","1","天","四","1","0","0","0","王"
"3120008","0","0","1","事","1","絵","想","1","0","0","0","空"
"3120010","0","0","1","アスパラガス","0","ナス","カボチャ","1","0","0","0","トマト"
"3120011","1","0","1","春","1","新年","夏","0","0","0","0","盆"
"3120012","0","0","1","東","0","瓜","南","1","0","0","0","西"
"3120013","0","0","1","馬の耳に念仏","1","猫に小判","鬼に金棒","1","0","0","0","豚に真珠"
"3120014","0","0","1","傍","1","自","全","0","0","0","0","半"
"3120015","1","0","0","がる","1","しい","ろす","1","0","0","0","る"
"3120016","0","0","1","申し上げる","1","存じ上げる","なさる","0","0","0","0","いらっしゃる"
"3121001","0","0","1","クソエルフ","0","ロリババア","クソ眼鏡","1","0","0","0","クソ猫"
"3121002","0","0","1","ミラー","0","オブジェクト","アヴァロン","1","0","0","0","クリエイション"
"3130001","0","0","1","暗","0","塩","倍","1","0","0","0","梅"
"3130002","1","0","1","秋","1","春","冬","0","0","0","0","夏"
"3130004","0","0","1","五里夢中","0","前代未聞","良妻嫌母","1","0","0","0","四面楚歌"
"3130005","0","0","1","自我自賛","0","無我夢中","一期一得","1","0","0","0","公明正大"
"3130006","0","0","1","危機一発","1","怪刀乱麻","単刀直入","1","0","0","0","山止水明"
"3130007","0","0","1","意気消沈","1","以心伝心","興味深々","1","0","0","0","三位一体"
"3130010","0","0","1","仁","1","朴","温","1","0","0","0","念"
"3130011","0","0","1","場","1","土","独","1","0","0","0","壇"
"3130013","0","0","1","多","1","我","雑","1","0","0","0","楽"
"3130014","0","0","1","りちぎ","0","ちゅうじつ","ただみ","1","0","0","0","まめ"
"3130016","0","0","1","たけのこ","0","わかめ","たまねぎ","1","0","0","0","もずく"
"3131001","0","0","1","戦記","0","煉獄","冥空","1","0","0","0","血盟"
"3131002","0","0","1","トリップ","0","エクスタシー","妄想","1","0","0","0","トランス"
"3210001","0","0","1","キュウリ","1","トマト","ダイコン","1","0","0","0","ナス"
"3210002","0","0","1","肝臓","0","肺","心臓","1","0","0","0","腎臓"
"3210003","0","0","1","循環器","1","呼吸器","消火器","1","0","0","0","排出器"
"3210005","0","0","1","ナマコ","0","イカ","イソギンチャク","1","0","0","0","タコ"
"3210006","0","0","1","イノシシ","0","カンガルー","ナマケモノ","1","0","0","0","コアラ"
"3210008","0","0","1","モイモイ","0","マイマイ","がんがんむし","1","0","0","0","でんでんむし"
"3210009","0","0","1","モンアオチョウ","0","モンキチョウ","モンアカチョウ","1","0","0","0","モンシロチョウ"
"3210010","0","0","1","人差し指","0","小指","親指","1","0","0","0","中指"
"3210011","0","0","1","C型","0","A型","D型","1","0","0","0","B型"
"3210013","0","0","1","ヤドカリ","0","アサリ","エビ","1","0","0","0","ハマグリ"
"3210014","0","0","1","ライオン","0","ウサギ","オオカミ","1","0","0","0","ウマ"
"3210015","0","0","1","クマ","0","サイ","コアラ","1","0","0","0","シカ"
"3211001","0","0","1","ミソギ","0","スズナ","サレン","1","0","0","0","ハツネ"
"3211002","0","0","1","イノリ","1","ホマレ","ミフユ","1","0","0","0","カヤ"
"3220001","0","0","1","アリ","0","ムカデ","アメンボ","1","0","0","0","クモ"
"3220002","0","0","1","カエル","0","バッタ","ヒト","1","0","0","0","ミミズ"
"3220003","0","0","1","トビウオ","0","カワハギ","チョウチンアンコウ","1","0","0","0","メバル"
"3220006","0","0","1","キンギョ","0","グッピー","メダカ","1","0","0","0","ベタ"
"3220007","0","0","1","ヒマワリ","0","チューリップ","タンポポ","1","0","0","0","ヒヤシンス"
"3220009","0","0","1","シロナガス","1","セミ","ジンベエ","1","0","0","0","マッコウ"
"3220011","0","0","1","ツキノワグマ","0","トキ","オコジョ","1","0","0","0","タンチョウ"
"3220012","0","0","1","イチゴ","1","スイカ","リンゴ","1","0","0","0","メロン"
"3220013","0","0","1","二酸化炭素","1","水","酸素","1","0","0","0","光"
"3220014","0","0","1","ボルボックス","1","アオミドロ","クツワムシ","1","0","0","0","ミジンコ"
"3220015","0","0","1","シーズー","1","チワワ","ソマリ","1","0","0","0","パグ"
"3220016","0","0","1","フナムシ","0","アオムシ","ミドリムシ","1","0","0","0","イモムシ"
"3221001","0","0","1","ユカリ","0","モニカ","キョウカ","1","0","0","0","ミミ"
"3221002","0","0","1","モニカ","1","トモ","ハツネ","1","0","0","0","シオリ"
"3230001","0","0","1","ねずみ","0","牛","獅子","1","0","0","0","羊"
"3230004","1","0","0","ライオン","1","ウミネコ","トラ","1","0","0","0","ヤマネコ"
"3230005","0","0","1","セメント質","1","象牙質","神経質","1","0","0","0","エナメル質"
"3230006","0","0","1","オオルリ","1","コマドリ","エトピリカ","1","0","0","0","ウグイス"
