f09fbbe7ea719d59650ad18f253d4fbc0217983f34303744fbc3b3c917464458,beb6d672f544fa68864a45fdd18aaae49be0c866c61008708f51b244df5f2bd6,f838488c06c655e58994fb7a08f119e09e8c58ac89f1462ed8981be90bdace4c,353373d81e036920c8ac82335135318f45bb6e72dcd82db26dbf3c9511db1dcd,2a87c8c352a3e1f2fd1eab161dde77a3da474dd2db344bf3d8e29b5be4091005,e50c08f48979fe0cf02e8ed133721ec81fd39e8de70a6b3995a8dfbad12cca1b
"1","10201","1","301","5201087","102013011"
"1","10201","1","402","5201081","102014021"
"0","10201","101","402","5201082","102014022"
"1","10201","1","501","5201066","102015011"
"2","10201","1","501","5201067","102015012"
"3","10201","1","501","5201068","102015013"
"4","10201","1","501","5201069","102015014"
"5","10201","1","501","5201070","102015015"
"6","10201","1","501","5201071","102015016"
"7","10201","1","501","5201072","102015017"
"8","10201","1","501","5201073","102015018"
