53724406f705aad20a01a06e6ddd1c0744520db9aade284c8281bc86ff60b6a9,a7395d74ad672d6c52d6d6fbd0829c4f288111c1495db6c60ec6b66063304d98,64ceac70ce827a356bf66ae878e4679551b12760f7441f526bfa311e66da4db2,f691dc15a86765bc6c9a260d7b1772a599a115690b0b12bcdb7cf2daebd3cd70,53a6ee7260e7512095b1b80b42762bd048c3f07eb66bd5ec641e2cfd7a676f62,3fce71ae7d644ca0209ab9dc1316932f379173683181d4c2acae72ff734c5515,e4e46906046ce12f47770a6bd7ac7dc7c844ff6831672a0dedbd1be6574672a6,4a994d6a60e795664473b3d66ec3ea927c15c3752395ea44eddbcdcf09ce5df3,8154d54b2b9f991815fde13f56f73a8468220e386dc6ad342bbb975126c1d200,97e3a06ba69c95e9628781d2bd9542543294435d1b5214eafb60e853f764ca88,a029173e6e7a9507a56002640044d273090b381b56ac4b95b0f8f4342ddcfb15
"","","","","","","イ","","","1082",""
"","","","","","","オ","","","1107",""
"","","","","","","","","","1176","ツ"
"ホ","","ル","","","","ー","","","1189",""
"","","","","","","ゥー","","","1192",""
"","","","","","","イ","","","1245",""
"","","ちそ","ゃさ","","","","","","1250",""
"イ","ナイア","メ","ア","イトメ","ナイト","ト","ナメア","トメア","2013","ナ"
"ソ","ランル","","ル","ラドソ","ランド","ラ","ドソル","ンドル","2014","ン"
"","そるう","","う","そのと","そるの","と","そのう","るのと","2015","る"
"な","るなと","う","の","なのと","るなう","と","るのう","のとう","2016","る"
"","ひくて","い","","ひうて","ひくう","う","ひてい","くうて","2017","く"
"","ふゃ","し","ん","しん","ふゃ","ゃ","ふん","","2019","ふ"
"わ","ぎゅわ","む","ぎ","むぎし","むしわ","し","むゅわ","ぎしゅ","2020","ゅ"
"","E","","","","","","","S","2031",""
"","","","","","AE","","","","2032",""
"","A","","","","","","R","","2033",""
"","E","","","","","","I","","2034",""
"","UA","","","","","","R","","2036",""
"","E","","","E","Y","","L","","2037",""
"","E","","","V","I","","L","","2038",""
"","L","","","","","","I","","2040",""
"","","","","","","","A","","2041",""
"","","","","","","","","Y","2042",""
"","","","","","","","A","K","2043",""
"","","","","","","","A","","2045",""
"","","","","","","","R","Q","2046",""
"","A","","","","","","R","","2047",""
"","","","","","","","A","KQ","2048",""
"","B","","","","","","","","2049",""
"","U","","","","T","","A","","2050",""
"","EI","","","","P","","C","","2052",""
"","I","","","","T","","A","","2053",""
"","","","","","S","","","","2054",""
"","","","","","","","R","","2055",""
"","V","","","","","","","","2056",""
"","","","","","","","WU","","2058",""
"","","","","","","","","R","2059",""
"","","","","","","","","R","2060",""
"","","","","","","","S","","2062",""
"","A","","","S","S","","E","","2063",""
"","","","","","A","","A","","2064",""
"","A","","","","S","","","","2065",""
"","","","","","","","","C","2066",""
"","B","","","","","","","","2067",""
"","I","","","","","","","L","2068",""
"","","","","","","","E","C","2069",""
"","E","","","D","","","","","2070",""
"","A","","","N","I","","","","2071",""
"","","","","","A","","C","","2074",""
"","","","","","A","","A","","2077",""
"","","","し","","","","","","2092","ち"
"","ン","","","ム","ト","","ァ","フ","2130",""
"視","","わ","聞聴","","","聴言","","","2200","か"
"","","","ビブ","","","","","","2201","ー"
"","","","ル","","","","","","2202",""
"麦","","鯉","","","","飯","","","2216",""
"し","","う","","","","ゅ","","","2261",""
"","","","","","","","","","2264","ぅ"
"","","","","","","ー","","","2266",""
"ひ","","く","き","","","ふ","","","2295","ん"
"","","","だ","","","","","","2313",""
"","","","","","","","ナ","ル","3020",""
"フ","","","","","","ェ","","","3066",""
"く","","","","","","","","","3068",""
"","","が","","","","","","","3073",""
"","","","生","","","","","","3084",""
"","","","ア","","","","","","3158",""
"","","ひ","","","","","","","3165",""
"","","","か","","","","","","3187",""
"","","デ","シス","","","","","","3191","オ"
"","","","さ","","","","","","3193","ま"
"","","","","","","","","ブ","3195",""
"","","ス","","","","","","","3222",""
"","","","ず","","","","","","3238",""
"","","","帰","","","","","","3271",""
"","","","","","","ク","","","3277",""
"","","ア","","","","","","","3318",""
"","","","し","","","","","","4029","ち"
"","","","","","","","","","4049","X"
"","","","た","","","","","","4052",""
"","","","さ","","","","","","4077",""
"","","","","","","","","","4154","帯"
"","そ","","","","","","","","4157",""
"","い","","","","","","","","4167",""
"","","","","","","","","二","4171",""
"","","","","","倍","","小","","4194",""
"","","","","","約","","大","","4195",""
"高","","底","","","","","","","4196",""
"","","","","","","","","半","4197",""
"","","","く","","","","","","4203",""
"","","ウ","","","","","","","4220",""
"","","","","","","ィ","","","4222",""
"セ","","","","","","","","","4247",""
"","","ー","","","","","","","5010",""
"","","ワ","","","","","","","5011",""
"","","","","テカ","ラモ","","","","5030",""
"","","","","レカ","オモ","","","","5031",""
"","","ー","","","","","","","5051",""
"","","か","ら","","","お","","","5066",""
"","","ぶ","","","","","","","5100",""
"","","","","つ","じ","","つ","み","5109",""
"","ン","","","ー","タ","","ウ","カ","5140",""
"","","","","","","","","","5147","ロ"
"","","と","","","","","","","5160",""
"","戌卯辰","虎","","卯戌子","戌酉子","牛","戌酉卯","卯辰戌","5193",""
"","","","","","","","","","6060","ト"
"","","ほ","","","","","","","6065",""
"","","","ィ","","","","","","6157",""
"","","","","ト","","","","","6188",""
"イ","","ド","","","","ン","","","6203",""
"","","ク","ジ","","","","","","6216","ラ"
"","ウ","","","","","","ョ","チ","6227",""
