39c9b537a52837641ad3937386290298f083224081d35dc12b283b0325fa6167,8c0bd1579d905814f0b42c70d1ca0aad5c135af0975d0ec0472891c009da61c1,5983b0a8470456b4d2a7a1df0eb4b812c0ca2d31606e269b910ff267bab6f353,ed6ca12ba2c074f992c9e5158d136be2590c9b228cf3ad0e1c52e5015d214902,d58fa2fb5ffaf308e6a08244a8eee8e650fb432d2bc63cbbd94c2b01df8129aa,f7345b8b58b946baffe92ba53554a2558201958b665fdc6ba6aaf9d74f729840,c7bd10aa2515367079e3b67ef9e492f6821165fe04665ffdac394c07cd905bc9
"1","vo_minigame_1004","2","ふっふっふ、これでカヤぴぃとボスを見返してやるです！","vo_minigame_1004_top_1_000","1000101","10001"
"1","vo_minigame_1004","2","しりとりでの戦い、お兄さんにも手伝ってもらうです","vo_minigame_1004_top_1_003","1000201","10002"
"2","vo_minigame_1004","1","どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","vo_minigame_1004_top_1_004","1000301","10003"
"2","vo_minigame_1004","1","石板でしりとりか……イノリのヤツおもしろいこと考えるな","vo_minigame_1004_top_1_005","1000401","10004"
"2","vo_minigame_1004","1","しりとりだろうがなんだろうが返り討ちにしてやるぜ","vo_minigame_1004_top_1_006","1000501","10005"
"3","vo_minigame_1004","2","ぐもも……（オデ、ハラヘッタ）","vo_minigame_1004_top_1_007","1000601","10006"
"3","vo_minigame_1004","2","ぐもももも（シリトリ タノシイ）","vo_minigame_1004_top_1_008","1000701","10007"
"3","vo_minigame_1004","2","ぐもももも！（イノリ イイヤツ）","vo_minigame_1004_top_1_009","1000801","10008"
"1","vo_minigame_1004","2","カヤぴぃ相手でも手加減しないです","vo_minigame_1004_top_2_010","1000901","10009"
"2","vo_minigame_1004","1","上等だ！やるからには本気で来いよな","vo_minigame_1004_top_2_011","1000902","10009"
"1","vo_minigame_1004","2","カヤぴぃ、謝るなら今のうちです","vo_minigame_1004_top_2_012","1001001","10010"
"2","vo_minigame_1004","1","イノリこそ泣きを入れるなら今のうちだぜ？","vo_minigame_1004_top_2_013","1001002","10010"
"1","vo_minigame_1004","2","カヤぴぃ、これからは知性の時代ですよ？","vo_minigame_1004_top_2_014","1001101","10011"
"2","vo_minigame_1004","1","待て！オレがバカみたいにいうな！！","vo_minigame_1004_top_2_015","1001102","10011"
"1","vo_minigame_1004","1","さあ、あたしたちの力を見せてやるです","vo_minigame_1004_top_2_016","1001201","10012"
"3","vo_minigame_1004","2","ぐも！（マカセロ！）","vo_minigame_1004_top_2_017","1001202","10012"
"1","vo_minigame_1004","1","よしよし、いいですようまくできたらチョコをあげるです！","vo_minigame_1004_top_2_018","1001301","10013"
"3","vo_minigame_1004","2","ぐも！（オデ チョコスキ）","vo_minigame_1004_top_2_019","1001302","10013"
"2","vo_minigame_1004","1","なあイノリ……もしかして当初の目的見失ってないよな？","vo_minigame_1004_top_2_023","1001401","10014"
"1","vo_minigame_1004","2","もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","vo_minigame_1004_top_2_024","1001402","10014"
"2","vo_minigame_1004","1","いくらイノリ相手でも勝ちを譲る気はないからな！","vo_minigame_1004_top_2_025","1001501","10015"
"1","vo_minigame_1004","2","望むところです手加減はなしですよ","vo_minigame_1004_top_2_026","1001502","10015"
