4a54234faabe19ddef1383391912b1860c3a2f086f599076c707b4d0c3b20504,b72942742b2194bb5a203fe3c34f2dc133aec67534abd5b6229e33099e1d6a75,01853ac946ddbc0d9eb1ec6d9b1e0cef6e60bb36c4a4060dd361d5405947a94a,ea2d71e9cfff226896d7312857a6b31b3997b34fb2be936183b57ef2dd1947a9,46d032bffc26fa2447963b8781b9645fd598b51c5ee3ca099538d3ece03fbfe8,b2d4609124224ce7170c0178c9ea2caca14f9a11f54bc4c06d9b8b574d1e1b5b,193143c020897d12792d286aff9af78451965bd1ff6a9019dac506a0de51abea,3a900b86cc749a0af00d81695ac1f0c0cfcf21e17280ee774f4cdc8400ab0a3d,887c98763299568a3b25bd09bbe7c40f0c32deb322e9ad01664dfe08700c5129,6a7f3d1ad8426b42aa207f6ca529a66cb1b1b4f5981a0c35d3cc73293eaa384a,b7964dfc062eadd00fc36c715eb2f46e4994b56e6ac4a814b6b398d3a7c36e5d,c34019695bb9b8114cd51bfb877118f3d5bd13ce96b436d97c3178195e8a0d9b
"0","0.05","0","0","0.025","29","1","0","21","270","0","25"
"0","0.05","0","0","0.025","28","2","0","20","261","0","24"
"0","0.05","0","0","0.025","27","3","0","19","252","0","23"
"0","0.05","0","0","0.025","26","4","0","18","243","0","22"
"0","0.05","0","0","0.025","25","5","0","17","234","0","21"
"0","0.05","0","0","0.025","24","6","0","16","225","0","20"
"0","0.05","0","0","0.025","23","7","0","15","216","0","19"
"0","0.05","0","0","0.025","22","8","0","14","207","0","18"
"0","0.05","0","0","0.025","21","9","0","13","198","0","17"
"0","0.05","0","0","0.025","20","10","0","12","189","0","16"
"0","0.05","0","0","0.025","19","11","0","11","180","0","15"
"0","0.05","0","0","0.025","18","12","0","10","171","0","14"
"0","0.05","0","0","0.025","17","13","0","9","161","0","13"
"0","0.05","0","0","0.025","16","14","0","8","152","0","12"
"0","0.05","0","0","0.025","15","15","0","7","143","0","11"
"0","0.05","0","0","0.025","14","16","0","6","134","0","10"
"0","0.05","0","0","0.025","13","17","0","5","125","0","9"
"0","0.05","0","0","0.025","12","18","0","4","116","0","8"
"0","0.05","0","0","0.025","11","19","0","3","107","0","7"
"0","0.05","0","0","0.025","10","20","0","2","101","0","6"
"0","0","0","0","0","0","21","0","0","1","0","0"
