8bf510122e1694f7c8119483d060e0f979b77e1cbb77eebaf983c0826b8a1086,27c9f96d6316e0fb9970de8860aa1a57f614020cd71131ff682718fd2adadf6e,9cfe1c31d0bd71eceb05d060d2046f5d855a9bf3b216ab4783db190bf3cf878a
"1","1","114601"
"2","2","114701"
"3","3","115601"
"4","5","115801"
"5","6","116801"
"6","7","117401"
"7","8","117801"
"8","9","119201"
"9","10","120801"
"10","12","121201"
"11","13","122101"
"12","14","122401"
"13","15","122801"
"14","16","123501"
"15","17","124101"
"16","20","124701"
"17","21","124901"
"18","22","125701"
"19","24","126701"
"20","25","127001"
"21","27","128301"
"22","28","128801"
